cue_word,association_word,cue_valence,associated_valence
future,progress,0,0
future,optimism,0,0
future,innovation,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,structure,0,0
grade,performance,0,0
grade,evaluation,0,-1
grade,achievement,0,0
stem,engineering,0,0
stem,technology,0,0
stem,mathematic,0,0
science,discovery,0,0
science,experiment,0,0
science,truth,0,0
variable,change,-1,0
variable,input,-1,0
variable,dependence,-1,-1
model,representation,0,0
model,simulation,0,0
model,structure,0,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,share,0,0
ai,learn,0,0
ai,automation,0,0
exam,stress,-1,-1
exam,assessment,-1,0
exam,test,-1,-1
failure,error,-1,-1
failure,loss,-1,-1
failure,learn,-1,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,pressure,-1,-1
job,career,0,0
job,income,0,0
job,work,0,-1
creativity,imagination,0,0
creativity,innovation,0,0
creativity,originality,0,0
physics,motion,0,0
physics,energy,0,0
physics,universe,0,0
history,past,0,-1
history,event,0,0
history,memory,0,0
career,path,0,0
career,growth,0,0
career,job,0,0
art,expression,0,0
art,emotion,0,0
art,beauty,0,0
algorithm,process,0,0
algorithm,step,0,-1
algorithm,logic,0,0
success,achievement,0,0
success,reward,0,0
success,goal,0,0
music,emotion,0,0
music,rhythm,0,0
music,harmony,0,0
philosophy,think,0,0
philosophy,reasoning,0,0
philosophy,question,0,0
professor,knowledge,0,0
professor,mentor,0,0
professor,teach,0,0
literature,story,0,0
literature,narrative,0,0
literature,mean,0,0
homework,assignment,-1,-1
homework,study,-1,0
homework,practice,-1,0
teacher,structure,0,-1
teacher,instruction,0,0
teacher,authority,0,0
classroom,learn,0,0
classroom,order,0,0
classroom,discipline,0,-1
biology,life,0,0
biology,cell,0,0
biology,evolution,0,-1
datum,information,0,0
datum,analysis,0,0
datum,interpretation,0,-1
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,acquisition,0,0
equation,solution,0,0
equation,calculation,0,0
equation,balance,0,-1
class,group,-1,0
class,session,-1,0
class,activity,-1,0
society,structure,0,0
society,function,0,0
society,collaboration,0,0
scientist,discovery,0,0
scientist,research,0,0
scientist,curiosity,0,0
proof,validity,0,0
proof,evidence,0,0
proof,consistency,0,0
computation,processing,0,0
computation,algorithm,0,0
computation,speed,0,-1
llm,generation,0,0
llm,response,0,0
llm,language,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,element,0,-1
number,quantification,0,0
number,measurement,0,0
number,value,0,0
mathematic,logic,0,0
mathematic,pattern,0,0
mathematic,abstraction,0,0
chatgpt,response,0,0
chatgpt,dialogue,0,-1
chatgpt,generation,0,0
work,effort,0,0
work,progress,0,0
work,output,0,0
logic,reasoning,0,0
logic,consistency,0,0
logic,deduction,0,0
informatic,system,0,-1
informatic,technology,0,0
informatic,design,0,0
blackboard,write,0,0
blackboard,visual,0,0
blackboard,note,0,0
problem - solve,strategy,0,0
problem - solve,effort,0,-1
problem - solve,solution,0,0
lecture,presentation,0,0
lecture,delivery,0,0
lecture,content,0,0
student,learn,0,0
student,engagement,0,0
student,growth,0,0
study,effort,0,0
study,review,0,-1
study,retention,0,0
experiment,testing,0,0
experiment,result,0,0
experiment,variation,0,-1
