cue_word,association_word,cue_valence,associated_valence
class,teach,0,1
class,knowledge,0,1
class,student,0,-1
computation,code,0,1
computation,datum,0,0
computation,math,0,1
failure,mistake,-1,-1
failure,error,-1,-1
failure,disappointment,-1,-1
blackboard,chalk,0,0
blackboard,education,0,1
blackboard,note,0,0
literature,book,0,1
literature,word,0,-1
literature,story,0,1
proof,logic,0,1
proof,evidence,0,0
proof,truth,0,1
creativity,idea,1,1
creativity,innovation,1,1
creativity,imagination,1,1
teamwork,collaboration,0,1
teamwork,group,0,-1
teamwork,synergy,0,0
history,past,-1,-1
history,time,-1,0
history,legacy,-1,-1
science,discovery,1,1
science,experiment,1,0
science,curiosity,1,1
biology,life,0,1
biology,cell,0,-1
biology,evolution,0,0
scientist,researcher,0,0
scientist,experimentation,0,0
scientist,discovery,0,1
algorithm,step,-1,0
algorithm,logic,-1,0
algorithm,problem - solve,-1,0
music,rhythm,1,-1
music,sound,1,0
music,artistry,1,1
work,job,-1,-1
work,effort,-1,-1
work,productivity,-1,0
model,representation,0,1
model,simulation,0,0
model,analysis,0,0
job,career,-1,0
job,employment,-1,-1
job,role,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
logic,reasoning,1,1
logic,deduction,1,0
logic,proof,1,1
classroom,teach,0,1
classroom,learn,0,1
classroom,board,0,-1
philosophy,think,0,1
philosophy,idea,0,1
philosophy,ethic,0,0
art,creativity,-1,1
art,expression,-1,-1
art,aesthetic,-1,0
informatic,technology,-1,0
informatic,computer,-1,-1
informatic,system,-1,-1
problem - solve,solve,1,1
problem - solve,decision,1,0
problem - solve,analysis,1,0
chemistry,element,0,-1
chemistry,molecule,0,-1
chemistry,reaction,0,0
variable,change,-1,0
variable,measure,-1,1
variable,factor,-1,-1
society,culture,0,-1
society,group,0,1
society,system,0,-1
homework,chore,-1,-1
homework,practice,-1,-1
homework,stress,-1,-1
number,digit,0,1
number,maths,0,1
number,calculation,0,0
datum,fact,1,1
datum,score,1,-1
datum,pattern,1,0
lecture,talk,0,0
lecture,class,0,1
lecture,teach,0,-1
physics,science,1,1
physics,experiment,1,0
physics,energy,1,0
future,tomorrow,-1,-1
future,possibility,-1,-1
future,hope,-1,1
equation,formula,0,1
equation,logic,0,-1
equation,balance,0,-1
theorem,proof,0,-1
theorem,law,0,1
theorem,knowledge,0,1
success,win,1,1
success,achieve,1,0
success,prestige,1,-1
professor,teacher,0,1
professor,expert,0,1
professor,mentor,0,0
llm,ai,-1,-1
llm,chatbot,-1,-1
llm,code,-1,-1
grade,score,-1,-1
grade,mark,-1,-1
grade,result,-1,-1
mathematic,maths,0,1
mathematic,logic,0,-1
mathematic,number,0,0
ai,robot,-1,-1
ai,intelligence,-1,0
ai,tech,-1,-1
student,learner,0,1
student,classmate,0,-1
student,book,0,-1
experiment,test,0,-1
experiment,lab,0,0
experiment,datum,0,0
teacher,mentor,1,0
teacher,instructor,1,1
teacher,guide,1,-1
exam,test,-1,-1
exam,quiz,-1,-1
exam,score,-1,-1
stem,science,0,1
stem,tech,0,-1
stem,engineer,0,-1
career,job,0,-1
career,future,0,-1
career,growth,0,1
knowledge,info,1,0
knowledge,learn,1,-1
knowledge,wisdom,1,1
study,read,-1,-1
study,focus,-1,-1
study,learn,-1,0
chatgpt,text,-1,-1
chatgpt,chat,-1,-1
chatgpt,assist,-1,-1
