cue_word,association_word,cue_valence,associated_valence
ai,intelligent,0,1
ai,advanced,0,0
ai,efficient,0,0
mathematic,abstract,0,0
mathematic,logical,0,1
mathematic,problem - solve,0,0
datum,information,0,0
datum,analysis,0,0
datum,insight,0,1
class,structure,0,0
class,organization,0,0
class,learn,0,-1
creativity,innovative,1,1
creativity,original,1,0
creativity,expressive,1,0
number,quantitative,0,0
number,statistic,0,0
number,calculation,0,0
algorithm,process,0,0
algorithm,method,0,0
algorithm,solution,0,1
problem - solve,analytical,1,1
problem - solve,strategic,1,0
problem - solve,effective,1,0
chemistry,science,0,1
chemistry,reaction,0,0
chemistry,molecule,0,0
stem,science,1,1
stem,technology,1,0
stem,engineering,1,0
variable,change,0,0
variable,factor,0,0
variable,condition,0,-1
future,possibility,0,1
future,hope,0,1
future,uncertainty,0,0
equation,formula,0,0
equation,balance,0,0
equation,solution,0,1
homework,assignment,-1,0
homework,practice,-1,0
homework,learn,-1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,support,1,0
success,achievement,1,1
success,accomplishment,1,0
success,goal,1,0
art,creative,1,1
art,expressive,1,0
art,aesthetic,1,0
biology,life,1,1
biology,organism,1,0
biology,ecology,1,0
informatic,compute,0,0
informatic,digital,0,0
informatic,information,0,0
scientist,researcher,1,1
scientist,discoverer,1,0
scientist,analytical,1,0
chatgpt,ai,0,1
chatgpt,assistant,0,0
chatgpt,conversational,0,-1
failure,mistake,-1,-1
failure,setback,-1,-1
failure,learn,-1,0
knowledge,information,1,0
knowledge,understand,1,0
knowledge,wisdom,1,0
science,research,1,0
science,theory,1,0
science,discovery,1,0
society,culture,0,0
society,community,0,0
society,progress,0,-1
literature,book,0,1
literature,story,0,0
literature,author,0,0
career,job,0,0
career,work,0,0
career,occupation,0,0
exam,test,0,-1
exam,assessment,0,0
exam,quiz,0,0
llm,large language model,0,0
llm,ai,0,1
llm,machine learn,0,1
teacher,educator,0,0
teacher,professor,0,1
teacher,instructor,0,0
job,employment,0,0
job,career,0,0
job,profession,0,0
grade,mark,0,-1
grade,score,0,0
grade,rating,0,0
theorem,proof,0,-1
theorem,formula,0,0
theorem,equation,0,0
classroom,school,0,1
classroom,education,0,1
classroom,learn,0,1
music,song,0,1
music,melody,0,0
music,rhythm,0,0
blackboard,chalkboard,0,0
blackboard,whiteboard,0,0
blackboard,slate,0,0
experiment,test,0,-1
experiment,study,0,0
experiment,research,0,0
lecture,class,0,1
lecture,presentation,0,0
lecture,discussion,0,0
study,learn,0,1
study,review,0,0
study,practice,0,0
history,past event,0,-1
history,ancient time,0,0
history,civilization,0,0
physics,science,0,1
physics,law,0,0
physics,theory,0,1
student,learner,0,1
student,pupil,0,0
student,scholar,0,0
computation,algorithm,0,-1
computation,programming,0,0
computation,datum processing,0,0
philosophy,thought,0,-1
philosophy,idea,0,0
philosophy,reasoning,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
model,representation,0,1
model,example,0,0
model,illustration,0,0
logic,reasoning,0,1
logic,argument,0,0
logic,deduction,0,0
professor,teacher,1,0
professor,lecturer,1,0
professor,scholar,1,1
work,task,0,0
work,job,0,0
work,responsibility,0,0
proof,evidence,0,-1
proof,argument,0,0
proof,verification,0,0
