cue_word,association_word,cue_valence,associated_valence
anxiety,stress,-1,-1
anxiety,panic,-1,-1
anxiety,fear,-1,-1
proof,evidence,0,0
proof,datum,0,0
proof,certainty,0,0
class,lesson,0,0
class,room,0,0
class,group,0,0
model,example,0,0
model,representation,0,0
model,template,0,0
society,community,0,0
society,culture,0,0
society,norm,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,error,-1,-1
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,partnership,0,0
lecture,talk,0,0
lecture,presentation,0,0
lecture,class,0,0
scientist,researcher,0,0
scientist,discoverer,0,0
scientist,experimenter,0,0
success,achievement,1,1
success,win,1,1
success,progress,1,1
teacher,instructor,0,0
teacher,guide,0,0
teacher,mentor,0,0
science,experiment,0,0
science,datum,0,0
science,theory,0,0
ai,algorithm,0,0
ai,intelligence,0,0
ai,machine,0,0
exam,test,-1,-1
exam,quiz,-1,-1
exam,grade,-1,-1
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
creativity,imagination,1,1
creativity,innovation,1,1
creativity,originality,1,1
grade,score,-1,-1
grade,mark,-1,-1
grade,result,-1,-1
student,learner,0,0
student,scholar,0,0
student,academic,0,0
experiment,test,0,0
experiment,trial,0,0
experiment,research,0,0
number,math,0,0
number,statistic,0,0
number,figure,0,0
physics,law,0,0
physics,equation,0,0
physics,motion,0,0
informatic,compute,0,0
informatic,software,0,0
informatic,datum,0,0
music,sound,0,0
music,note,0,0
music,harmony,0,0
study,learn,0,0
study,read,0,0
study,practice,0,0
chemistry,experiment,0,1
chemistry,molecule,0,0
chemistry,lab,0,0
mathematic,proof,0,1
mathematic,number,0,0
mathematic,pattern,0,0
knowledge,learn,0,1
knowledge,understand,0,0
knowledge,wisdom,0,0
logic,reason,1,0
logic,argument,1,0
logic,deduction,1,0
equation,solve,0,1
equation,variable,0,0
equation,balance,0,0
blackboard,write,0,1
blackboard,chalk,0,0
blackboard,board,0,0
future,hope,0,0
future,risk,0,-1
future,change,0,0
problem - solve,fix,1,0
problem - solve,think,1,1
problem - solve,analyze,1,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,code,0,1
datum,information,0,1
datum,analyze,0,0
datum,statistic,0,0
chatgpt,answer,0,1
chatgpt,help,0,0
chatgpt,question,0,0
computation,calculate,0,1
computation,speed,0,0
computation,computer,0,0
biology,cell,0,0
biology,life,0,0
biology,organism,0,0
career,job,0,0
career,promote,0,0
career,advance,0,0
philosophy,think,1,0
philosophy,question,1,1
philosophy,mean,1,0
job,work,0,0
job,salary,0,0
job,stress,0,-1
theorem,proof,1,1
theorem,math,1,0
theorem,conclusion,1,0
history,past,0,0
history,event,0,0
history,learn,0,1
work,task,0,0
work,effort,0,0
work,time,0,0
variable,change,0,0
variable,value,0,0
variable,input,0,0
homework,task,0,0
homework,study,0,0
homework,assignment,0,0
literature,book,0,1
literature,story,0,0
literature,read,0,1
llm,model,0,0
llm,text,0,1
llm,generate,0,0
professor,teach,0,1
professor,class,0,0
professor,student,0,0
classroom,student,0,0
classroom,teacher,0,0
classroom,lesson,0,1
