cue_word,association_word,cue_valence,associated_valence
proof,evidence,0,0
proof,fact,0,1
career,job,-1,-1
career,growth,-1,0
science,discovery,0,1
science,research,0,0
literature,book,0,0
literature,classic,0,-1
model,template,-1,-1
model,example,-1,-1
mathematic,number,-1,-1
mathematic,formula,-1,-1
music,melody,1,1
music,rhythm,1,1
exam,test,-1,-1
exam,stress,-1,-1
chemistry,reaction,-1,-1
chemistry,element,-1,0
ai,future,0,0
ai,robotic,0,-1
study,learn,-1,1
study,focus,-1,-1
informatic,datum,-1,-1
informatic,compute,-1,-1
success,achievement,1,1
success,happiness,1,1
scientist,researcher,0,0
scientist,inventor,0,0
history,past,-1,-1
history,event,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
society,community,-1,0
society,culture,-1,0
professor,teacher,0,0
professor,expert,0,0
logic,reasoning,-1,-1
logic,analysis,-1,-1
art,beauty,1,1
art,expression,1,1
knowledge,learn,1,1
knowledge,wisdom,1,1
equation,math,-1,-1
equation,solution,-1,0
creativity,innovation,1,1
creativity,imagination,1,1
student,learn,0,1
student,youth,0,0
chatgpt,ai,-1,0
chatgpt,chatbot,-1,-1
algorithm,code,-1,0
homework,study,-1,-1
homework,stress,-1,-1
experiment,science,0,1
experiment,test,0,-1
variable,change,-1,-1
variable,unknown,-1,-1
teacher,guide,0,0
teacher,authority,0,-1
datum,information,1,1
datum,analysis,1,0
number,math,0,0
number,count,0,0
stem,science,1,1
stem,future,1,0
teamwork,cooperation,1,1
teamwork,success,1,1
future,hope,0,1
future,uncertainty,0,-1
work,effort,-1,-1
work,pay,-1,0
physics,science,0,1
physics,challenge,0,-1
theorem,proof,0,0
theorem,math,0,0
llm,model,-1,-1
llm,ai,-1,0
anxiety,worry,-1,-1
anxiety,stress,-1,-1
lecture,learn,-1,-1
lecture,bore,-1,-1
computation,calculate,0,0
computation,programming,0,0
classroom,school,-1,-1
classroom,student,-1,0
class,course,-1,-1
class,friend,-1,1
biology,life,1,1
biology,science,1,1
grade,score,0,0
grade,evaluation,0,-1
problem - solve,challenge,0,-1
problem - solve,solution,0,1
job,career,-1,0
job,money,-1,0
failure,loss,-1,-1
failure,lesson,-1,-1
blackboard,teach,-1,0
blackboard,write,-1,-1
