cue_word,association_word,cue_valence,associated_valence
art,beauty,0,0
art,creativity,0,1
art,expression,0,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,challenge,-1,0
society,diversity,0,1
society,complexity,0,0
society,interaction,0,0
student,learn,0,1
student,growth,0,0
student,development,0,0
music,harmony,0,1
music,emotion,0,0
music,creativity,0,0
number,logic,0,0
number,pattern,0,0
number,calculation,0,0
ai,technology,0,1
ai,intelligence,0,1
ai,automation,0,0
career,goal,0,0
career,progression,0,0
career,success,0,0
creativity,innovation,1,1
creativity,imagination,1,0
creativity,originality,1,0
work,responsibility,0,0
work,productivity,0,0
work,achievement,0,0
chatgpt,conversational,0,1
chatgpt,assistant,0,0
chatgpt,ai,0,1
teacher,mentor,0,0
teacher,guidance,0,0
teacher,education,0,0
professor,expertise,0,1
professor,authority,0,0
professor,knowledge,0,1
class,learn,0,0
class,structure,0,0
class,discipline,0,0
homework,assignment,-1,-1
homework,practice,-1,0
homework,task,-1,-1
proof,verification,0,1
proof,evidence,0,1
proof,validation,0,0
teamwork,collaboration,0,1
teamwork,cooperation,0,0
teamwork,synergy,0,0
biology,life,0,1
biology,organism,0,0
biology,ecosystem,0,0
logic,reasoning,0,0
logic,analysis,0,0
logic,deduction,0,0
science,discovery,1,1
science,exploration,1,0
science,knowledge,1,1
lecture,instruction,0,0
lecture,knowledge,0,0
lecture,learn,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
classroom,education,0,0
classroom,structure,0,0
classroom,learn,0,0
knowledge,information,1,1
knowledge,understand,1,0
knowledge,wisdom,1,0
chemistry,matter,0,0
chemistry,element,0,0
chemistry,reaction,0,0
mathematic,study,0,0
mathematic,computation,0,0
mathematic,theory,0,0
stem,science,1,0
stem,technology,1,0
stem,engineering,1,0
study,learn,1,0
study,education,1,0
study,focus,1,0
computation,algorithm,0,0
computation,programming,0,0
computation,datum,0,0
blackboard,chalk,-1,-1
blackboard,lesson,-1,0
blackboard,explanation,-1,0
algorithm,process,0,0
algorithm,logic,0,0
algorithm,program,0,0
job,career,0,0
job,work,0,0
job,income,0,0
success,achievement,1,1
success,prosperity,1,1
success,goal,1,0
history,past,0,-1
history,event,0,0
history,lesson,0,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,loss,-1,-1
model,example,0,0
model,representation,0,0
model,system,0,0
llm,language,0,0
llm,learn,0,0
llm,model,0,1
future,possibility,0,0
future,goal,0,0
future,time,0,0
philosophy,think,0,-1
philosophy,reasoning,0,0
philosophy,idea,0,0
equation,mathematic,0,0
equation,solution,0,0
equation,balance,0,0
literature,book,0,0
literature,story,0,0
literature,theme,0,0
physics,law,1,0
physics,force,1,0
physics,experiment,1,1
theorem,proof,0,0
theorem,logic,0,0
theorem,mathematic,0,0
problem - solve,strategy,0,0
problem - solve,challenge,0,0
problem - solve,task,0,0
experiment,testing,1,1
experiment,hypothesis,1,0
experiment,observation,1,1
variable,factor,0,0
variable,element,0,0
variable,change,0,0
scientist,researcher,0,0
scientist,discovery,0,1
scientist,knowledge,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
informatic,compute,0,0
informatic,digital,0,0
informatic,technology,0,1
grade,score,0,0
grade,evaluation,0,0
grade,performance,0,0
