cue_word,association_word,cue_valence,associated_valence
informatic,datum,0,0
informatic,code,0,0
informatic,logic,0,-1
success,goal,0,0
success,effort,0,0
success,achievement,0,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,test,-1,0
number,pattern,0,0
number,calculation,0,0
number,precision,0,0
career,growth,0,0
career,job,0,0
career,future,0,0
chemistry,molecule,0,0
chemistry,reaction,0,-1
chemistry,lab,0,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,support,0,0
study,focus,0,0
study,routine,0,0
study,effort,0,0
proof,logic,0,0
proof,evidence,0,0
proof,validity,0,0
failure,lesson,-1,0
failure,setback,-1,-1
failure,pain,-1,-1
algorithm,step,0,0
algorithm,process,0,0
algorithm,rule,0,-1
mathematic,logic,0,0
mathematic,structure,0,0
mathematic,problem,0,0
grade,score,-1,0
grade,result,-1,-1
grade,mark,-1,0
theorem,proof,0,0
theorem,truth,0,0
theorem,foundation,0,0
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,mentor,0,0
history,past,0,0
history,event,0,-1
history,memory,0,-1
class,group,-1,0
class,room,-1,-1
class,schedule,-1,-1
problem - solve,solution,0,0
problem - solve,think,0,0
problem - solve,strategy,0,0
creativity,idea,0,0
creativity,imagination,0,0
creativity,innovation,0,0
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,-1
work,effort,0,0
work,task,0,-1
work,responsibility,0,0
stem,science,0,0
stem,engineering,0,0
stem,innovation,0,0
student,learn,0,0
student,growth,0,0
student,curiosity,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,mean,0,0
computation,calculation,0,0
computation,speed,0,0
computation,accuracy,0,0
equation,logic,0,0
equation,truth,0,0
equation,solution,0,-1
job,money,-1,0
job,stress,-1,-1
job,purpose,-1,0
blackboard,write,0,0
blackboard,class,0,-1
blackboard,knowledge,0,0
professor,wisdom,0,0
professor,authority,0,-1
professor,knowledge,0,0
lecture,information,-1,0
lecture,boredom,-1,-1
lecture,learn,-1,0
chatgpt,helpful,0,0
chatgpt,fast,0,0
chatgpt,anxiety,0,-1
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,datum,0,0
literature,story,0,0
literature,emotion,0,0
literature,imagination,0,0
experiment,risk,-1,-1
experiment,result,-1,0
experiment,failure,-1,-1
ai,power,-1,0
ai,control,-1,0
ai,danger,-1,-1
homework,work,-1,-1
homework,tiredness,-1,-1
homework,learn,-1,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
art,beauty,0,0
art,emotion,0,0
art,freedom,0,0
logic,reason,0,0
logic,order,0,0
logic,clarity,0,0
llm,smart,0,0
llm,language,0,0
llm,tool,0,-1
future,hope,-1,0
future,change,-1,0
future,uncertainty,-1,-1
science,truth,0,0
science,progress,0,0
science,curiosity,0,0
datum,fact,0,0
datum,analysis,0,0
datum,pattern,0,-1
physics,law,0,0
physics,universe,0,0
physics,math,0,0
model,structure,0,0
model,prediction,0,0
model,similarity,0,-1
music,feel,0,0
music,emotion,0,0
music,joy,0,0
society,rule,-1,-1
society,change,-1,0
society,power,-1,0
variable,change,-1,0
variable,input,-1,-1
variable,output,-1,0
knowledge,wisdom,0,0
knowledge,growth,0,0
knowledge,power,0,0
biology,life,0,0
biology,growth,0,0
biology,complexity,0,-1
