cue_word,association_word,cue_valence,associated_valence
number,math,0,1
number,calculus,0,-1
number,statistic,0,0
ai,learn,0,1
ai,robotic,0,0
ai,innovation,0,1
mathematic,logic,1,1
mathematic,proof,1,0
mathematic,theorem,1,0
experiment,research,0,1
experiment,hypothesis,0,-1
experiment,discovery,0,1
society,community,0,1
society,culture,0,0
society,progress,0,1
scientist,researcher,1,1
scientist,discoverer,1,0
scientist,analyst,1,0
career,profession,-1,0
career,job,-1,-1
career,growth,-1,1
chemistry,molecule,0,-1
chemistry,reaction,0,-1
chemistry,element,0,0
science,research,1,1
science,discovery,1,1
science,knowledge,1,1
algorithm,code,0,-1
algorithm,logic,0,1
algorithm,efficiency,0,0
logic,reasoning,1,1
logic,proof,1,0
logic,structure,1,0
datum,information,0,0
datum,analysis,0,1
datum,statistic,0,0
professor,teacher,1,1
professor,expert,1,1
professor,mentor,1,1
classroom,learn,0,1
classroom,education,0,1
classroom,student,0,0
creativity,innovation,1,1
creativity,imagination,1,1
creativity,design,1,0
variable,parameter,-1,-1
variable,factor,-1,-1
variable,constant,-1,-1
homework,study,-1,0
homework,assignment,-1,-1
homework,effort,-1,-1
literature,book,1,1
literature,write,1,0
literature,narrative,1,0
informatic,compute,0,0
informatic,datum,0,0
informatic,system,0,-1
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,synergy,1,0
grade,performance,-1,-1
grade,score,-1,-1
grade,evaluation,-1,-1
study,learn,0,1
study,research,0,1
study,education,0,1
failure,mistake,-1,-1
failure,error,-1,-1
failure,setback,-1,-1
physics,mechanic,0,-1
physics,energy,0,0
physics,quantum,0,0
philosophy,think,1,1
philosophy,ethic,1,1
philosophy,wisdom,1,1
success,achievement,1,0
success,reward,1,0
success,growth,1,0
class,education,-1,0
class,learn,-1,0
class,teacher,-1,-1
llm,intelligence,1,1
llm,efficiency,1,0
llm,innovation,1,0
work,productivity,-1,0
work,career,-1,-1
work,effort,-1,-1
anxiety,stress,-1,-1
anxiety,pressure,-1,-1
anxiety,fear,-1,-1
problem - solve,logic,0,0
problem - solve,creativity,0,0
problem - solve,solution,0,1
teacher,education,-1,0
teacher,guidance,-1,0
teacher,mentor,-1,0
stem,science,0,0
stem,technology,0,1
stem,mathematic,0,-1
lecture,education,-1,0
lecture,speech,-1,-1
lecture,knowledge,-1,0
biology,science,-1,0
biology,life,-1,1
biology,nature,-1,0
exam,test,-1,-1
exam,evaluation,-1,-1
exam,pressure,-1,-1
music,art,1,0
music,emotion,1,0
music,joy,1,1
art,creativity,0,0
art,expression,0,0
art,beauty,0,1
chatgpt,intelligence,1,1
chatgpt,assistance,1,0
chatgpt,technology,1,0
job,career,-1,-1
job,work,-1,-1
job,opportunity,-1,0
future,progress,0,1
future,innovation,0,0
future,hope,0,1
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,education,1,0
computation,mathematic,-1,-1
computation,algorithm,-1,-1
computation,efficiency,-1,0
proof,evidence,0,0
proof,logic,0,0
proof,verification,0,-1
model,design,-1,-1
model,abstraction,-1,-1
model,representation,-1,-1
history,past,0,-1
history,knowledge,0,1
history,culture,0,0
student,learn,-1,0
student,education,-1,0
student,study,-1,-1
theorem,mathematic,-1,-1
theorem,proof,-1,0
theorem,logic,-1,0
equation,mathematic,-1,-1
equation,solution,-1,1
equation,balance,-1,-1
blackboard,education,-1,0
blackboard,lecture,-1,-1
blackboard,chalk,-1,-1
