cue_word,association_word,cue_valence,associated_valence
society,community,1,1
society,people,1,1
society,culture,1,0
scientist,lab,1,0
scientist,discovery,1,1
scientist,genius,1,1
lecture,bore,-1,-1
lecture,professor,-1,0
lecture,note,-1,-1
music,fun,1,1
music,relax,1,1
music,beat,1,1
future,hope,1,1
future,dream,1,1
future,job,1,0
computation,code,-1,-1
computation,computer,-1,-1
computation,math,-1,-1
work,job,0,0
work,money,0,1
work,stress,0,-1
logic,puzzle,-1,0
logic,reasoning,-1,0
logic,math,-1,-1
ai,robot,0,0
ai,chatgpt,0,0
ai,future,0,1
anxiety,worry,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
student,friend,1,1
student,learn,1,1
student,exam,1,-1
class,school,0,0
class,group,0,1
class,homework,0,-1
equation,math,-1,-1
equation,solve,-1,-1
equation,hard,-1,-1
informatic,programming,-1,-1
informatic,computer,-1,-1
informatic,bore,-1,-1
creativity,idea,1,1
creativity,art,1,1
creativity,innovation,1,1
biology,life,0,1
biology,cell,0,0
biology,dissect,0,-1
career,success,1,1
career,money,1,1
career,path,1,0
experiment,test,0,0
experiment,lab,0,0
experiment,result,0,1
theorem,proof,-1,-1
theorem,math,-1,-1
theorem,complex,-1,-1
llm,ai,0,0
llm,helpful,0,1
llm,chatbot,0,0
problem - solve,puzzle,1,0
problem - solve,think,1,1
problem - solve,win,1,1
mathematic,number,-1,-1
mathematic,school,-1,0
mathematic,hate,-1,-1
stem,science,-1,0
stem,tech,-1,-1
stem,math,-1,-1
number,count,-1,-1
number,math,-1,-1
number,bore,-1,-1
study,book,0,0
study,learn,0,1
study,exam,0,-1
science,lab,-1,-1
science,fact,-1,0
science,difficult,-1,-1
classroom,learn,0,1
classroom,noisy,0,-1
classroom,chalk,0,0
art,creative,1,1
art,beautiful,1,1
art,fun,1,1
teacher,mentor,1,1
teacher,strict,1,-1
teacher,helpful,1,1
philosophy,deep,1,1
philosophy,thought,1,1
philosophy,interest,1,1
success,achievement,1,1
success,happy,1,1
success,goal,1,1
blackboard,write,0,0
blackboard,old,0,-1
blackboard,dusty,0,-1
exam,stress,-1,-1
exam,study,-1,-1
exam,fear,-1,-1
grade,a,0,1
grade,fail,0,-1
grade,pressure,0,-1
teamwork,group,1,0
teamwork,help,1,1
teamwork,fun,1,1
professor,smart,0,1
professor,lecture,0,-1
professor,intimidate,0,-1
failure,sad,-1,-1
failure,lesson,-1,1
failure,try,-1,1
chatgpt,ai,0,0
chatgpt,cheat,0,-1
chatgpt,easy,0,1
datum,number,-1,-1
datum,analyze,-1,-1
datum,bore,-1,-1
physics,hard,-1,-1
physics,formula,-1,-1
physics,impossible,-1,-1
knowledge,power,1,1
knowledge,useful,1,1
knowledge,grow,1,1
algorithm,code,-1,-1
algorithm,complex,-1,-1
algorithm,tech,-1,0
job,money,0,1
job,stress,0,-1
job,future,0,1
chemistry,reaction,-1,0
chemistry,lab,-1,-1
chemistry,danger,-1,-1
homework,tedious,-1,-1
homework,night,-1,-1
homework,do,-1,1
proof,math,0,-1
proof,evidence,0,1
proof,logic,0,1
model,toy,0,1
model,fake,0,-1
model,simple,0,1
history,story,1,1
history,past,1,0
history,interest,1,1
variable,x,-1,-1
variable,change,-1,1
variable,math,-1,-1
literature,book,1,1
literature,story,1,1
literature,imagination,1,1
