cue_word,association_word,cue_valence,associated_valence
professor,knowledge,0,1
professor,teach,0,0
professor,authority,0,-1
datum,analysis,-1,0
datum,information,-1,0
datum,pattern,-1,-1
homework,effort,-1,-1
homework,stress,-1,-1
homework,learn,-1,0
anxiety,nervousness,-1,-1
anxiety,pressure,-1,-1
anxiety,fear,-1,-1
problem - solve,challenge,0,-1
problem - solve,logic,0,1
problem - solve,solution,0,1
history,past,0,-1
history,fact,0,0
history,story,0,0
teacher,guide,1,1
teacher,mentor,1,1
teacher,education,1,1
theorem,proof,0,0
theorem,mathematic,0,-1
theorem,truth,0,1
logic,reasoning,1,1
logic,structure,1,0
logic,order,1,0
llm,technology,-1,0
llm,intelligence,-1,1
llm,future,-1,0
classroom,learn,0,1
classroom,student,0,0
classroom,education,0,1
literature,read,0,0
literature,story,0,0
literature,imagination,0,1
number,mathematic,-1,-1
number,calculation,-1,-1
number,datum,-1,-1
creativity,imagination,1,1
creativity,innovation,1,0
creativity,art,1,0
proof,evidence,0,0
proof,verification,0,-1
proof,truth,0,1
computation,calculation,-1,-1
computation,algorithm,-1,-1
computation,datum,-1,-1
philosophy,think,1,0
philosophy,wisdom,1,1
philosophy,question,1,-1
job,work,-1,-1
job,career,-1,0
job,responsibility,-1,-1
biology,science,0,1
biology,nature,0,1
biology,life,0,1
career,job,0,-1
career,growth,0,0
career,success,0,1
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,support,1,0
variable,change,-1,-1
variable,uncertainty,-1,-1
variable,mathematic,-1,-1
mathematic,number,-1,-1
mathematic,logic,-1,1
mathematic,proof,-1,0
grade,performance,-1,-1
grade,evaluation,-1,-1
grade,score,-1,-1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
success,achievement,1,0
success,reward,1,-1
success,growth,1,0
lecture,teach,-1,0
lecture,learn,-1,1
lecture,boredom,-1,-1
ai,innovation,-1,1
ai,future,-1,0
ai,uncertainty,-1,-1
stem,science,0,1
stem,career,0,-1
stem,challenge,0,-1
algorithm,logic,-1,0
algorithm,efficiency,-1,1
algorithm,complexity,-1,-1
informatic,datum,-1,0
informatic,technology,-1,1
informatic,analysis,-1,-1
chemistry,experiment,0,-1
chemistry,molecule,0,-1
chemistry,discovery,0,1
future,hope,0,1
future,change,0,-1
future,uncertainty,0,-1
music,emotion,1,0
music,creativity,1,0
music,joy,1,1
study,learn,-1,1
study,effort,-1,-1
study,knowledge,-1,0
equation,math,-1,-1
equation,logic,-1,0
equation,solution,-1,1
society,community,-1,1
society,progress,-1,0
society,inequality,-1,-1
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,power,1,-1
physics,science,-1,1
physics,theory,-1,0
physics,universe,-1,0
work,job,-1,-1
work,effort,-1,-1
work,achievement,-1,1
blackboard,classroom,-1,-1
blackboard,teach,-1,0
blackboard,chalk,-1,-1
model,design,-1,0
model,example,-1,1
model,simulation,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,evaluation,-1,-1
student,learn,0,1
student,youth,0,0
student,study,0,-1
chatgpt,ai,-1,-1
chatgpt,technology,-1,1
chatgpt,assistant,-1,0
experiment,science,-1,1
experiment,discovery,-1,1
experiment,risk,-1,-1
science,knowledge,1,0
science,research,1,0
science,truth,1,1
scientist,researcher,1,0
scientist,discovery,1,1
scientist,intellect,1,1
art,creativity,1,1
art,beauty,1,0
art,expression,1,0
class,learn,-1,1
class,education,-1,0
class,routine,-1,-1
