cue_word,association_word,cue_valence,associated_valence
proof,evidence,0,0
proof,validation,0,0
proof,certainty,0,0
exam,test,-1,-1
exam,study,-1,0
exam,anxiety,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,education,1,1
career,job,0,0
career,growth,0,0
career,success,0,1
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,-1
physics,energy,0,0
physics,law,0,0
physics,universe,0,1
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,mean,0,0
job,work,0,0
job,income,0,0
job,responsibility,0,-1
music,sound,1,1
music,rhythm,1,1
music,emotion,1,1
llm,language,0,0
llm,model,0,0
llm,learn,0,0
science,research,1,1
science,discovery,1,1
science,experiment,1,1
lecture,teach,0,0
lecture,listen,0,0
lecture,classroom,0,0
future,time,0,0
future,hope,0,1
future,uncertainty,0,-1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,art,1,1
art,paint,1,1
art,expression,1,1
art,beauty,1,1
teamwork,collaboration,1,1
teamwork,communication,1,1
teamwork,success,1,1
teacher,educate,1,1
teacher,mentor,1,1
teacher,knowledge,1,1
problem - solve,logic,0,0
problem - solve,solution,0,0
problem - solve,challenge,0,-1
homework,study,-1,0
homework,assignment,-1,-1
homework,stress,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
society,community,0,0
society,culture,0,0
society,people,0,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
grade,school,-1,0
grade,performance,-1,0
grade,evaluation,-1,-1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,conversation,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
success,achievement,1,1
success,happiness,1,1
success,reward,1,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
blackboard,teach,-1,0
chemistry,reaction,0,-1
chemistry,element,0,-1
chemistry,laboratory,0,-1
biology,life,0,1
biology,cell,0,-1
biology,evolution,0,-1
scientist,research,0,0
scientist,discovery,0,1
scientist,experiment,0,-1
equation,math,-1,-1
equation,solution,-1,0
equation,variable,-1,-1
classroom,student,0,0
classroom,learn,0,1
classroom,teacher,0,0
ai,machine,0,-1
ai,learn,0,1
ai,future,0,0
history,past,-1,-1
history,event,-1,-1
history,culture,-1,0
student,learn,0,1
student,school,0,0
student,knowledge,0,1
study,learn,0,1
study,book,0,0
study,exam,0,-1
logic,reasoning,-1,0
logic,math,-1,-1
logic,puzzle,-1,-1
professor,teacher,0,0
professor,lecture,0,-1
professor,knowledge,0,1
literature,book,0,0
literature,poetry,0,0
literature,fiction,0,0
work,job,-1,-1
work,effort,-1,-1
work,productivity,-1,0
number,math,-1,-1
number,count,-1,-1
number,datum,-1,0
algorithm,code,-1,-1
algorithm,solution,-1,0
algorithm,step,-1,-1
variable,math,-1,-1
variable,unknown,-1,-1
variable,change,-1,-1
class,student,0,0
class,teacher,0,0
class,learn,0,1
theorem,math,-1,-1
theorem,proof,-1,-1
theorem,geometry,-1,-1
computation,calculation,-1,-1
computation,math,-1,-1
computation,datum,-1,0
experiment,science,-1,0
experiment,test,-1,-1
experiment,result,-1,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
model,representation,-1,-1
model,simulation,-1,-1
model,design,-1,-1
