cue_word,association_word,cue_valence,associated_valence
work,busy,0,-1
work,stressful,0,-1
work,rewarding,0,1
chatgpt,useful,0,1
chatgpt,frighten,0,-1
chatgpt,powerful,0,0
literature,bore,-1,-1
literature,meaningful,-1,1
literature,hard,-1,-1
biology,fun,0,1
biology,complex,0,-1
biology,interest,0,1
creativity,free,1,1
creativity,expressive,1,1
creativity,challenge,1,0
history,fascinating,0,1
history,dull,0,-1
history,important,0,1
homework,tiring,-1,-1
homework,necessary,-1,0
homework,annoy,-1,-1
blackboard,nostalgic,0,1
blackboard,traditional,0,-1
blackboard,useful,0,0
datum,complex,-1,-1
datum,powerful,-1,1
datum,confuse,-1,-1
scientist,brilliant,0,1
scientist,distant,0,-1
scientist,heroic,0,1
algorithm,logical,0,1
algorithm,cold,0,-1
algorithm,efficient,0,1
stem,challenge,0,0
stem,important,0,1
stem,exciting,0,1
classroom,noisy,0,-1
classroom,learn,0,1
classroom,safe,0,1
failure,scary,-1,-1
failure,teach,-1,0
failure,bad,-1,-1
variable,abstract,-1,-1
variable,mathematical,-1,0
variable,confuse,-1,-1
science,wonderful,1,1
science,complicated,1,-1
science,truth,1,1
class,group,0,0
class,study,0,0
class,fun,0,1
success,happy,1,1
success,hard,1,-1
success,rewarding,1,1
chemistry,interest,0,1
chemistry,dangerous,0,-1
chemistry,fun,0,1
study,focus,0,1
study,hard,0,-1
study,productive,0,1
future,uncertain,0,-1
future,hopeful,0,1
future,bright,0,1
computation,logical,-1,1
computation,precise,-1,1
computation,bore,-1,-1
number,abstract,-1,-1
number,useful,-1,1
number,hard,-1,-1
model,abstract,0,-1
model,helpful,0,1
model,complex,0,-1
professor,knowledgeable,0,1
professor,strict,0,-1
professor,mentor,0,1
equation,mathematic,0,0
equation,problem - solve,0,0
equation,logic,0,-1
logic,mathematic,0,0
logic,reasoning,0,0
logic,philosophy,0,-1
teacher,student,0,1
teacher,knowledge,0,0
teacher,career,0,0
student,learn,0,1
student,exam,0,-1
student,anxiety,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
theorem,proof,-1,0
theorem,mathematic,-1,0
theorem,knowledge,-1,0
informatic,ai,0,0
informatic,technology,0,0
informatic,knowledge,0,0
knowledge,learn,1,1
knowledge,education,1,1
knowledge,wisdom,1,1
experiment,science,-1,0
experiment,research,-1,-1
experiment,datum,-1,-1
society,community,0,0
society,culture,0,0
society,structure,0,-1
teamwork,collaboration,0,1
teamwork,communication,0,0
teamwork,success,0,1
philosophy,logic,-1,-1
philosophy,ethic,-1,0
philosophy,wisdom,-1,1
problem - solve,logic,0,-1
problem - solve,solution,0,0
problem - solve,challenge,0,-1
career,job,0,0
career,future,0,-1
career,ambition,0,0
proof,mathematic,0,0
proof,logic,0,0
proof,truth,0,1
physics,science,0,0
physics,experiment,0,-1
physics,mathematic,0,0
llm,ai,-1,0
llm,knowledge,-1,0
llm,technology,-1,0
job,career,0,0
job,work,0,-1
job,income,0,-1
exam,stress,-1,-1
exam,grade,-1,-1
exam,learn,-1,0
ai,technology,0,0
ai,future,0,-1
ai,ethic,0,0
mathematic,logic,0,0
mathematic,equation,0,0
mathematic,art,0,1
lecture,learn,-1,0
lecture,teacher,-1,0
lecture,education,-1,0
art,creativity,1,1
art,emotion,1,0
art,expression,1,1
grade,success,-1,0
grade,stress,-1,-1
grade,anxiety,-1,-1
music,relaxation,1,1
music,creativity,1,1
music,emotion,1,0
