cue_word,association_word,cue_valence,associated_valence
logic,order,0,0
logic,clarity,0,0
logic,precision,0,0
scientist,curiosity,0,0
scientist,discovery,0,0
scientist,innovation,0,0
teamwork,trust,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
class,learn,0,0
class,structure,0,-1
class,routine,0,0
history,memory,0,0
history,pattern,0,-1
history,context,0,0
homework,effort,-1,0
homework,focus,-1,0
homework,completion,-1,0
society,change,0,-1
society,value,0,0
society,structure,0,0
professor,knowledge,0,0
professor,authority,0,-1
professor,guidance,0,0
exam,pressure,-1,-1
exam,assessment,-1,0
exam,performance,-1,-1
grade,achievement,0,0
grade,evaluation,0,-1
grade,status,0,-1
study,discipline,0,0
study,consistency,0,0
study,progress,0,0
equation,solution,0,0
equation,balance,0,0
equation,mathematic,0,0
chatgpt,helpful,0,0
chatgpt,efficient,0,0
chatgpt,useful,0,0
anxiety,worry,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
datum,analysis,0,0
datum,information,0,0
datum,fact,0,0
experiment,testing,0,0
experiment,result,0,-1
experiment,observation,0,0
llm,powerful,0,0
llm,versatile,0,0
llm,intelligent,0,0
informatic,technology,0,0
informatic,system,0,-1
informatic,computer,0,0
future,possibility,0,0
future,growth,0,0
future,potential,0,0
art,expression,0,0
art,beauty,0,0
art,creativity,0,0
science,discovery,0,0
science,truth,0,0
science,exploration,0,0
philosophy,question,0,0
philosophy,reasoning,0,0
philosophy,understand,0,0
work,effort,0,0
work,income,0,-1
work,purpose,0,0
blackboard,write,0,0
blackboard,chalk,0,-1
blackboard,teach,0,0
stem,engineering,0,0
stem,mathematic,0,0
stem,innovation,0,0
knowledge,clarity,0,0
knowledge,understand,0,0
knowledge,precision,0,0
classroom,structure,-1,0
classroom,routine,-1,-1
classroom,discipline,-1,-1
algorithm,logic,0,0
algorithm,step - by - step,0,0
algorithm,efficiency,0,0
job,income,0,-1
job,stability,0,0
job,purpose,0,0
computation,speed,0,0
computation,accuracy,0,0
computation,datum,0,-1
literature,story,0,0
literature,emotion,0,0
literature,narrative,0,0
failure,lesson,-1,0
failure,growth,-1,0
failure,setback,-1,-1
number,pattern,0,0
number,calculation,0,-1
number,quantification,0,0
physics,law,0,0
physics,equation,0,0
physics,experiment,0,-1
biology,life,0,0
biology,growth,0,0
biology,cell,0,-1
ai,machine,0,-1
ai,learn,0,0
ai,intelligence,0,0
lecture,presentation,-1,0
lecture,delivery,-1,-1
lecture,content,-1,0
teacher,guidance,0,0
teacher,mentorship,0,0
teacher,authority,0,-1
mathematic,logic,0,0
mathematic,proof,0,0
mathematic,abstraction,0,0
proof,validity,0,0
proof,deduction,0,0
proof,certainty,0,0
variable,change,-1,0
variable,input,-1,-1
variable,output,-1,0
music,emotion,0,0
music,rhythm,0,0
music,harmony,0,0
chemistry,reaction,0,0
chemistry,molecule,0,-1
chemistry,element,0,0
problem - solve,strategy,0,0
problem - solve,think,0,0
problem - solve,solution,0,0
career,path,0,-1
career,development,0,0
career,goal,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,originality,0,0
theorem,truth,0,0
theorem,proof,0,0
theorem,foundation,0,0
student,learn,0,0
student,curiosity,0,0
student,growth,0,0
model,representation,0,-1
model,structure,0,0
model,similarity,0,-1
success,achievement,0,0
success,reward,0,-1
success,confidence,0,0
