cue_word,association_word,cue_valence,associated_valence
experiment,research,-1,0
experiment,trial,-1,-1
experiment,innovation,-1,1
success,achievement,1,1
success,victory,1,0
success,growth,1,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
biology,life,0,1
biology,cell,0,-1
biology,ecosystem,0,0
mathematic,logic,0,0
mathematic,number,0,-1
mathematic,pattern,0,0
history,past,-1,-1
history,culture,-1,0
history,event,-1,-1
career,future,0,0
career,goal,0,0
career,job,0,-1
chemistry,reaction,-1,-1
chemistry,molecule,-1,-1
chemistry,formula,-1,-1
music,harmony,1,1
music,melody,1,1
music,rhythm,1,1
homework,study,-1,0
homework,assignment,-1,-1
homework,deadline,-1,-1
work,effort,-1,-1
work,task,-1,-1
work,duty,-1,-1
class,learn,0,1
class,group,0,0
class,session,0,-1
computation,processing,0,0
computation,algorithm,0,0
computation,datum,0,-1
algorithm,logic,0,0
algorithm,code,0,0
algorithm,pattern,0,0
classroom,teach,0,0
classroom,discussion,0,0
classroom,learn,0,1
informatic,compute,0,0
informatic,datum,0,-1
informatic,technology,0,1
variable,change,-1,-1
variable,value,-1,0
variable,constant,-1,-1
chatgpt,assistant,0,0
chatgpt,ai,0,0
chatgpt,conversational,0,0
job,employment,-1,-1
job,career,-1,0
job,income,-1,-1
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,reason,0,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
scientist,researcher,0,0
scientist,expert,0,0
scientist,knowledge,0,1
proof,logic,0,0
proof,verification,0,0
proof,argument,0,0
exam,test,-1,-1
exam,challenge,-1,-1
exam,grade,-1,-1
lecture,chalkboard,0,-1
lecture,audience,0,0
lecture,dialogue,0,1
knowledge,learn,1,1
knowledge,experience,1,0
knowledge,insight,1,1
literature,fiction,0,-1
literature,poetry,0,0
literature,classic,0,-1
professor,mentor,0,1
professor,lecturer,0,0
professor,expert,0,1
future,innovation,0,1
future,promise,0,0
future,uncertainty,0,-1
society,community,0,1
society,norm,0,-1
society,interaction,0,0
theorem,proof,1,1
theorem,logic,1,1
theorem,mathematic,1,1
number,calculation,0,0
number,precision,0,1
number,statistic,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,unity,1,1
equation,formula,0,0
equation,balance,0,-1
equation,problem,0,-1
science,experiment,1,1
science,theory,1,0
science,discovery,1,1
llm,language,0,0
llm,model,0,0
llm,analysis,0,0
physics,force,-1,0
physics,experiment,-1,1
physics,energy,-1,0
blackboard,chalk,-1,-1
blackboard,lesson,-1,0
blackboard,chalkboard,-1,-1
model,representation,0,0
model,framework,0,0
model,concept,0,0
study,research,1,1
study,read,1,0
study,analysis,1,1
failure,mistake,-1,-1
failure,challenge,-1,-1
failure,learn,-1,0
problem - solve,logic,1,1
problem - solve,innovation,1,1
problem - solve,creativity,1,1
creativity,imagination,1,1
creativity,expression,1,1
creativity,diversity,1,1
student,learner,0,0
student,curiosity,0,1
student,discipline,0,-1
logic,reasoning,1,1
logic,structure,1,0
logic,critical,1,0
grade,score,-1,-1
grade,evaluation,-1,0
grade,feedback,-1,0
ai,machine,0,-1
ai,learn,0,1
ai,future,0,0
datum,information,0,0
datum,analysis,0,1
datum,statistic,0,0
teacher,educator,1,1
teacher,mentor,1,1
teacher,guide,1,1
