cue_word,association_word,cue_valence,associated_valence
experiment,discovery,0,1
experiment,science,0,1
experiment,test,0,-1
lecture,learn,-1,0
lecture,bore,-1,-1
lecture,information,-1,0
exam,stress,-1,-1
exam,evaluation,-1,-1
exam,preparation,-1,0
future,opportunity,0,1
future,uncertainty,0,-1
future,progress,0,1
study,focus,0,0
study,knowledge,0,1
study,effort,0,0
creativity,innovation,1,1
creativity,art,1,-1
creativity,originality,1,1
classroom,education,-1,1
classroom,structure,-1,0
classroom,interaction,-1,0
knowledge,power,1,0
knowledge,wisdom,1,1
knowledge,understand,1,1
algorithm,logic,1,1
algorithm,efficiency,1,1
algorithm,code,1,1
equation,mathematic,0,1
equation,balance,0,0
equation,solution,0,1
datum,analysis,1,1
datum,information,1,0
datum,pattern,1,1
chatgpt,ai,0,1
chatgpt,tool,0,0
chatgpt,assistance,0,0
number,quantification,1,0
number,precision,1,1
number,calculation,1,1
logic,reasoning,1,1
logic,clarity,1,1
logic,rationality,1,1
success,achievement,1,1
success,recognition,1,0
success,satisfaction,1,1
theorem,proof,1,1
theorem,mathematic,1,1
theorem,truth,1,1
work,productivity,0,1
work,responsibility,0,0
work,career,0,1
professor,expertise,0,1
professor,guidance,0,1
professor,authority,0,-1
failure,learn,-1,1
failure,disappointment,-1,-1
failure,growth,-1,0
grade,evaluation,-1,-1
grade,pressure,-1,-1
grade,feedback,-1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,uncertainty,-1,-1
stem,science,1,1
stem,technology,1,1
stem,progress,1,1
biology,life,0,1
biology,nature,0,1
biology,complexity,0,0
job,income,0,1
job,stability,0,1
job,routine,0,-1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,laboratory,0,0
homework,work,-1,-1
homework,stress,-1,-1
homework,learn,-1,0
teacher,guide,0,0
teacher,authority,0,-1
teacher,knowledge,0,1
literature,book,-1,-1
literature,bore,-1,-1
literature,story,-1,-1
class,room,-1,-1
class,learn,-1,0
class,bore,-1,-1
music,sound,0,-1
music,relax,0,1
music,art,0,0
student,learn,0,0
student,young,0,-1
student,study,0,-1
history,past,-1,-1
history,fact,-1,0
history,bore,-1,-1
model,system,0,0
model,simulation,0,1
model,math,0,1
science,research,1,1
science,discovery,1,1
science,truth,1,1
blackboard,chalk,-1,-1
blackboard,teach,-1,0
blackboard,old,-1,-1
society,people,-1,0
society,rule,-1,-1
society,complex,-1,-1
teamwork,collaboration,0,1
teamwork,people,0,0
teamwork,efficiency,0,1
philosophy,think,-1,0
philosophy,abstract,-1,-1
philosophy,confuse,-1,-1
proof,logic,1,1
proof,certainty,1,1
proof,math,1,1
ai,intelligence,1,1
ai,future,1,1
ai,technology,1,1
art,creativity,-1,0
art,expression,-1,0
art,subjective,-1,-1
informatic,computer,1,1
informatic,datum,1,1
informatic,programming,1,1
computation,calculation,1,1
computation,processing,1,1
computation,logic,1,1
llm,language,1,0
llm,model,1,0
llm,ai,1,1
mathematic,number,1,0
mathematic,logic,1,1
mathematic,beauty,1,1
variable,unknown,0,-1
variable,math,0,1
variable,change,0,-1
scientist,research,1,1
scientist,discovery,1,1
scientist,smart,1,1
physics,universe,1,1
physics,law,1,1
physics,math,1,1
problem - solve,challenge,1,0
problem - solve,logic,1,1
problem - solve,solution,1,1
career,work,0,-1
career,success,0,1
career,stress,0,-1
