cue_word,association_word,cue_valence,associated_valence
number,math,0,0
number,count,0,-1
number,shape,0,-1
blackboard,chalk,-1,0
blackboard,teacher,-1,0
blackboard,classroom,-1,0
literature,book,0,0
literature,story,0,0
literature,read,0,0
history,past,0,-1
history,event,0,0
history,learn,0,0
theorem,proof,-1,0
theorem,math,-1,0
theorem,logic,-1,0
llm,ai,0,0
llm,smart,0,0
llm,chat,0,-1
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,deep,0,0
professor,teacher,0,0
professor,expert,0,0
professor,mentor,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,-1
homework,work,-1,0
homework,stress,-1,-1
homework,test,-1,-1
future,hope,0,0
future,dream,0,0
future,change,0,0
teamwork,collaborate,0,0
teamwork,support,0,0
teamwork,group,0,0
science,experiment,0,0
science,discover,0,0
science,nature,0,0
grade,score,-1,-1
grade,exam,-1,-1
grade,result,-1,-1
chatgpt,ai,0,0
chatgpt,chatbot,0,0
chatgpt,write,0,-1
biology,life,0,0
biology,cell,0,0
biology,nature,0,0
student,learn,0,0
student,study,0,0
student,school,0,0
stem,tech,0,0
stem,science,0,0
stem,math,0,0
model,design,-1,0
model,sim,-1,-1
model,predict,-1,-1
failure,mistake,-1,-1
failure,learn,-1,0
failure,try,-1,-1
datum,info,-1,0
datum,stat,-1,0
datum,code,-1,-1
ai,tech,0,0
ai,future,0,0
ai,smart,0,0
art,creative,0,0
art,paint,0,0
art,music,0,0
chemistry,reaction,0,-1
chemistry,lab,0,0
chemistry,science,0,0
work,job,-1,-1
work,effort,-1,0
work,career,-1,0
equation,math,0,0
equation,formula,0,-1
equation,balance,0,0
society,culture,0,0
society,community,0,0
society,people,0,0
teacher,mentor,0,0
teacher,guide,0,0
teacher,educator,0,0
creativity,art,0,0
creativity,innovation,0,0
creativity,inspiration,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
variable,datum,0,-1
variable,unknown,0,-1
variable,factor,0,-1
physics,science,0,0
physics,matter,0,0
physics,energy,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,info,0,-1
exam,test,-1,-1
exam,grade,-1,-1
exam,pressure,-1,-1
job,work,0,0
job,career,0,0
job,income,0,0
music,melody,0,0
music,rhythm,0,0
music,emotion,0,0
lecture,speech,-1,-1
lecture,class,-1,0
lecture,lesson,-1,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,process,0,-1
career,job,0,0
career,profession,0,0
career,growth,0,0
classroom,learn,0,0
classroom,school,0,0
classroom,teach,0,0
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
computation,calculation,-1,-1
computation,math,-1,0
computation,datum,-1,-1
logic,reasoning,0,0
logic,structure,0,0
logic,order,0,0
proof,demonstration,0,0
proof,truth,0,0
proof,math,0,0
study,research,0,0
study,learn,0,0
study,investigation,0,0
class,course,0,0
class,lesson,0,0
class,education,0,0
scientist,researcher,0,0
scientist,innovator,0,0
scientist,expert,0,0
informatic,datum,0,-1
informatic,science,0,0
informatic,technology,0,0
experiment,test,0,-1
experiment,research,0,0
experiment,trial,0,-1
success,achievement,0,0
success,goal,0,0
success,accomplishment,0,0
