cue_word,association_word,cue_valence,associated_valence
study,learn,0,1
study,book,0,0
homework,assignment,-1,-1
homework,stress,-1,-1
biology,cell,0,0
biology,evolution,0,-1
grade,performance,-1,-1
grade,letter,-1,-1
theorem,proof,0,1
theorem,mathematic,0,0
scientist,research,1,1
scientist,discovery,1,1
literature,book,0,0
literature,poetry,0,-1
equation,math,0,0
equation,solve,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
variable,math,-1,0
variable,change,-1,-1
lecture,teach,-1,0
lecture,classroom,-1,-1
experiment,science,0,1
experiment,test,0,-1
chemistry,reaction,0,-1
chemistry,element,0,0
student,learn,0,1
student,school,0,-1
blackboard,classroom,-1,-1
blackboard,chalk,-1,-1
chatgpt,ai,1,0
chatgpt,assistant,1,1
career,job,0,-1
career,growth,0,1
number,math,-1,0
number,count,-1,-1
failure,mistake,-1,-1
failure,loss,-1,-1
teamwork,collaboration,1,1
teamwork,group,1,0
music,song,1,1
music,rhythm,1,0
datum,information,-1,0
datum,analysis,-1,-1
proof,evidence,1,1
proof,theorem,1,0
future,hope,0,1
future,time,0,-1
stem,science,1,1
stem,technology,1,1
exam,test,-1,-1
exam,study,-1,0
exam,stress,-1,-1
creativity,innovation,1,1
creativity,art,1,0
creativity,idea,1,1
art,beauty,1,1
art,expression,1,0
art,culture,1,0
computation,calculation,-1,-1
computation,datum,-1,-1
computation,algorithm,-1,0
class,student,0,0
class,learn,0,1
class,teacher,0,0
logic,reasoning,-1,-1
logic,mathematic,-1,-1
logic,structure,-1,-1
model,simulation,0,-1
model,prediction,0,0
model,datum,0,-1
society,community,0,1
society,culture,0,0
society,interaction,0,-1
llm,ai,0,0
llm,language,0,1
llm,model,0,0
problem - solve,logic,1,-1
problem - solve,creativity,1,1
problem - solve,strategy,1,0
history,past,-1,-1
history,event,-1,-1
history,learn,-1,0
classroom,student,0,0
classroom,teacher,0,0
classroom,learn,0,1
ai,technology,0,0
ai,machine,0,-1
ai,future,0,0
science,experiment,1,0
science,knowledge,1,1
science,discovery,1,1
teacher,classroom,0,0
teacher,student,0,0
teacher,education,0,1
job,work,-1,-1
job,career,-1,0
job,income,-1,0
professor,teacher,0,0
professor,university,0,-1
professor,research,0,0
philosophy,think,-1,-1
philosophy,ethic,-1,-1
philosophy,knowledge,-1,1
mathematic,number,-1,-1
mathematic,logic,-1,-1
mathematic,problem,-1,-1
informatic,computer,0,-1
informatic,datum,0,-1
informatic,technology,0,0
physics,energy,0,1
physics,law,0,-1
physics,experiment,0,0
knowledge,learn,1,1
knowledge,science,1,1
knowledge,wisdom,1,1
algorithm,code,0,-1
algorithm,logic,0,-1
algorithm,solution,0,0
work,job,-1,-1
work,effort,-1,-1
work,productivity,-1,0
success,achievement,1,1
success,goal,1,1
success,happiness,1,1
