cue_word,association_word,cue_valence,associated_valence
ai,intelligence,0,1
ai,technology,0,0
ai,future,0,-1
mathematic,logic,0,1
mathematic,proof,0,0
mathematic,abstraction,0,-1
biology,life,0,1
biology,cell,0,-1
biology,evolution,0,0
teacher,knowledge,0,1
teacher,guidance,0,0
teacher,patience,0,0
lecture,classroom,-1,0
lecture,discourse,-1,-1
lecture,information,-1,0
career,growth,0,1
career,stability,0,0
career,opportunity,0,0
computation,algorithm,0,1
computation,datum,0,0
computation,processing,0,-1
job,work,0,0
job,income,0,1
job,responsibility,0,0
study,book,0,1
study,learn,0,1
study,effort,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
literature,story,0,1
literature,book,0,1
literature,imagination,0,1
professor,expertise,0,1
professor,teach,0,1
professor,research,0,0
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
scientist,discovery,0,1
scientist,research,0,1
scientist,datum,0,0
chatgpt,ai,0,0
chatgpt,language,0,0
chatgpt,help,0,1
physics,equation,0,0
physics,universe,0,1
physics,law,0,0
problem - solve,logic,1,1
problem - solve,strategy,1,0
problem - solve,solution,1,1
experiment,test,0,0
experiment,result,0,0
experiment,hypothesis,0,0
class,student,0,0
class,teach,0,1
class,group,0,0
logic,reasoning,1,1
logic,deduction,1,1
logic,truth,1,1
llm,ai,0,0
llm,language,0,0
llm,model,0,0
teamwork,collaboration,0,1
teamwork,support,0,1
teamwork,communication,0,0
model,simulation,0,0
model,representation,0,0
model,prediction,0,0
failure,lesson,-1,0
failure,recovery,-1,0
failure,mistake,-1,-1
art,creativity,0,1
art,expression,0,0
art,beauty,0,1
history,past,-1,-1
history,event,-1,-1
history,lesson,-1,0
theorem,proof,0,1
theorem,math,0,0
theorem,logic,0,0
algorithm,code,0,1
algorithm,step,0,-1
algorithm,process,0,0
student,learn,-1,0
student,class,-1,-1
student,grade,-1,-1
equation,math,-1,0
equation,solve,-1,0
equation,number,-1,0
science,experiment,0,0
science,discovery,0,1
science,research,0,0
grade,score,-1,-1
grade,mark,-1,-1
grade,result,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
number,math,0,0
number,calculation,0,0
number,quantity,0,-1
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
exam,test,-1,-1
exam,pressure,-1,-1
exam,result,-1,-1
variable,unknown,-1,-1
variable,change,-1,-1
variable,input,-1,-1
homework,practice,-1,0
homework,assignment,-1,-1
homework,study,-1,0
success,achievement,1,1
success,goal,1,0
success,progress,1,0
classroom,teach,-1,0
classroom,student,-1,-1
classroom,teacher,-1,0
work,job,-1,-1
work,effort,-1,0
work,task,-1,-1
society,community,-1,0
society,culture,-1,0
society,influence,-1,-1
music,sound,1,0
music,song,1,0
music,rhythm,1,0
proof,logic,1,0
proof,math,1,0
proof,theorem,1,0
future,hope,-1,0
future,potential,-1,0
future,challenge,-1,-1
philosophy,think,0,0
philosophy,question,0,-1
philosophy,idea,0,0
knowledge,understand,1,1
knowledge,learn,1,0
knowledge,wisdom,1,1
informatic,computer,0,0
informatic,software,0,0
informatic,datum,0,0
blackboard,chalk,-1,0
blackboard,write,-1,0
blackboard,classroom,-1,-1
