cue_word,association_word,cue_valence,associated_valence
teacher,education,0,1
teacher,guidance,0,1
teacher,knowledge,0,1
logic,reasoning,0,0
logic,math,0,0
logic,philosophy,0,1
professor,lecture,0,0
professor,research,0,0
professor,expert,0,1
algorithm,code,0,0
algorithm,computation,0,0
algorithm,solution,0,0
number,math,0,0
number,datum,0,0
number,calculation,0,0
history,past,-1,0
history,event,-1,0
history,study,-1,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
creativity,innovation,1,1
creativity,art,1,1
creativity,idea,1,1
equation,math,0,0
equation,solution,0,0
equation,variable,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
proof,evidence,0,0
proof,math,0,0
proof,logic,0,0
stem,science,0,1
stem,technology,0,1
stem,engineering,0,0
class,student,0,0
class,learn,0,1
class,subject,0,0
exam,test,-1,-1
exam,study,-1,0
exam,stress,-1,-1
literature,book,1,1
literature,read,1,1
literature,poetry,1,1
biology,science,1,1
biology,life,1,1
biology,cell,1,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,1
lecture,class,0,0
lecture,professor,0,0
lecture,note,0,0
future,hope,0,1
future,plan,0,0
future,uncertainty,0,-1
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
scientist,research,1,1
scientist,discovery,1,1
scientist,experiment,1,1
computation,math,0,0
computation,calculation,0,0
computation,algorithm,0,0
homework,study,-1,0
homework,assignment,-1,0
homework,stress,-1,-1
problem - solve,logic,0,0
problem - solve,creativity,0,1
problem - solve,solution,0,1
music,song,1,1
music,melody,1,1
music,rhythm,1,1
chemistry,reaction,0,0
chemistry,laboratory,0,0
chemistry,element,0,0
grade,exam,0,-1
grade,performance,0,0
grade,progress,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,algorithm,0,0
theorem,proof,0,0
theorem,mathematic,0,-1
theorem,logic,0,0
physics,law,-1,0
physics,energy,-1,0
physics,mechanic,-1,0
job,work,0,0
job,career,0,0
job,salary,0,0
llm,law,0,0
llm,study,0,0
llm,degree,0,0
mathematic,number,-1,0
mathematic,algebra,-1,-1
mathematic,geometry,-1,-1
study,learn,0,0
study,research,0,0
study,education,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
knowledge,learn,1,0
knowledge,education,1,0
knowledge,wisdom,1,1
society,community,0,0
society,culture,0,0
society,people,0,0
career,job,0,0
career,profession,0,0
career,growth,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,lesson,0,0
model,design,0,0
model,simulation,0,0
model,theory,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
ai,technology,0,0
ai,machine,0,0
ai,future,0,0
art,creativity,0,0
art,paint,0,0
art,expression,0,0
experiment,science,0,0
experiment,research,0,0
experiment,discovery,0,0
student,learn,0,0
student,education,0,0
student,knowledge,0,1
classroom,teach,0,0
classroom,learn,0,0
classroom,education,0,0
science,research,0,0
science,experiment,0,0
science,discovery,0,0
work,job,0,0
work,career,0,0
work,effort,0,0
success,achievement,1,1
success,goal,1,1
success,victory,1,1
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,ethic,0,0
