cue_word,association_word,cue_valence,associated_valence
biology,life,0,0
biology,cell,0,0
biology,nature,0,1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,trust,1,1
scientist,research,0,0
scientist,curious,0,0
scientist,innovative,0,1
art,creative,1,1
art,beautiful,1,1
art,expressive,1,1
logic,reasoning,0,0
logic,clear,0,0
logic,structure,0,0
datum,information,0,0
datum,analysis,0,0
datum,pattern,0,0
proof,evidence,0,0
proof,truth,0,1
proof,certainty,0,0
student,learn,0,0
student,curious,0,0
student,study,0,0
music,melody,1,1
music,rhythm,1,0
music,emotion,1,0
career,work,0,0
career,ambition,0,0
career,growth,0,0
grade,score,-1,-1
grade,achievement,-1,0
grade,performance,-1,0
exam,stress,-1,-1
exam,test,-1,-1
exam,pressure,-1,-1
history,past,0,0
history,lesson,0,0
history,culture,0,0
success,achievement,1,1
success,goal,1,0
success,victory,1,1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,nervous,-1,-1
future,hope,0,1
future,planning,0,0
future,possibility,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,system,0,0
model,representation,0,0
model,theory,0,0
model,simulation,0,0
science,knowledge,1,1
science,discovery,1,1
science,truth,1,1
failure,mistake,-1,-1
failure,lesson,-1,0
failure,setback,-1,-1
number,math,0,0
number,quantify,0,0
number,calculate,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,0
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,molecule,0,0
problem - solve,solution,0,0
problem - solve,strategy,0,0
problem - solve,think,0,0
professor,teacher,0,0
professor,mentor,0,1
professor,knowledgeable,0,0
knowledge,wisdom,0,0
knowledge,power,0,0
knowledge,growth,0,1
creativity,innovation,1,1
creativity,freedom,1,0
creativity,art,1,1
computation,logic,0,0
computation,speed,0,0
computation,accuracy,0,1
variable,change,0,0
variable,unknown,0,-1
variable,factor,0,0
study,learn,0,1
study,effort,0,0
study,research,0,0
teacher,mentor,0,1
teacher,guide,0,0
teacher,authority,0,-1
society,community,0,0
society,culture,0,0
society,structure,0,0
stem,science,0,0
stem,tech,0,0
stem,engineering,0,0
equation,math,0,0
equation,formula,0,0
equation,balance,0,0
literature,story,0,1
literature,word,0,0
literature,history,0,0
llm,ai,0,0
llm,chatbot,0,-1
llm,tool,0,0
blackboard,chalk,0,-1
blackboard,classroom,0,0
blackboard,whiteboard,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,truth,0,1
job,career,0,0
job,work,0,0
job,income,0,0
classroom,learn,0,1
classroom,school,0,0
classroom,teacher,0,0
work,labor,0,-1
work,effort,0,0
work,productivity,0,0
ai,technology,0,0
ai,future,0,0
ai,automation,0,-1
lecture,teach,0,0
lecture,presentation,0,0
lecture,classroom,0,0
physics,science,0,0
physics,nature,0,0
physics,law,0,0
mathematic,logic,0,0
mathematic,number,0,0
mathematic,problem - solve,0,1
informatic,datum,0,0
informatic,software,0,0
informatic,system,0,0
chatgpt,ai,0,0
chatgpt,chatbot,0,-1
chatgpt,assistant,0,0
class,learn,0,1
class,school,0,0
class,education,0,0
experiment,science,0,0
experiment,testing,0,0
experiment,discovery,0,1
homework,work,-1,0
homework,study,-1,0
homework,grade,-1,0
