cue_word,association_word,cue_valence,associated_valence
career,success,0,0
career,ambition,0,0
career,growth,0,0
lecture,knowledge,-1,0
lecture,bore,-1,-1
lecture,professor,-1,0
ai,intelligence,0,0
ai,future,0,0
ai,robot,0,-1
algorithm,code,0,0
algorithm,efficiency,0,0
algorithm,logic,0,0
chatgpt,helpful,0,0
chatgpt,chat,0,0
chatgpt,innovative,0,0
variable,math,-1,0
variable,change,-1,-1
variable,unknown,-1,-1
physics,universe,0,0
physics,law,0,0
physics,einstein,0,0
datum,information,0,0
datum,analysis,0,0
datum,big,0,-1
model,predict,0,0
model,train,0,-1
model,machine,0,0
art,beauty,0,0
art,creativity,0,0
art,expression,0,0
philosophy,ethic,0,0
philosophy,think,0,0
philosophy,deep,0,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
biology,life,0,0
biology,evolution,0,0
biology,cell,0,-1
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
computation,computer,0,0
computation,speed,0,0
computation,code,0,0
scientist,discovery,0,0
scientist,genius,0,0
scientist,lab,0,0
future,hope,0,0
future,progress,0,0
future,uncertain,0,-1
proof,evidence,0,0
proof,theorem,0,0
proof,truth,0,0
music,melody,0,0
music,joy,0,0
music,rhythm,0,0
literature,story,0,0
literature,wisdom,0,0
literature,book,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
mathematic,logic,0,0
mathematic,number,0,-1
mathematic,solve,0,0
exam,test,-1,-1
exam,pressure,-1,-1
exam,grade,-1,-1
llm,language,0,0
llm,generate,0,0
llm,model,0,0
teamwork,collaboration,0,0
teamwork,success,0,0
teamwork,team,0,0
study,learn,0,0
study,book,0,0
study,focus,0,0
stem,science,0,0
stem,tech,0,0
stem,math,0,0
history,past,0,-1
history,event,0,0
history,lesson,0,0
logic,reason,0,0
logic,puzzle,0,0
logic,deduce,0,0
success,achieve,0,0
success,win,0,0
success,goal,0,0
grade,score,-1,-1
grade,mark,-1,-1
grade,test,-1,-1
student,learn,0,0
student,school,0,0
student,youth,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,code,0,0
job,career,0,0
job,salary,0,0
job,work,0,-1
society,community,0,0
society,progress,0,0
society,people,0,0
classroom,desk,0,-1
classroom,teacher,0,0
classroom,learn,0,0
professor,expert,0,0
professor,lecture,0,-1
professor,teach,0,0
equation,solve,0,0
equation,math,0,0
equation,formula,0,0
theorem,prove,0,0
theorem,math,0,0
theorem,logic,0,0
number,count,-1,-1
number,calculate,-1,-1
number,math,-1,0
failure,mistake,-1,-1
failure,lose,-1,-1
failure,defeat,-1,-1
knowledge,wisdom,0,0
knowledge,learn,0,0
knowledge,power,0,0
blackboard,chalk,-1,-1
blackboard,write,-1,0
blackboard,teach,-1,0
experiment,test,0,-1
experiment,lab,0,0
experiment,discover,0,0
teacher,educate,0,0
teacher,guide,0,0
teacher,mentor,0,0
homework,task,-1,-1
homework,study,-1,0
homework,assign,-1,-1
work,effort,-1,-1
work,job,-1,0
work,labor,-1,-1
science,discover,0,0
science,fact,0,0
science,experiment,0,0
problem - solve,think,0,0
problem - solve,solve,0,0
problem - solve,puzzle,0,0
class,lesson,0,0
class,group,0,-1
class,school,0,0
