cue_word,association_word,cue_valence,associated_valence
literature,bore,-1,-1
literature,essay,-1,-1
literature,poem,-1,-1
scientist,lab,1,0
scientist,research,1,1
scientist,discovery,1,1
exam,stress,-1,-1
exam,study,-1,-1
exam,pass,-1,0
grade,gpa,-1,0
grade,score,-1,-1
grade,fail,-1,-1
number,math,1,1
number,count,1,0
number,fun,1,1
logic,puzzle,1,1
logic,reason,1,1
logic,deduction,1,0
knowledge,learn,1,1
knowledge,book,1,0
knowledge,wisdom,1,1
career,job,0,0
career,success,0,1
career,future,0,0
equation,solve,1,0
equation,math,1,1
equation,balance,1,0
theorem,proof,0,0
theorem,math,0,1
theorem,axiom,0,0
chemistry,lab,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
stem,science,1,1
stem,math,1,1
stem,tech,1,0
job,work,0,-1
job,money,0,1
job,career,0,0
physics,hard,-1,-1
physics,formula,-1,-1
physics,hate,-1,-1
failure,loss,-1,-1
failure,shame,-1,-1
failure,lesson,-1,-1
philosophy,idea,0,1
philosophy,think,0,0
philosophy,deep,0,0
anxiety,worry,-1,-1
anxiety,panic,-1,-1
anxiety,fear,-1,-1
classroom,friend,0,1
classroom,learn,0,0
classroom,board,0,-1
class,group,0,1
class,lesson,0,-1
class,discuss,0,0
teacher,mentor,0,1
teacher,teach,0,0
teacher,strict,0,-1
lecture,listen,-1,-1
lecture,note,-1,-1
lecture,dull,-1,-1
variable,x,0,0
variable,change,0,-1
variable,math,0,1
proof,evidence,1,0
proof,logic,1,1
proof,true,1,1
informatic,code,0,0
informatic,computer,0,0
informatic,datum,0,0
llm,ai,0,1
llm,chat,0,0
llm,smart,0,1
teamwork,collaboration,0,1
teamwork,friend,0,1
teamwork,group,0,-1
datum,analysis,1,1
datum,number,1,0
datum,insight,1,1
music,relax,0,1
music,beat,0,0
music,playlist,0,0
model,learn,1,1
model,machine,1,0
model,predict,1,1
history,past,-1,-1
history,war,-1,-1
history,bore,-1,-1
biology,cell,-1,-1
biology,evolution,-1,0
biology,life,-1,1
study,learn,-1,1
study,exam,-1,-1
study,note,-1,-1
ai,smart,1,1
ai,robot,1,0
ai,future,1,1
success,achievement,1,1
success,money,1,0
success,happy,1,1
chatgpt,helpful,1,1
chatgpt,tool,1,1
chatgpt,chat,1,0
student,learn,0,1
student,friend,0,1
student,stress,0,-1
future,tech,1,1
future,job,1,0
future,exciting,1,1
work,career,0,1
work,effort,0,-1
work,salary,0,0
art,creative,-1,0
art,beautiful,-1,0
art,subjective,-1,-1
professor,teacher,0,0
professor,smart,0,1
professor,lecture,0,-1
society,people,-1,-1
society,progress,-1,0
society,issue,-1,-1
homework,tedious,-1,-1
homework,practice,-1,-1
homework,deadline,-1,-1
computation,code,1,1
computation,speed,1,1
computation,power,1,1
creativity,idea,0,1
creativity,innovation,0,1
creativity,fun,0,1
problem - solve,logic,1,1
problem - solve,challenge,1,0
problem - solve,solution,1,1
mathematic,logic,1,1
mathematic,proof,1,0
mathematic,beauty,1,1
science,discovery,1,1
science,truth,1,1
science,method,1,0
blackboard,chalk,-1,-1
blackboard,class,-1,0
blackboard,equation,-1,1
algorithm,code,1,1
algorithm,efficient,1,1
algorithm,step,1,0
experiment,test,0,0
experiment,result,0,1
experiment,lab,0,-1
