cue_word,association_word,cue_valence,associated_valence
computation,algorithm,0,0
computation,number,0,0
computation,mathematic,0,1
career,professor,0,0
career,scientist,0,0
career,work,0,0
scientist,proof,1,0
scientist,science,1,1
scientist,knowledge,1,0
science,mathematic,1,1
science,biology,1,0
science,study,1,0
work,career,0,0
work,exam,0,-1
work,grade,0,-1
exam,student,-1,0
exam,professor,-1,0
exam,grade,-1,-1
student,class,0,0
student,study,0,0
student,teacher,0,0
professor,science,0,1
professor,blackboard,0,-1
professor,literature,0,0
proof,scientist,0,1
proof,mathematic,0,1
proof,equation,0,0
society,knowledge,0,0
society,literature,0,0
society,class,0,0
literature,art,0,0
literature,philosophy,0,0
literature,blackboard,0,-1
blackboard,class,-1,0
blackboard,professor,-1,0
blackboard,equation,-1,0
class,student,0,0
class,teacher,0,0
class,study,0,0
study,science,0,1
study,mathematic,0,1
study,knowledge,0,0
algorithm,computation,0,0
algorithm,mathematic,0,1
algorithm,number,0,0
grade,exam,-1,-1
grade,work,-1,0
grade,student,-1,0
equation,mathematic,0,1
equation,proof,0,0
equation,number,0,0
creativity,art,0,0
creativity,philosophy,0,0
creativity,literature,0,0
mathematic,science,1,1
mathematic,computation,1,0
mathematic,algorithm,1,0
philosophy,literature,0,0
philosophy,art,0,0
philosophy,creativity,0,0
biology,science,0,1
biology,study,0,0
biology,knowledge,0,0
knowledge,science,0,1
knowledge,study,0,0
knowledge,scientist,0,1
art,literature,0,0
art,creativity,0,0
art,philosophy,0,0
number,mathematic,0,1
number,computation,0,0
number,algorithm,0,0
teacher,student,0,0
teacher,class,0,0
teacher,professor,0,0
logic,reason,0,1
logic,math,0,0
logic,proof,0,0
stem,science,0,1
stem,engineering,0,0
stem,innovation,0,0
failure,learn,-1,0
failure,resilience,-1,0
failure,opportunity,-1,0
ai,technology,0,0
ai,intelligence,0,1
ai,automation,0,-1
history,past,0,-1
history,culture,0,0
history,lesson,0,0
job,career,0,0
job,work,0,-1
job,security,0,0
chatgpt,language,1,0
chatgpt,model,1,0
chatgpt,response,1,0
informatic,datum,0,1
informatic,system,0,0
informatic,information,0,0
lecture,classroom,0,-1
lecture,education,0,1
lecture,teach,0,0
model,simulation,0,0
model,prediction,0,0
model,design,0,1
music,art,1,1
music,emotion,1,0
music,melody,1,0
homework,study,-1,0
homework,effort,-1,0
homework,grade,-1,0
future,progress,0,1
future,innovation,0,0
future,uncertainty,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,challenge,-1,-1
success,achievement,1,1
success,reward,1,0
success,growth,1,0
llm,language,1,0
llm,modeling,1,0
llm,intelligence,1,1
datum,information,1,0
datum,analysis,1,0
datum,insight,1,1
chemistry,science,0,1
chemistry,element,0,0
chemistry,reaction,0,-1
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,synergy,1,0
physics,science,0,1
physics,law,0,0
physics,universe,0,0
problem - solve,logic,1,0
problem - solve,creativity,1,1
problem - solve,solution,1,1
variable,factor,0,-1
variable,change,0,-1
variable,parameter,0,0
classroom,education,-1,1
classroom,learn,-1,0
classroom,teacher,-1,0
experiment,science,0,1
experiment,discovery,0,1
experiment,test,0,-1
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
