cue_word,association_word,cue_valence,associated_valence
biology,life,1,0
biology,cell,1,1
biology,evolution,1,1
chatgpt,ai,1,1
chatgpt,response,1,0
chatgpt,learn,1,1
grade,score,-1,-1
grade,test,-1,-1
grade,performance,-1,0
informatic,code,1,1
informatic,datum,1,1
informatic,system,1,1
creativity,innovation,1,1
creativity,idea,1,1
creativity,art,1,0
datum,number,1,0
datum,analysis,1,1
datum,storage,1,-1
student,learn,0,1
student,education,0,1
student,exam,0,-1
professor,teach,1,1
professor,research,1,0
professor,lecture,1,1
music,sound,1,-1
music,rhythm,1,0
music,artist,1,0
science,research,1,1
science,discovery,1,1
science,experiment,1,0
literature,book,1,0
literature,word,1,-1
literature,story,1,1
failure,mistake,-1,-1
failure,error,-1,-1
failure,loss,-1,-1
scientist,researcher,1,1
scientist,experiment,1,0
scientist,discover,1,1
number,math,-1,-1
number,calculation,-1,-1
number,datum,-1,0
ai,machine,1,0
ai,learn,1,1
ai,algorithm,1,0
mathematic,logic,-1,-1
mathematic,equation,-1,-1
mathematic,proof,-1,0
study,learn,1,1
study,research,1,0
study,review,1,0
theorem,proof,0,-1
theorem,logic,0,-1
theorem,truth,0,1
physics,energy,1,0
physics,force,1,-1
physics,particle,1,0
equation,math,-1,-1
equation,logic,-1,-1
equation,solution,-1,0
proof,logic,0,-1
proof,evidence,0,-1
proof,validity,0,1
computation,code,0,1
computation,datum,0,0
computation,algorithm,0,0
chemistry,molecule,1,0
chemistry,reaction,1,-1
chemistry,element,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
job,work,-1,0
job,career,-1,1
job,employment,-1,-1
philosophy,think,1,1
philosophy,mean,1,1
philosophy,ethic,1,0
experiment,test,0,1
experiment,datum,0,1
experiment,hypothesis,0,-1
class,group,0,0
class,lesson,0,1
class,study,0,1
teacher,guide,1,1
teacher,mentor,1,0
teacher,instruction,1,1
lecture,talk,0,-1
lecture,discourse,0,0
lecture,explanation,0,1
blackboard,chalk,0,-1
blackboard,note,0,1
blackboard,board,0,0
art,creativity,1,1
art,expression,1,1
art,aesthetic,1,1
society,community,0,1
society,culture,0,0
society,system,0,-1
future,tomorrow,0,-1
future,progress,0,1
future,change,0,0
work,job,0,-1
work,task,0,0
work,labor,0,-1
classroom,room,1,-1
classroom,learn,1,1
classroom,education,1,1
model,simulation,0,0
model,theory,0,-1
model,representation,0,1
history,past,0,-1
history,timeline,0,-1
history,legacy,0,0
logic,reasoning,1,1
logic,deduction,1,0
logic,proof,1,-1
stem,science,1,0
stem,technology,1,0
stem,math,1,1
teamwork,collaboration,1,1
teamwork,group,1,-1
teamwork,synergy,1,0
homework,study,-1,1
homework,assignment,-1,-1
homework,practice,-1,0
exam,test,-1,-1
exam,quiz,-1,-1
exam,evaluation,-1,1
variable,factor,0,-1
variable,change,0,-1
variable,parameter,0,0
algorithm,code,1,0
algorithm,logic,1,1
algorithm,process,1,-1
career,profession,0,1
career,future,0,-1
career,job,0,-1
knowledge,info,1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
success,achievement,1,1
success,win,1,0
success,goal,1,1
problem - solve,solve,1,1
problem - solve,issue,1,-1
problem - solve,challenge,1,0
llm,ai,1,0
llm,model,1,0
llm,learn,1,1
