cue_word,association_word,cue_valence,associated_valence
failure,disappointment,-1,-1
failure,learn,-1,0
classroom,learn,0,0
classroom,structure,0,-1
music,joy,1,1
music,creativity,1,1
job,stability,-1,0
job,stress,-1,-1
scientist,discovery,1,1
scientist,intelligence,1,1
biology,life,0,1
biology,complexity,0,-1
grade,evaluation,-1,-1
grade,pressure,-1,-1
lecture,information,-1,0
lecture,boredom,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
ai,innovation,0,1
ai,uncertainty,0,-1
chemistry,reaction,-1,0
chemistry,difficulty,-1,-1
model,simulation,0,0
model,abstraction,0,-1
chatgpt,assistance,0,1
chatgpt,dependency,0,-1
student,learn,0,0
student,pressure,0,-1
problem - solve,challenge,1,0
problem - solve,satisfaction,1,1
llm,technology,0,1
llm,complexity,0,-1
study,effort,0,-1
study,knowledge,0,1
stem,innovation,1,1
stem,rigor,1,0
success,achievement,1,1
success,happiness,1,1
number,logic,0,1
number,precision,0,0
blackboard,teach,-1,0
blackboard,old - fashioned,-1,-1
teamwork,collaboration,0,1
teamwork,conflict,0,-1
philosophy,think,-1,0
philosophy,confusion,-1,-1
physics,law,-1,0
physics,difficulty,-1,-1
art,expression,1,1
art,beauty,1,1
work,stress,-1,-1
work,money,-1,0
work,purpose,-1,1
science,discovery,1,1
science,method,1,0
science,truth,1,1
equation,balance,0,0
equation,solve,0,1
equation,math,0,0
variable,unknown,-1,-1
variable,change,-1,0
variable,algebra,-1,-1
teacher,guide,0,1
teacher,authority,0,-1
teacher,education,0,1
mathematic,logic,0,1
mathematic,precision,0,1
mathematic,abstract,0,-1
algorithm,step,1,0
algorithm,efficiency,1,1
algorithm,code,1,1
career,growth,0,1
career,stability,0,0
career,identity,0,-1
class,learn,-1,1
class,routine,-1,-1
class,peer,-1,0
knowledge,power,1,0
knowledge,wisdom,1,1
knowledge,accumulation,1,0
society,structure,-1,-1
society,norm,-1,-1
society,community,-1,1
proof,certainty,1,1
proof,rigor,1,0
proof,validation,1,0
future,uncertainty,0,-1
future,hope,0,1
future,planning,0,0
datum,information,1,1
datum,analysis,1,1
datum,number,1,0
homework,chore,-1,-1
homework,practice,-1,0
homework,deadline,-1,-1
creativity,innovation,1,1
creativity,expression,1,1
creativity,freedom,1,1
logic,reason,1,1
logic,clarity,1,1
logic,rule,1,-1
informatic,computer,1,1
informatic,system,1,0
informatic,processing,1,0
literature,story,1,1
literature,language,1,1
literature,escape,1,0
exam,test,-1,-1
exam,stress,-1,-1
exam,evaluation,-1,-1
computation,calculation,1,0
computation,speed,1,1
computation,automation,1,0
experiment,trial,1,-1
experiment,result,1,1
experiment,hypothesis,1,0
professor,expert,1,1
professor,research,1,1
professor,academia,1,0
theorem,truth,0,1
theorem,mathematic,0,0
theorem,proof,0,1
history,past,-1,-1
history,lesson,-1,0
history,memory,-1,0
