cue_word,association_word,cue_valence,associated_valence
literature,book,0,0
literature,story,0,1
proof,evidence,-1,-1
proof,demonstration,-1,-1
logic,reasoning,0,0
problem - solve,challenge,0,-1
problem - solve,solution,0,1
informatic,computer,0,0
creativity,innovation,1,1
work,effort,-1,-1
work,achievement,-1,0
professor,teacher,0,0
student,learner,0,0
history,past,-1,-1
history,event,-1,-1
failure,mistake,-1,-1
blackboard,classroom,-1,0
anxiety,stress,-1,-1
scientist,researcher,1,1
art,expression,0,0
variable,change,-1,-1
future,hope,0,1
science,discovery,1,1
knowledge,learn,1,1
knowledge,wisdom,1,1
exam,test,-1,-1
chatgpt,ai,0,0
music,harmony,1,1
teamwork,collaboration,1,1
mathematic,number,0,-1
mathematic,formula,0,-1
grade,score,-1,-1
equation,math,-1,0
equation,solve,-1,-1
number,count,-1,-1
number,calculate,-1,-1
datum,information,0,0
datum,analyze,0,0
success,achieve,1,1
success,happy,1,1
experiment,test,0,-1
experiment,discover,0,1
model,predict,0,0
model,simulate,0,0
career,job,1,0
career,growth,1,1
homework,study,-1,-1
homework,assignment,-1,-1
chemistry,element,0,0
chemistry,reaction,0,0
computation,calculate,0,-1
computation,program,0,0
llm,language,1,1
llm,model,1,1
study,learn,-1,0
study,prepare,-1,-1
teacher,educate,1,1
teacher,guide,1,1
algorithm,code,0,0
algorithm,solve,0,-1
ai,intelligence,1,1
ai,future,1,1
physics,energy,0,0
physics,motion,0,0
philosophy,think,1,1
philosophy,wisdom,1,1
classroom,learn,-1,0
classroom,teach,-1,0
theorem,proof,0,0
theorem,math,0,0
lecture,listen,-1,-1
lecture,learn,-1,0
society,people,1,1
society,community,1,1
job,work,0,0
job,career,0,1
class,student,-1,0
class,learn,-1,0
stem,science,1,1
stem,technology,1,1
biology,life,0,1
biology,cell,0,0
