cue_word,association_word,cue_valence,associated_valence
equation,math,0,1
equation,formula,0,0
equation,balance,0,0
homework,practice,0,0
homework,study,0,0
homework,task,0,0
grade,score,0,1
grade,mark,0,0
grade,evaluation,0,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,defeat,-1,-1
llm,language model,0,0
llm,ai,0,0
llm,chatbot,0,0
job,career,0,1
job,work,0,1
job,position,0,0
ai,artificial intelligence,0,1
ai,machine learn,0,0
ai,tech,0,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,0
music,song,0,0
music,melody,0,0
music,rhythm,0,0
mathematic,number,1,1
mathematic,algebra,1,0
mathematic,geometry,1,0
algorithm,process,0,0
algorithm,calculation,0,0
algorithm,step,0,0
success,achievement,1,1
success,win,1,1
success,prosperity,1,0
class,school,0,1
class,education,0,1
class,group,0,0
chemistry,element,1,1
chemistry,reaction,1,0
chemistry,laboratory,1,0
scientist,researcher,0,0
scientist,discoverer,0,1
scientist,investigator,0,0
work,career,1,1
work,task,1,0
work,responsibility,1,0
variable,unknown,0,-1
variable,factor,0,0
variable,parameter,0,0
literature,book,0,1
literature,story,0,0
literature,write,0,0
teacher,educator,0,1
teacher,mentor,0,0
teacher,guide,0,0
anxiety,stress,-1,0
anxiety,worry,-1,0
anxiety,fear,-1,-1
lecture,classroom,0,1
lecture,teach,0,0
lecture,presentation,0,0
model,example,0,0
model,representation,0,0
model,simulation,0,0
creativity,innovation,1,1
creativity,imagination,1,1
creativity,originality,1,0
physics,force,1,1
physics,motion,1,0
physics,energy,1,0
informatic,compute,1,1
informatic,software,1,0
informatic,datum,1,0
logic,deduction,0,1
logic,analysis,0,0
logic,rationality,0,0
theorem,proof,0,1
theorem,theory,0,0
theorem,principle,0,0
datum,information,0,1
datum,fact,0,0
datum,number,0,0
teamwork,collaboration,0,1
teamwork,cooperation,0,0
teamwork,partnership,0,0
proof,evidence,1,1
proof,verification,1,0
proof,certainty,1,0
society,community,0,1
society,culture,0,0
society,norm,0,0
student,learn,1,1
student,education,1,0
student,scholarship,1,0
future,prospect,0,1
future,goal,0,0
future,opportunity,0,0
exam,assessment,0,0
exam,testing,0,0
exam,evaluation,0,0
knowledge,understand,1,1
knowledge,insight,1,0
knowledge,wisdom,1,0
experiment,research,0,1
experiment,investigation,0,0
experiment,trial,0,0
history,past,0,0
history,event,0,0
history,chronology,0,0
blackboard,write,0,0
blackboard,lecture,0,0
blackboard,learn,0,0
classroom,education,1,1
classroom,teach,1,0
classroom,learn,1,0
art,creativity,0,1
art,expression,0,0
art,beauty,0,0
chatgpt,ai,0,1
chatgpt,conversational,0,0
chatgpt,assistive,0,0
computation,algorithm,0,0
computation,calculation,0,0
computation,datum processing,0,0
professor,lecturer,1,0
professor,mentor,1,0
professor,expert,1,0
philosophy,wisdom,0,0
philosophy,ethic,0,0
philosophy,reasoning,0,0
problem - solve,critical thinking,1,0
problem - solve,resolution,1,0
problem - solve,innovation,1,0
study,learn,1,1
study,research,1,0
study,analysis,1,0
number,mathematic,0,0
number,quantity,0,0
number,statistic,0,0
career,job,0,0
career,profession,0,0
career,goal,0,0
biology,life,1,1
biology,cell,1,0
biology,ecology,1,0
science,research,1,0
science,discovery,1,0
science,theory,1,0
