cue_word,association_word,cue_valence,associated_valence
success,achievement,1,0
success,goal,1,0
success,win,1,1
classroom,learn,0,0
classroom,discipline,0,0
classroom,interaction,0,0
logic,reasoning,1,1
logic,analysis,1,0
logic,rationality,1,1
lecture,presentation,0,0
lecture,knowledge,0,1
lecture,engagement,0,0
student,learner,0,0
student,curiosity,0,1
student,potential,0,0
study,learn,0,0
study,effort,0,0
study,focus,0,0
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,unity,1,1
chemistry,experiment,0,0
chemistry,reaction,0,0
chemistry,mixture,0,-1
model,representation,0,0
model,framework,0,0
model,prototype,0,0
science,experiment,1,1
science,discovery,1,1
science,knowledge,1,1
professor,expert,0,1
professor,mentor,0,0
professor,lecturer,0,0
physics,force,0,0
physics,energy,0,0
physics,motion,0,0
problem - solve,logic,1,1
problem - solve,analysis,1,0
problem - solve,strategy,1,1
chatgpt,assistant,0,0
chatgpt,ai,0,0
chatgpt,innovation,0,1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
history,past,0,-1
history,legacy,0,0
history,chronicle,0,0
theorem,proof,1,1
theorem,logic,1,1
theorem,mathematic,1,0
homework,assignment,0,0
homework,study,0,0
homework,practice,0,0
grade,score,0,-1
grade,evaluation,0,0
grade,performance,0,0
philosophy,think,1,0
philosophy,ethic,1,0
philosophy,wisdom,1,1
exam,test,0,-1
exam,challenge,0,0
exam,pressure,0,-1
teacher,instructor,1,0
teacher,mentor,1,1
teacher,guide,1,0
equation,formula,0,0
equation,calculation,0,0
equation,solution,0,1
experiment,trial,1,0
experiment,research,1,1
experiment,observation,1,0
stem,innovation,1,0
stem,research,1,1
stem,technology,1,0
computation,logic,0,0
computation,datum,0,0
computation,analysis,0,0
variable,change,0,-1
variable,flexibility,0,0
variable,uncertainty,0,-1
future,hope,1,1
future,progress,1,0
future,ambition,1,0
music,harmony,1,0
music,emotion,1,1
music,rhythm,1,0
work,effort,0,-1
work,productivity,0,0
work,stress,0,-1
failure,challenge,-1,0
failure,setback,-1,-1
failure,learn,-1,0
society,community,0,1
society,norm,0,0
society,diversity,0,0
mathematic,logic,1,0
mathematic,precision,1,1
mathematic,abstraction,1,0
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,insight,1,0
algorithm,efficiency,0,0
algorithm,pattern,0,-1
algorithm,solution,0,0
biology,life,1,1
biology,evolution,1,0
biology,diversity,1,0
creativity,imagination,1,1
creativity,expression,1,0
creativity,innovation,1,0
career,growth,0,0
career,ambition,0,0
career,stability,0,-1
number,logic,1,0
number,precision,1,1
number,calculation,1,0
job,employment,0,-1
job,responsibility,0,0
job,routine,0,-1
ai,innovation,1,0
ai,automation,1,0
ai,intelligence,1,1
blackboard,education,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
informatic,datum,0,0
informatic,technology,0,1
informatic,system,0,0
class,learn,0,0
class,structure,0,-1
class,discipline,0,-1
llm,language,1,0
llm,model,1,0
llm,ai,1,1
proof,logic,1,0
proof,certainty,1,1
proof,validation,1,0
literature,story,1,0
literature,expression,1,1
literature,culture,1,0
scientist,researcher,1,0
scientist,innovator,1,1
scientist,expert,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,uncertainty,-1,-1
