cue_word,association_word,cue_valence,associated_valence
computation,think,0,0
computation,number,0,0
computation,problem - solve,0,0
teacher,knowledgeable,1,1
teacher,supportive,1,0
teacher,dedicate,1,0
lecture,informational,0,0
lecture,structure,0,0
lecture,educational,0,0
science,research,1,0
science,discovery,1,0
science,experimentation,1,0
student,learn,1,1
student,curious,1,0
student,dedicate,1,0
creativity,innovative,1,1
creativity,original,1,0
creativity,imaginative,1,0
history,past,0,0
history,event,0,0
history,lesson,0,0
art,creative,1,1
art,expressive,1,0
art,visual,1,0
logic,reasoning,1,1
logic,analytical,1,0
logic,clear - think,1,0
ai,technology,0,0
ai,machine - learn,0,0
ai,innovation,0,0
success,achievement,1,0
success,accomplishment,1,0
success,progress,1,0
failure,setback,-1,-1
failure,mistake,-1,0
failure,loss,-1,-1
datum,information,0,0
datum,statistic,0,0
datum,number,0,1
literature,story,0,0
literature,book,0,0
literature,narrative,0,0
chatgpt,language - model,1,0
chatgpt,ai - assistant,1,0
chatgpt,conversational,1,1
mathematic,equation,0,0
mathematic,calculation,0,0
mathematic,logic,0,0
exam,assessment,-1,0
exam,testing,-1,0
exam,evaluation,-1,0
variable,factor,0,0
variable,changeable,0,1
variable,modifiable,0,0
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
homework,assignment,-1,0
homework,practice,-1,0
homework,study,-1,1
class,school,0,0
class,education,0,1
class,learn,0,1
work,job,0,0
work,task,0,0
work,responsibility,0,0
blackboard,chalk,-1,-1
blackboard,write,-1,0
blackboard,lesson,-1,0
physics,force,0,0
physics,motion,0,0
physics,study,0,0
llm,artificial - intelligence,1,0
llm,machine - learn,1,0
llm,natural - language,1,0
informatic,tech,0,1
informatic,datum,0,0
informatic,compute,0,0
philosophy,reason,0,0
philosophy,logic,0,0
philosophy,idea,0,-1
future,possibility,1,0
future,change,1,0
future,growth,1,0
job,career,0,0
job,work,0,0
job,income,0,0
classroom,learn,1,1
classroom,education,1,0
classroom,teacher,1,0
theorem,proof,0,0
theorem,math,0,0
theorem,equation,0,0
society,culture,0,0
society,relationship,0,1
society,community,0,0
anxiety,stress,-1,0
anxiety,fear,-1,0
anxiety,uncertainty,-1,0
experiment,research,0,1
experiment,discovery,0,0
experiment,science,0,0
equation,formula,0,0
equation,maths,0,0
equation,balance,0,-1
grade,score,0,1
grade,evaluation,0,0
grade,success,0,0
proof,evidence,0,0
proof,logic,0,0
proof,certainty,0,1
number,maths,0,0
number,statistic,0,0
number,datum,0,-1
music,melody,1,1
music,harmony,1,0
music,emotion,1,0
knowledge,learn,1,1
knowledge,wisdom,1,0
knowledge,fact,1,0
professor,teacher,0,0
professor,expertise,0,0
professor,mentor,0,0
biology,life,0,1
biology,cell,0,0
biology,health,0,0
chemistry,element,0,-1
chemistry,reaction,0,0
chemistry,science,0,0
study,learn,1,1
study,research,1,0
study,education,1,0
scientist,discoverer,0,0
scientist,investigator,0,0
scientist,innovator,0,0
model,representation,1,0
model,example,1,0
model,analysis,1,0
algorithm,procedure,0,0
algorithm,logic,0,0
algorithm,programming,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,sharedgoal,1,0
problem - solve,analysis,1,0
problem - solve,resolution,1,0
problem - solve,strategy,1,0
career,job,0,0
career,goal,0,0
career,success,0,0
