cue_word,association_word,cue_valence,associated_valence
lecture,instruction,-1,0
lecture,presentation,-1,0
lecture,discussion,-1,-1
science,research,1,1
science,theory,1,1
science,experiment,1,0
datum,information,1,1
datum,number,1,0
datum,statistic,1,0
blackboard,chalk,0,-1
blackboard,write,0,-1
blackboard,note,0,0
informatic,compute,0,1
informatic,software,0,1
informatic,application,0,0
teacher,mentor,1,1
teacher,educator,1,1
teacher,guide,1,0
literature,read,0,1
literature,write,0,0
literature,poetry,0,-1
model,representation,0,0
model,simulation,0,0
model,example,0,-1
grade,score,0,0
grade,rating,0,0
grade,evaluation,0,0
equation,formula,0,1
equation,mathematical,0,1
equation,calculation,0,0
algorithm,procedure,-1,-1
algorithm,process,-1,-1
algorithm,method,-1,-1
anxiety,stress,-1,-1
anxiety,tension,-1,-1
anxiety,nervousness,-1,-1
future,possibility,0,1
future,outlook,0,1
future,prospect,0,1
job,career,1,1
job,work,1,1
job,employment,1,0
physics,force,1,-1
physics,motion,1,0
physics,energy,1,0
teamwork,collaboration,0,1
teamwork,cooperation,0,1
teamwork,partnership,0,0
mathematic,number,1,1
mathematic,algebra,1,1
mathematic,geometry,1,0
variable,unknown,-1,-1
variable,factor,-1,-1
variable,component,-1,-1
study,learn,0,0
study,research,0,1
study,education,0,0
work,job,1,1
work,task,1,0
work,responsibility,1,0
creativity,imagination,1,1
creativity,innovation,1,1
creativity,originality,1,1
theorem,proof,-1,-1
theorem,principle,-1,0
theorem,law,-1,-1
classroom,school,0,1
classroom,learn,0,1
classroom,education,0,0
problem - solve,critical thinking,0,1
problem - solve,analysis,0,1
problem - solve,decision make,0,0
homework,assignment,-1,-1
homework,task,-1,-1
homework,practice,-1,-1
proof,evidence,0,1
proof,foundation,0,0
proof,certainty,0,1
history,past,0,-1
history,legacy,0,0
history,story,0,-1
success,achievement,1,1
success,prosperity,1,1
success,reward,1,1
exam,assessment,-1,-1
exam,challenge,-1,0
exam,evaluation,-1,-1
experiment,research,0,0
experiment,discovery,0,1
experiment,trial,0,-1
scientist,researcher,1,1
scientist,discoverer,1,1
scientist,analyst,1,0
failure,mistake,-1,-1
failure,defeat,-1,-1
failure,setback,-1,-1
society,community,0,1
society,culture,0,0
society,norm,0,-1
biology,life,1,1
biology,ecology,1,0
biology,organism,1,0
ai,machine,0,1
ai,technology,0,1
ai,intelligence,0,0
number,mathematic,-1,-1
number,calculation,-1,-1
number,statistic,-1,-1
logic,reasoning,1,1
logic,analysis,1,0
logic,deduction,1,0
professor,teacher,0,1
professor,mentor,0,0
professor,lecturer,0,-1
music,melody,1,1
music,harmony,1,1
music,performance,1,0
student,learner,0,1
student,scholar,0,0
student,pupil,0,-1
stem,science,0,1
stem,technology,0,1
stem,engineering,0,0
career,job,0,0
career,profession,0,0
career,goal,0,-1
chatgpt,language,-1,-1
chatgpt,ai,-1,1
chatgpt,assistant,-1,-1
computation,calculation,-1,-1
computation,processing,-1,-1
computation,algorithm,-1,-1
llm,model,0,1
llm,generation,0,0
llm,learn,0,0
philosophy,think,-1,-1
philosophy,reasoning,-1,0
philosophy,ethic,-1,-1
chemistry,element,1,0
chemistry,reaction,1,0
chemistry,science,1,0
knowledge,information,1,1
knowledge,wisdom,1,1
knowledge,understand,1,0
class,group,-1,-1
class,lecture,-1,-1
class,structure,-1,-1
art,creativity,0,1
art,expression,0,0
art,aesthetic,0,0
