cue_word,association_word,cue_valence,associated_valence
art,paint,0,0
art,expression,0,0
art,creativity,0,1
student,homework,0,-1
student,class,0,0
student,lecture,0,0
future,career,0,0
future,opportunity,0,0
future,uncertainty,0,-1
llm,technology,0,1
llm,intelligent,0,0
llm,datum,0,0
logic,reasoning,0,0
logic,mathematic,0,1
logic,proof,0,1
anxiety,stress,-1,-1
anxiety,exam,-1,-1
anxiety,pressure,-1,-1
equation,mathematic,0,1
equation,problem,0,0
equation,solution,0,0
creativity,art,1,0
creativity,music,1,0
creativity,innovation,1,1
homework,student,-1,0
homework,study,-1,0
homework,deadline,-1,-1
music,listen,0,0
music,emotion,0,1
music,song,0,0
blackboard,class,0,0
blackboard,lecture,0,0
blackboard,write,0,0
problem - solve,logic,1,0
problem - solve,equation,1,0
problem - solve,mathematic,1,1
proof,mathematic,1,1
proof,logic,1,0
proof,theorem,1,0
lecture,class,0,0
lecture,teacher,0,0
lecture,blackboard,0,0
chemistry,lab,0,0
chemistry,experiment,0,0
chemistry,molecule,0,0
datum,statistic,0,0
datum,analysis,0,0
datum,science,0,0
mathematic,equation,1,0
mathematic,problem - solve,1,1
mathematic,proof,1,1
physics,equation,0,0
physics,experiment,0,0
physics,theory,0,0
number,mathematic,0,1
number,equation,0,0
number,calculation,0,0
study,homework,0,-1
study,textbook,0,0
study,class,0,0
literature,book,0,0
literature,read,0,0
literature,story,0,0
theorem,mathematic,0,1
theorem,proof,0,1
theorem,logic,0,0
career,future,0,0
career,job,0,0
career,opportunity,0,0
class,lecture,0,0
class,student,0,0
class,teacher,0,0
teacher,class,0,0
teacher,lecture,0,0
teacher,student,0,0
job,part - time,0,0
job,flexible,0,0
job,stress,0,-1
science,curiosity,0,1
science,experiment,0,0
science,datum,0,0
chatgpt,tool,0,0
chatgpt,helpful,0,1
chatgpt,ai,0,0
computation,math,0,0
computation,cod,0,0
computation,algorithm,0,0
work,task,0,-1
work,schedule,0,0
work,balance,0,0
experiment,test,0,0
experiment,result,0,0
experiment,hypothesis,0,0
history,past,0,-1
history,lesson,0,0
history,event,0,0
philosophy,think,0,0
philosophy,question,0,1
philosophy,reason,0,0
informatic,datum,0,0
informatic,system,0,0
informatic,software,0,0
ai,intelligence,0,0
ai,learn,0,0
ai,technology,0,1
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
success,achievement,1,0
success,goal,1,0
success,effort,1,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,communication,0,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,logic,0,1
stem,science,0,0
stem,technology,0,1
stem,engineering,0,0
failure,mistake,-1,0
failure,lesson,-1,0
failure,retry,-1,0
society,community,0,0
society,culture,0,0
society,change,0,0
exam,test,-1,0
exam,stress,-1,-1
exam,grade,-1,0
knowledge,understand,1,1
knowledge,information,1,0
knowledge,skill,1,0
variable,factor,0,0
variable,change,0,0
variable,input,0,0
scientist,research,0,1
scientist,discovery,0,1
scientist,datum,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,0
model,representation,0,0
model,simulation,0,0
model,theory,0,0
grade,score,0,0
grade,point,0,0
grade,result,0,0
professor,teach,0,0
professor,mentor,0,0
professor,course,0,0
