cue_word,association_word,cue_valence,associated_valence
algorithm,order,0,0
algorithm,efficiency,0,0
algorithm,precision,0,0
ai,intelligent,-1,0
ai,automation,-1,0
ai,learn,-1,0
problem - solve,strategy,0,0
problem - solve,clarity,0,0
problem - solve,solution,0,0
mathematic,logic,0,0
mathematic,abstraction,0,-1
mathematic,proof,0,0
professor,knowledge,0,0
professor,authority,0,-1
professor,mentorship,0,0
datum,analysis,0,0
datum,information,0,0
datum,volume,0,-1
job,income,0,0
job,stability,0,0
job,purpose,0,0
success,achievement,0,0
success,goal,0,0
success,pride,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,experiment,0,0
future,possibility,-1,0
future,change,-1,0
future,uncertainty,-1,-1
computation,speed,0,0
computation,accuracy,0,0
computation,processing,0,0
class,learn,-1,0
class,discipline,-1,0
class,structure,-1,0
history,memory,0,0
history,pattern,0,0
history,event,0,-1
philosophy,reasoning,0,0
philosophy,question,0,0
philosophy,understand,0,0
literature,story,0,0
literature,emotion,0,0
literature,narrative,0,0
chatgpt,helpful,-1,0
chatgpt,conversational,-1,0
chatgpt,tool,-1,0
biology,life,0,0
biology,growth,0,0
biology,evolution,0,-1
logic,reason,0,0
logic,structure,0,0
logic,consistency,0,0
work,effort,-1,0
work,income,-1,0
work,routine,-1,-1
study,focus,0,0
study,progress,0,0
study,learn,0,0
music,emotion,0,0
music,rhythm,0,-1
music,expression,0,0
physics,law,0,0
physics,universe,0,0
physics,motion,0,-1
failure,lesson,-1,0
failure,setback,-1,-1
failure,disappointment,-1,-1
student,learn,0,0
student,curiosity,0,0
student,growth,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,originality,0,0
variable,flexible,0,0
variable,change,0,-1
variable,uncertainty,0,-1
model,structure,0,0
model,representation,0,0
model,accuracy,0,0
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,support,0,0
informatic,technology,0,0
informatic,datum,0,0
informatic,system,0,-1
grade,performance,-1,0
grade,evaluation,-1,-1
grade,score,-1,0
homework,practice,-1,0
homework,assignment,-1,-1
homework,work,-1,-1
science,discovery,0,0
science,experiment,0,0
science,fact,0,-1
teamwork,collaboration,0,0
teamwork,share,0,0
teamwork,effort,0,-1
number,quantify,0,0
number,calculation,0,0
number,pattern,0,-1
lecture,presentation,-1,0
lecture,information,-1,0
lecture,class,-1,-1
society,structure,0,-1
society,influence,0,0
society,change,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,truth,0,0
equation,formula,0,0
equation,solution,0,-1
equation,balance,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
proof,logic,0,0
proof,validity,0,0
proof,certainty,0,0
exam,test,-1,-1
exam,pressure,-1,-1
exam,performance,-1,0
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,visual,-1,0
experiment,test,0,-1
experiment,observation,0,0
experiment,result,0,0
career,job,0,-1
career,growth,0,0
career,path,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
knowledge,learn,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
classroom,learn,-1,0
classroom,space,-1,-1
classroom,activity,-1,0
llm,ai,0,0
llm,language,0,-1
llm,tool,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
