cue_word,association_word,cue_valence,associated_valence
model,algorithm,0,-1
model,learn,0,1
model,neural,0,0
blackboard,chalk,-1,-1
blackboard,lecture,-1,-1
blackboard,classroom,-1,-1
proof,theorem,0,1
proof,logic,0,0
proof,demonstration,0,0
professor,lecturer,-1,-1
professor,expert,-1,0
professor,mentor,-1,1
computation,calculation,-1,-1
computation,processing,-1,0
computation,algorithm,-1,-1
variable,constant,-1,-1
variable,parameter,-1,-1
variable,symbol,-1,-1
failure,mistake,-1,-1
failure,error,-1,-1
failure,setback,-1,-1
chemistry,reaction,-1,0
chemistry,compound,-1,-1
chemistry,molecule,-1,-1
society,community,-1,0
society,culture,-1,1
society,group,-1,-1
history,past,-1,-1
history,chronicle,-1,-1
history,legacy,-1,0
science,experiment,1,0
science,research,1,1
science,discovery,1,1
teacher,educator,-1,0
teacher,instructor,-1,-1
teacher,mentor,-1,1
chatgpt,assistant,0,0
chatgpt,ai,0,1
chatgpt,language,0,-1
experiment,trial,0,-1
experiment,test,0,-1
experiment,research,0,1
philosophy,ethic,-1,0
philosophy,logic,-1,0
philosophy,metaphysic,-1,-1
success,achievement,1,1
success,victory,1,0
success,triumph,1,1
job,career,-1,0
job,employment,-1,-1
job,work,-1,-1
stem,science,1,1
stem,technology,1,0
stem,engineering,1,0
study,research,-1,0
study,learn,-1,1
study,analysis,-1,-1
ai,machine,1,0
ai,intelligence,1,1
ai,algorithm,1,-1
mathematic,calculus,0,-1
mathematic,algebra,0,-1
mathematic,geometry,0,-1
physics,force,1,-1
physics,energy,1,0
physics,motion,1,0
scientist,researcher,0,0
scientist,expert,0,1
scientist,inventor,0,0
informatic,datum,-1,-1
informatic,compute,-1,-1
informatic,analysis,-1,-1
class,lecture,-1,-1
class,session,-1,-1
class,group,-1,-1
llm,intelligent,1,0
llm,model,1,-1
llm,analysis,1,0
datum,information,0,0
datum,statistic,0,-1
datum,insight,0,1
literature,book,0,0
literature,write,0,-1
literature,culture,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,unity,1,1
student,learner,0,0
student,curiosity,0,1
student,potential,0,0
lecture,presentation,-1,-1
lecture,education,-1,0
lecture,talk,-1,-1
algorithm,code,1,0
algorithm,logic,1,1
algorithm,solution,1,1
future,progress,1,1
future,innovation,1,1
future,hope,1,1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,0
career,job,1,0
career,growth,1,1
career,success,1,1
exam,test,-1,-1
exam,challenge,-1,0
exam,pressure,-1,-1
homework,assignment,-1,-1
homework,study,-1,0
homework,practice,-1,0
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
anxiety,fear,-1,-1
music,melody,1,0
music,rhythm,1,1
music,harmony,1,1
equation,formula,-1,-1
equation,calculation,-1,-1
equation,math,-1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,understand,1,1
creativity,imagination,1,1
creativity,innovation,1,0
creativity,expression,1,1
biology,life,0,1
biology,science,0,0
biology,nature,0,1
classroom,education,-1,0
classroom,learn,-1,0
classroom,environment,-1,-1
theorem,proof,0,1
theorem,logic,0,1
theorem,mathematic,0,0
logic,reasoning,1,1
logic,analysis,1,0
logic,rationality,1,1
work,effort,-1,-1
work,productivity,-1,0
work,job,-1,-1
number,mathematic,0,1
number,calculation,0,-1
number,digit,0,-1
problem - solve,analysis,1,0
problem - solve,strategy,1,1
problem - solve,logic,1,1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
