cue_word,association_word,cue_valence,associated_valence
algorithm,code,1,0
algorithm,logic,1,1
scientist,research,1,1
scientist,experiment,1,0
literature,book,0,-1
literature,story,0,1
class,lesson,0,0
class,group,0,1
professor,teach,1,1
professor,knowledge,1,1
blackboard,board,0,-1
blackboard,lesson,0,0
problem - solve,challenge,1,0
problem - solve,think,1,1
classroom,room,0,-1
classroom,study,0,1
chemistry,lab,0,0
chemistry,experiment,0,0
teacher,instructor,1,1
teacher,guidance,1,1
stem,science,1,0
stem,technology,1,1
mathematic,number,1,0
mathematic,calculus,1,0
model,representation,0,-1
model,simulation,0,1
society,people,0,-1
society,culture,0,1
logic,reasoning,1,1
logic,deduction,1,0
informatic,datum,1,-1
informatic,computer,1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
work,job,0,-1
work,task,0,0
homework,study,0,1
homework,exercise,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
student,learn,0,1
student,exam,0,-1
variable,change,0,-1
variable,datum,0,-1
biology,life,0,1
biology,science,0,0
history,past,-1,-1
history,event,-1,0
career,job,1,0
career,future,1,1
equation,math,1,0
equation,problem,1,-1
equation,solve,1,1
exam,test,0,-1
exam,stress,0,-1
exam,pass,0,1
success,achieve,1,1
success,win,1,0
success,happy,1,1
datum,information,1,0
datum,analyze,1,-1
datum,find,1,0
chatgpt,ai,1,0
chatgpt,help,1,1
chatgpt,learn,1,1
llm,ai,0,-1
llm,code,0,0
llm,generate,0,1
art,create,1,1
art,color,1,1
art,imagine,1,0
proof,verify,1,0
proof,logical,1,-1
proof,true,1,1
experiment,test,0,-1
experiment,hypothesis,0,1
experiment,science,0,0
computation,math,0,-1
computation,calculator,0,-1
computation,algorithm,0,1
knowledge,learn,1,0
knowledge,understand,1,1
knowledge,wisdom,1,1
future,hope,0,1
future,change,0,-1
future,time,0,-1
physics,science,0,-1
physics,force,0,1
physics,energy,0,0
lecture,teach,0,1
lecture,class,0,-1
lecture,learn,0,0
study,read,1,0
study,research,1,0
study,book,1,-1
number,math,0,-1
number,count,0,-1
number,figure,0,1
job,work,0,-1
job,career,0,0
job,pay,0,-1
failure,lose,-1,-1
failure,fail,-1,-1
failure,disappoint,-1,0
philosophy,think,1,-1
philosophy,idea,1,0
philosophy,reason,1,0
ai,machine,0,-1
ai,robot,0,-1
ai,technology,0,1
science,research,1,0
science,discover,1,-1
science,experiment,1,0
theorem,proof,1,0
theorem,logical,1,-1
theorem,true,1,1
creativity,imagine,1,1
creativity,art,1,0
creativity,invent,1,1
grade,score,-1,-1
grade,pass,-1,0
grade,fail,-1,-1
music,sound,1,-1
music,happy,1,1
music,emotion,1,0
