cue_word,association_word,cue_valence,associated_valence
llm,ai,0,0
llm,future,0,0
llm,challenge,0,0
biology,life,0,1
biology,science,0,0
biology,cell,0,0
homework,school,-1,0
homework,stress,-1,-1
homework,learn,-1,0
literature,book,1,1
literature,imagination,1,1
literature,story,1,1
philosophy,question,-1,0
philosophy,think,-1,0
philosophy,mean,-1,0
stem,science,0,0
stem,math,0,0
stem,engineering,0,0
lecture,teacher,-1,0
lecture,note,-1,0
lecture,sleep,-1,-1
future,possibility,0,0
future,uncertainty,0,-1
future,planning,0,0
physics,science,0,0
physics,law,0,0
physics,experiment,0,0
model,theory,0,0
model,simulation,0,0
model,datum,0,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
exam,stress,-1,-1
exam,grade,-1,-1
exam,preparation,-1,0
informatic,computer,-1,0
informatic,cod,-1,-1
informatic,datum,-1,0
failure,loss,-1,-1
failure,disappointment,-1,-1
failure,learn,-1,0
grade,exam,-1,-1
grade,performance,-1,0
grade,pressure,-1,-1
music,rhythm,1,1
music,instrument,1,0
music,emotion,1,1
science,discovery,1,1
science,experiment,1,0
science,knowledge,1,1
logic,reasoning,0,0
logic,math,0,0
logic,structure,0,0
computation,math,-1,0
computation,algorithm,-1,-1
computation,software,-1,-1
teamwork,collaboration,0,0
teamwork,communication,0,0
teamwork,success,0,1
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,power,1,0
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
ai,llm,0,0
ai,future,0,0
ai,ethic,0,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
student,learn,0,0
student,exam,0,-1
student,future,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,formula,0,0
work,job,0,0
work,effort,0,0
work,income,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,problem,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
professor,teacher,0,0
professor,study,0,0
professor,lecture,0,-1
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
career,job,0,0
career,growth,0,0
career,success,0,1
history,past,0,0
history,event,0,0
history,culture,0,0
chemistry,science,0,0
chemistry,element,0,0
chemistry,reaction,0,0
class,student,0,0
class,lesson,0,0
class,teacher,0,0
success,achievement,1,1
success,happy,1,1
success,reward,1,1
experiment,science,0,0
experiment,test,0,0
experiment,datum,0,0
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,lesson,0,0
classroom,student,0,0
classroom,teacher,0,0
classroom,learn,0,0
society,people,0,0
society,community,0,0
society,rule,0,-1
teacher,learn,0,0
teacher,class,0,0
teacher,knowledge,0,0
proof,math,0,0
proof,logic,0,0
proof,evidence,0,0
equation,math,0,0
equation,solve,0,0
equation,number,0,0
number,math,0,0
number,count,0,0
number,datum,0,0
job,work,0,0
job,income,0,0
job,stress,0,-1
problem - solve,logic,0,0
problem - solve,solution,0,0
problem - solve,think,0,0
chatgpt,ai,0,0
chatgpt,help,0,0
chatgpt,future,0,0
scientist,science,0,0
scientist,research,0,0
scientist,discovery,0,1
datum,information,0,0
datum,number,0,0
datum,analysis,0,0
study,learn,0,0
study,book,0,0
study,time,0,-1
