cue_word,association_word,cue_valence,associated_valence
exam,stress,-1,-1
exam,study,-1,-1
exam,grade,-1,-1
variable,change,0,-1
variable,math,0,1
variable,unknown,0,-1
class,learn,-1,0
class,teacher,-1,0
class,bore,-1,-1
model,simulation,0,0
model,predict,0,0
model,abstract,0,-1
algorithm,logic,1,1
algorithm,code,1,0
algorithm,efficient,1,1
science,discovery,1,1
science,truth,1,1
science,method,1,0
blackboard,teach,-1,0
blackboard,chalk,-1,-1
blackboard,old,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,panic,-1,-1
scientist,research,1,1
scientist,smart,1,1
scientist,lab,1,0
biology,life,0,1
biology,cell,0,0
biology,complex,0,-1
experiment,test,0,-1
experiment,datum,0,1
experiment,trial,0,-1
grade,score,-1,-1
grade,pressure,-1,-1
grade,success,-1,1
job,work,-1,-1
job,money,-1,0
job,routine,-1,-1
theorem,proof,1,1
theorem,math,1,1
theorem,truth,1,1
stem,future,1,1
stem,tech,1,1
stem,difficult,1,-1
informatic,computer,1,1
informatic,datum,1,1
informatic,cod,1,1
chemistry,reaction,0,0
chemistry,lab,0,0
chemistry,formula,0,-1
proof,logic,1,1
proof,certainty,1,1
proof,rigorous,1,0
chatgpt,ai,1,1
chatgpt,helpful,1,1
chatgpt,tool,1,0
ai,future,1,1
ai,intelligence,1,1
ai,automation,1,0
history,past,-1,-1
history,story,-1,0
history,memorize,-1,-1
problem - solve,logic,1,1
problem - solve,challenge,1,0
problem - solve,solution,1,1
teamwork,collaboration,0,1
teamwork,people,0,0
teamwork,conflict,0,-1
mathematic,number,1,1
mathematic,logic,1,1
mathematic,beauty,1,1
number,math,1,1
number,count,1,0
number,abstract,1,-1
society,people,0,1
society,rule,0,-1
society,culture,0,1
work,effort,-1,0
work,money,-1,1
work,stress,-1,-1
datum,number,0,1
datum,analysis,0,0
datum,truth,0,1
creativity,imagination,1,1
creativity,freedom,1,1
creativity,expression,1,0
teacher,guidance,0,1
teacher,wisdom,0,1
teacher,authority,0,-1
success,achievement,1,1
success,pride,1,0
success,goal,1,0
music,rhythm,1,0
music,emotion,1,0
music,escape,1,0
equation,math,1,1
equation,balance,1,0
equation,solution,1,1
student,learn,0,1
student,youth,0,0
student,pressure,0,-1
study,focus,0,0
study,knowledge,0,1
study,fatigue,0,-1
classroom,learn,-1,1
classroom,discipline,-1,-1
classroom,boredom,-1,-1
lecture,information,-1,0
lecture,monotony,-1,-1
lecture,attention,-1,-1
computation,calculation,0,0
computation,precision,0,1
computation,tedium,0,-1
professor,expert,0,1
professor,research,0,0
professor,distance,0,-1
future,hope,0,1
future,uncertainty,0,-1
future,potential,0,1
career,growth,0,1
career,stability,0,0
career,competition,0,-1
literature,story,1,1
literature,language,1,0
literature,insight,1,1
physics,science,0,1
physics,law,0,0
physics,complexity,0,-1
logic,reason,1,1
logic,clarity,1,1
logic,rigidity,1,-1
failure,mistake,-1,-1
failure,learn,-1,0
failure,shame,-1,-1
philosophy,think,0,0
philosophy,question,0,0
philosophy,abstraction,0,-1
homework,practice,-1,0
homework,burden,-1,-1
homework,routine,-1,-1
art,beauty,-1,1
art,subjective,-1,-1
art,skill,-1,0
llm,ai,0,0
llm,tool,0,0
llm,uncertainty,0,-1
knowledge,power,1,0
knowledge,wisdom,1,1
knowledge,responsibility,1,0
