cue_word,association_word,cue_valence,associated_valence
mathematic,number,-1,0
mathematic,formula,-1,-1
job,work,0,0
job,career,0,1
chemistry,experiment,0,-1
classroom,teacher,-1,0
history,past,-1,-1
history,date,-1,-1
problem - solve,challenge,0,0
success,achievement,1,1
knowledge,learn,1,1
knowledge,wisdom,1,1
lecture,professor,-1,0
proof,logic,0,0
proof,evidence,0,0
llm,model,0,0
ai,technology,1,1
student,learn,0,1
career,growth,1,1
career,opportunity,1,1
science,discovery,1,1
philosophy,think,0,0
stem,innovation,1,1
chatgpt,ai,0,1
chatgpt,tool,0,0
number,math,-1,0
work,effort,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
class,student,-1,0
equation,math,-1,0
logic,reasoning,0,0
exam,test,-1,-1
exam,stress,-1,-1
theorem,proof,-1,-1
theorem,math,-1,0
homework,study,-1,-1
homework,bore,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
physics,science,-1,0
physics,difficult,-1,-1
professor,teacher,0,0
professor,knowledgeable,0,1
society,people,0,-1
society,community,0,0
variable,change,-1,-1
variable,unknown,-1,-1
model,design,0,1
model,theory,0,0
art,creative,1,1
art,beauty,1,1
experiment,test,0,-1
experiment,discover,0,1
scientist,research,1,0
scientist,curious,1,1
computation,calculate,0,-1
computation,algorithm,0,0
study,learn,-1,0
study,effort,-1,-1
informatic,datum,0,0
informatic,technology,0,1
future,hope,0,1
future,uncertain,0,-1
teacher,educate,0,1
teacher,guide,0,0
creativity,innovative,1,1
creativity,imaginative,1,1
datum,information,0,0
datum,analysis,0,-1
literature,book,0,1
literature,story,0,1
grade,score,-1,-1
grade,evaluation,-1,-1
music,melody,1,1
music,emotion,1,1
blackboard,classroom,-1,0
blackboard,lesson,-1,-1
teamwork,cooperation,1,1
teamwork,collaborate,1,1
biology,life,0,1
biology,cell,0,0
algorithm,logic,0,0
algorithm,solution,0,0
