cue_word,association_word,cue_valence,associated_valence
music,harmony,0,0
music,rhythm,0,0
number,math,0,0
number,count,0,-1
classroom,learn,0,0
classroom,teacher,0,0
scientist,research,1,0
scientist,discovery,1,1
literature,book,0,0
literature,poetry,0,0
science,experiment,1,0
science,knowledge,1,1
mathematic,formula,0,-1
mathematic,logic,0,0
student,study,0,0
student,school,0,0
success,achievement,1,1
success,happiness,1,1
algorithm,code,0,0
algorithm,problem,0,-1
creativity,innovation,1,1
creativity,art,1,0
career,job,0,0
career,growth,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
society,community,0,0
society,progress,0,1
ai,technology,0,0
ai,intelligence,0,1
grade,score,0,0
grade,evaluation,0,-1
theorem,proof,0,0
theorem,mathematic,0,0
exam,test,-1,-1
exam,pressure,-1,-1
experiment,research,0,0
experiment,discovery,0,1
chatgpt,ai,0,0
chatgpt,conversation,0,0
logic,reasoning,0,0
logic,math,0,0
stem,science,1,1
stem,technology,1,0
computation,calculate,0,-1
computation,datum,0,0
biology,life,0,1
biology,cell,0,0
problem - solve,solution,0,0
problem - solve,strategy,0,0
job,career,0,0
job,income,0,1
physics,science,0,0
physics,law,0,0
art,creativity,1,1
art,expression,1,1
blackboard,classroom,-1,0
blackboard,teach,-1,0
study,learn,0,0
study,effort,0,0
work,task,0,-1
work,effort,0,0
future,hope,0,1
future,uncertainty,0,-1
homework,assignment,-1,-1
homework,study,-1,0
llm,model,0,0
llm,language,0,1
knowledge,learn,1,0
knowledge,wisdom,1,1
teacher,educate,0,0
teacher,guide,0,0
professor,expert,0,1
professor,research,0,0
model,datum,0,0
model,prediction,0,0
equation,math,0,0
equation,solve,0,0
informatic,technology,0,1
informatic,information,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
variable,change,0,0
variable,unknown,0,-1
history,past,0,0
history,event,0,0
proof,math,0,0
proof,demonstrate,0,0
datum,information,0,0
datum,analysis,0,0
lecture,teach,0,0
lecture,class,0,0
class,student,0,0
class,learn,0,0
teamwork,collaboration,1,1
teamwork,support,1,1
chemistry,science,0,0
chemistry,reaction,0,0
