cue_word,association_word,cue_valence,associated_valence
future,progress,0,0
future,uncertainty,0,-1
ai,automation,1,0
ai,innovation,1,0
job,work,-1,0
job,stress,-1,-1
problem - solve,logic,0,1
problem - solve,challenge,0,0
number,math,0,-1
number,datum,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
success,achievement,1,0
success,reward,1,0
logic,reasoning,0,1
logic,pattern,0,0
student,learn,0,0
student,education,0,-1
work,labor,-1,-1
work,productivity,-1,0
computation,code,0,0
computation,algorithm,0,1
biology,life,0,-1
biology,science,0,0
blackboard,teach,0,0
blackboard,note,0,-1
study,read,0,-1
study,focus,0,0
classroom,school,0,-1
classroom,group,0,0
homework,assign,-1,-1
homework,exercise,-1,-1
variable,change,0,0
variable,value,0,1
creativity,imagine,1,0
creativity,innovate,1,0
teacher,guide,0,0
teacher,mentor,0,1
model,predict,0,0
model,simulate,0,-1
datum,info,0,0
datum,analysis,0,1
teamwork,collab,0,0
teamwork,coop,0,1
society,people,-1,-1
society,culture,-1,0
music,sound,0,-1
music,art,0,1
theorem,proof,0,0
theorem,truth,0,1
literature,word,0,0
literature,narrative,0,1
literature,story,0,0
stem,logic,0,1
stem,datum,0,0
stem,science,0,0
history,timeline,0,0
history,past,0,-1
history,evidence,0,0
chemistry,element,0,1
chemistry,reaction,0,0
chemistry,molecule,0,0
informatic,code,0,0
informatic,system,0,0
informatic,datum,0,0
professor,teach,1,0
professor,academic,1,0
professor,knowledge,1,1
exam,test,-1,0
exam,score,-1,-1
exam,stress,-1,-1
proof,logic,0,1
proof,validity,0,0
proof,evidence,0,0
art,creativity,0,1
art,aesthetic,0,0
art,expression,0,0
knowledge,wisdom,1,0
knowledge,learn,1,0
knowledge,understand,1,1
scientist,research,0,0
scientist,discovery,0,1
scientist,experiment,0,0
lecture,talk,0,-1
lecture,teach,0,0
lecture,classroom,0,0
equation,math,0,1
equation,logic,0,0
equation,solution,0,0
class,group,-1,0
class,study,-1,0
class,school,-1,-1
grade,score,-1,-1
grade,performance,-1,-1
grade,academic,-1,0
llm,ai,0,1
llm,text,0,0
llm,generation,0,0
experiment,test,0,-1
experiment,datum,0,0
experiment,hypothesis,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,disaster,-1,-1
philosophy,think,0,0
philosophy,idea,0,0
philosophy,ethic,0,-1
chatgpt,ai,0,1
chatgpt,chat,0,0
chatgpt,response,0,0
science,discovery,0,1
science,research,0,0
science,logic,0,0
physics,force,0,0
physics,energy,0,0
physics,particle,0,0
mathematic,number,0,1
mathematic,logic,0,0
mathematic,proof,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,process,0,0
career,work,-1,0
career,future,-1,0
career,success,-1,1
