cue_word,association_word,cue_valence,associated_valence
model,analysis,0,0
model,system,0,1
model,simulation,0,0
computation,code,0,0
computation,algorithm,0,0
computation,machine,0,1
science,discovery,1,0
science,truth,1,1
science,experiment,1,0
ai,technology,0,-1
ai,learn,0,1
ai,automation,0,0
history,past,0,-1
history,timeline,0,0
history,legend,0,-1
informatic,datum,0,1
informatic,digital,0,0
informatic,network,0,0
mathematic,logic,1,0
mathematic,number,1,0
mathematic,proof,1,0
number,datum,0,1
number,calculation,0,-1
number,quantify,0,0
stem,innovation,1,0
stem,engineering,1,0
stem,science,1,1
equation,solution,0,1
equation,formula,0,-1
equation,math,0,0
logic,reasoning,0,1
logic,rule,0,-1
logic,systematic,0,0
teamwork,collaboration,1,0
teamwork,group,1,-1
teamwork,cooperation,1,1
experiment,test,0,-1
experiment,process,0,-1
experiment,evidence,0,1
variable,change,0,0
variable,factor,0,-1
variable,parameter,0,0
professor,teacher,1,0
professor,knowledge,1,0
professor,mentor,1,0
biology,life,0,-1
biology,cell,0,-1
biology,nature,0,1
llm,chatbot,-1,0
llm,generation,-1,0
llm,ai,-1,0
society,community,1,0
society,culture,1,-1
society,human,1,0
creativity,idea,1,0
creativity,art,1,-1
creativity,innovation,1,0
chemistry,molecule,0,-1
chemistry,reactivity,0,1
chemistry,element,0,-1
success,achievement,1,0
success,goal,1,-1
success,future,1,0
career,profession,0,-1
career,work,0,0
career,path,0,1
datum,information,0,0
datum,analysis,0,1
datum,digital,0,-1
student,learn,0,1
student,education,0,0
student,future,0,-1
lecture,class,-1,-1
lecture,teach,-1,0
lecture,discuss,-1,0
future,unknown,0,-1
future,uncertain,0,0
future,opportunity,0,1
problem - solve,logic,1,0
problem - solve,creativity,1,0
problem - solve,breakthrough,1,1
philosophy,depth,1,0
philosophy,question,1,0
philosophy,ethic,1,0
homework,diligence,-1,1
homework,revision,-1,0
homework,stress,-1,-1
grade,performance,0,0
grade,pressure,0,-1
grade,accomplishment,0,1
physics,law,0,0
physics,experiment,0,0
physics,insight,0,1
anxiety,stress,-1,-1
anxiety,nervous,-1,0
anxiety,worry,-1,-1
failure,mistake,-1,-1
failure,learn,-1,0
failure,resilience,-1,1
theorem,proof,0,1
theorem,logic,0,0
theorem,discovery,0,1
art,expression,1,1
art,creativity,1,0
art,aesthetic,1,0
algorithm,logic,0,0
algorithm,calculation,0,-1
algorithm,automation,0,0
music,sound,1,0
music,rhythm,1,0
music,emotion,1,0
job,career,0,0
job,work,0,-1
job,purpose,0,1
study,learn,0,1
study,focus,0,0
study,growth,0,1
class,teach,0,0
class,lecture,0,-1
class,education,0,1
scientist,research,0,0
scientist,science,0,0
scientist,discovery,0,1
blackboard,chalk,-1,-1
blackboard,note,-1,0
blackboard,lecture,-1,0
exam,test,-1,0
exam,pressure,-1,-1
exam,knowledge,-1,1
teacher,mentor,0,1
teacher,instruction,0,0
teacher,guidance,0,0
proof,logic,0,0
proof,verification,0,1
proof,truth,0,1
knowledge,wisdom,1,1
knowledge,understand,1,1
knowledge,info,1,0
work,task,-1,0
work,effort,-1,0
work,productivity,-1,0
chatgpt,ai,0,-1
chatgpt,help,0,0
chatgpt,technology,0,0
literature,book,1,0
literature,story,1,0
literature,word,1,0
classroom,student,0,0
classroom,learn,0,1
classroom,space,0,-1
