cue_word,association_word,cue_valence,associated_valence
teacher,learn,0,0
teacher,guidance,0,0
teacher,patience,0,0
variable,change,0,0
variable,flexibility,0,0
variable,uncertainty,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
history,past,0,0
history,learn,0,0
history,event,0,0
biology,life,1,1
biology,science,1,1
biology,cell,1,0
homework,study,0,0
homework,task,0,0
homework,time,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
algorithm,logic,0,0
algorithm,computation,0,0
algorithm,step,0,0
scientist,research,1,1
scientist,discovery,1,1
scientist,experiment,1,0
society,people,0,0
society,community,0,0
society,culture,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
science,discovery,1,1
science,experiment,1,0
science,knowledge,1,1
knowledge,learn,1,0
knowledge,education,1,0
knowledge,understand,1,1
study,learn,0,0
study,book,0,0
study,time,0,0
number,math,0,0
number,count,0,0
number,datum,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,preparation,-1,0
logic,reasoning,0,0
logic,think,0,0
logic,problem,0,0
failure,loss,-1,-1
failure,disappointment,-1,-1
failure,mistake,-1,-1
llm,ai,0,0
llm,language,0,0
llm,model,0,0
success,achievement,1,1
success,happiness,1,1
success,goal,1,0
art,creativity,0,1
art,paint,0,0
art,expression,0,0
computation,calculation,0,0
computation,datum,0,0
computation,technology,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
philosophy,think,-1,0
philosophy,ethic,-1,0
philosophy,question,-1,0
literature,novel,1,1
literature,story,1,1
literature,book,1,1
job,work,0,0
job,salary,0,0
job,colleague,0,0
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,0
career,growth,0,0
career,success,0,0
career,future,0,0
model,fashion,0,0
model,design,0,0
model,beauty,0,0
classroom,student,0,0
classroom,learn,0,0
classroom,teacher,0,0
equation,math,-1,-1
equation,solve,-1,-1
equation,number,-1,-1
problem - solve,logic,0,0
problem - solve,solution,0,0
problem - solve,challenge,0,0
grade,school,0,0
grade,mark,0,0
grade,exam,0,0
proof,evidence,-1,-1
proof,math,-1,-1
proof,theorem,-1,-1
student,learn,0,0
student,school,0,0
student,exam,0,0
creativity,art,1,1
creativity,innovation,1,1
creativity,idea,1,1
blackboard,classroom,0,0
blackboard,teacher,0,0
blackboard,lesson,0,0
future,hope,1,1
future,plan,1,1
future,dream,1,1
music,song,1,1
music,melody,1,1
music,rhythm,1,1
theorem,math,-1,-1
theorem,proof,-1,-1
theorem,logic,-1,-1
physics,science,-1,-1
physics,law,-1,-1
physics,energy,-1,-1
mathematic,number,-1,-1
mathematic,logic,-1,-1
mathematic,equation,-1,-1
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
lecture,teacher,0,0
lecture,classroom,0,0
lecture,learn,0,0
class,student,0,0
class,teacher,0,0
class,lesson,0,0
ai,technology,0,0
ai,future,0,0
ai,machine,0,0
chemistry,science,-1,-1
chemistry,experiment,-1,-1
chemistry,reaction,-1,-1
experiment,science,0,0
experiment,lab,0,0
experiment,result,0,0
work,job,0,0
work,effort,0,0
work,productivity,0,0
