cue_word,association_word,cue_valence,associated_valence
future,opportunity,-1,0
future,uncertainty,-1,-1
experiment,discovery,-1,1
experiment,risk,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
informatic,datum,0,0
informatic,technology,0,0
class,learn,-1,0
class,homework,-1,-1
scientist,research,1,0
scientist,curiosity,1,1
model,prediction,-1,0
model,theory,-1,-1
study,focus,-1,0
study,effort,-1,-1
science,knowledge,1,1
science,innovation,1,1
ai,intelligence,0,0
ai,automation,0,-1
logic,reasoning,0,0
logic,structure,0,0
biology,life,0,1
biology,cell,0,0
proof,evidence,-1,0
proof,mathematic,-1,0
art,creativity,1,1
art,expression,1,1
success,achievement,1,1
success,happiness,1,1
problem - solve,challenge,0,-1
problem - solve,solution,0,1
knowledge,learn,1,0
knowledge,wisdom,1,1
exam,stress,-1,-1
exam,evaluation,-1,-1
grade,performance,-1,0
grade,feedback,-1,0
lecture,education,-1,0
lecture,information,-1,0
theorem,mathematic,-1,0
theorem,proof,-1,-1
physics,energy,0,0
physics,motion,0,0
job,career,0,1
job,responsibility,0,0
music,harmony,1,1
music,emotion,1,1
teamwork,collaboration,1,1
teamwork,support,1,1
philosophy,think,0,-1
philosophy,mean,0,0
philosophy,life,0,1
number,math,-1,-1
number,count,-1,-1
number,pattern,-1,0
history,past,0,-1
history,event,0,-1
history,learn,0,0
algorithm,code,0,1
algorithm,logic,0,0
algorithm,solution,0,0
work,effort,-1,-1
work,job,-1,-1
work,responsibility,-1,-1
homework,study,-1,-1
homework,task,-1,-1
homework,stress,-1,-1
computation,calculation,0,-1
computation,programming,0,1
computation,datum,0,0
career,goal,0,1
career,path,0,0
career,future,0,0
classroom,learn,-1,0
classroom,teacher,-1,-1
classroom,student,-1,-1
chatgpt,ai,1,1
chatgpt,language,1,1
chatgpt,model,1,1
llm,machine,0,0
llm,learn,0,1
llm,large,0,-1
professor,teacher,0,0
professor,expert,0,1
professor,knowledge,0,1
equation,math,-1,-1
equation,solve,-1,-1
equation,number,-1,-1
mathematic,logic,-1,0
mathematic,calculus,-1,-1
mathematic,geometry,-1,-1
datum,information,0,1
datum,analysis,0,0
datum,insight,0,1
literature,book,1,1
literature,story,1,1
literature,creativity,1,1
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
blackboard,class,-1,-1
blackboard,teach,-1,0
blackboard,write,-1,-1
stem,science,0,1
stem,engineering,0,0
stem,technology,0,1
teacher,educate,0,1
teacher,guide,0,0
teacher,inspire,0,1
student,learn,-1,0
student,study,-1,-1
student,grow,-1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
failure,loss,-1,-1
failure,disappoint,-1,-1
failure,learn,-1,-1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,experiment,0,1
society,people,0,0
society,community,0,0
society,culture,0,1
