cue_word,association_word,cue_valence,associated_valence
history,past,0,0
history,war,0,-1
history,learn,0,0
creativity,art,1,-1
creativity,innovation,1,1
creativity,expression,1,0
literature,book,0,1
literature,poetry,0,0
literature,fiction,0,0
exam,stress,-1,-1
exam,study,-1,0
exam,test,-1,-1
lecture,classroom,0,0
lecture,professor,0,0
lecture,note,0,0
work,job,0,0
work,effort,0,0
work,pay,0,0
datum,number,0,0
datum,analysis,0,0
datum,information,0,0
biology,life,0,1
biology,cell,0,0
biology,science,0,0
equation,math,-1,0
equation,solve,-1,0
equation,number,-1,0
classroom,student,0,0
classroom,teacher,0,0
classroom,learn,0,0
computation,math,-1,0
computation,computer,-1,-1
computation,algorithm,-1,-1
variable,math,-1,0
variable,change,-1,0
variable,unknown,-1,-1
scientist,research,0,0
scientist,lab,0,0
scientist,discovery,0,1
student,learn,0,0
student,school,0,0
student,exam,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,0
art,paint,-1,0
art,creativity,-1,1
art,gallery,-1,0
algorithm,computer,-1,-1
algorithm,math,-1,0
algorithm,code,-1,-1
class,student,0,0
class,teacher,0,0
class,learn,0,0
failure,loss,-1,-1
failure,mistake,-1,-1
failure,defeat,-1,-1
science,research,0,0
science,experiment,0,0
science,discovery,0,1
success,achievement,1,1
success,win,1,1
success,happy,1,1
homework,study,0,0
homework,school,0,0
homework,assignment,0,0
career,job,0,0
career,growth,0,0
career,success,0,1
stem,science,0,0
stem,math,0,0
stem,technology,0,0
job,work,0,0
job,money,0,0
job,stress,0,-1
teamwork,collaboration,0,0
teamwork,effort,0,0
teamwork,success,0,1
teacher,knowledge,1,1
teacher,patience,1,0
teacher,inspiration,1,1
logic,reasoning,0,0
logic,mathematic,0,0
logic,puzzle,0,0
problem - solve,challenge,0,0
problem - solve,solution,0,1
problem - solve,creativity,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,chalk,0,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,education,1,1
study,book,0,0
study,focus,0,0
study,exam,0,-1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
number,math,0,0
number,count,0,0
number,datum,0,0
ai,technology,0,0
ai,future,0,0
ai,robotic,0,0
future,hope,0,1
future,uncertainty,0,-1
future,progress,0,0
proof,mathematic,0,0
proof,evidence,0,0
proof,theorem,0,0
music,sound,1,0
music,rhythm,1,0
music,emotion,1,1
experiment,science,0,0
experiment,discovery,0,1
experiment,lab,0,0
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
llm,ai,0,0
llm,language,0,0
llm,model,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,ethic,0,0
grade,school,-1,0
grade,performance,-1,0
grade,evaluation,-1,-1
society,people,0,0
society,community,0,0
society,culture,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,0
chemistry,science,-1,0
chemistry,lab,-1,0
chemistry,reaction,-1,0
model,math,0,0
model,science,0,0
model,simulation,0,0
physics,science,-1,0
physics,energy,-1,0
physics,law,-1,0
