cue_word,association_word,cue_valence,associated_valence
biology,life,0,1
biology,cell,0,-1
biology,evolution,0,0
success,achievement,1,1
success,goal,1,0
success,recognition,1,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
work,effort,-1,-1
work,task,-1,-1
work,productivity,-1,0
professor,teach,0,0
professor,expertise,0,1
professor,academia,0,0
logic,reason,0,0
logic,clarity,0,0
logic,rule,0,-1
stem,science,0,0
stem,technology,0,0
stem,innovation,0,1
lecture,presentation,-1,-1
lecture,learn,-1,0
lecture,monologue,-1,-1
history,past,0,-1
history,event,0,-1
history,lesson,0,0
equation,math,-1,-1
equation,balance,-1,0
equation,solution,-1,0
variable,change,-1,-1
variable,unknown,-1,-1
variable,parameter,-1,-1
number,quantity,-1,-1
number,count,-1,-1
number,precision,-1,0
algorithm,step,0,-1
algorithm,process,0,-1
algorithm,efficiency,0,1
future,progress,0,1
future,uncertainty,0,-1
future,potential,0,1
society,people,0,0
society,culture,0,0
society,system,0,-1
knowledge,understand,1,1
knowledge,information,1,0
knowledge,power,1,-1
career,profession,0,0
career,growth,0,1
career,stability,0,0
class,education,-1,0
class,group,-1,-1
class,session,-1,-1
computation,calculation,0,-1
computation,processing,0,0
computation,automation,0,0
datum,information,0,0
datum,analysis,0,0
datum,storage,0,-1
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
llm,ai,0,0
llm,language,0,0
llm,model,0,-1
informatic,datum,0,0
informatic,system,0,-1
informatic,analysis,0,0
scientist,research,1,0
scientist,discovery,1,1
scientist,experiment,1,0
music,melody,1,1
music,rhythm,1,1
music,harmony,1,1
theorem,proof,0,0
theorem,logic,0,0
theorem,truth,0,1
science,discovery,1,1
science,knowledge,1,1
science,method,1,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,precision,0,1
student,learn,0,1
student,growth,0,1
student,youth,0,0
grade,assessment,-1,-1
grade,score,-1,-1
grade,performance,-1,0
experiment,test,0,-1
experiment,datum,0,0
experiment,trial,0,-1
job,work,0,-1
job,career,0,0
job,income,0,0
study,learn,0,1
study,focus,0,0
study,effort,0,0
problem - solve,solution,1,1
problem - solve,logic,1,0
problem - solve,challenge,1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,synergy,1,1
ai,intelligence,0,1
ai,technology,0,0
ai,automation,0,-1
literature,book,1,1
literature,story,1,1
literature,language,1,1
homework,assignment,-1,-1
homework,practice,-1,0
homework,burden,-1,-1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,learn,-1,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,originality,1,1
classroom,learn,0,1
classroom,student,0,0
classroom,environment,0,-1
physics,law,0,0
physics,universe,0,1
physics,equation,0,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,evaluation,-1,-1
blackboard,teach,0,1
blackboard,write,0,0
blackboard,classic,0,0
chatgpt,assistant,0,0
chatgpt,ai,0,0
chatgpt,conversation,0,0
proof,evidence,1,0
proof,verification,1,0
proof,certainty,1,1
model,representation,0,0
model,simulation,0,0
model,framework,0,0
teacher,education,1,1
teacher,guidance,1,1
teacher,mentor,1,1
