cue_word,association_word,cue_valence,associated_valence
classroom,learn,0,1
classroom,student,0,0
classroom,teacher,0,0
chatgpt,ai,0,0
chatgpt,chatbot,0,0
chatgpt,tool,0,0
society,culture,0,0
society,community,0,1
society,economy,0,0
literature,story,0,0
literature,book,0,0
literature,write,0,0
theorem,math,0,1
theorem,proof,0,0
theorem,logic,0,0
variable,unknown,0,-1
variable,symbol,0,0
variable,equation,0,0
informatic,datum,0,0
informatic,system,0,0
informatic,technology,0,1
biology,life,1,1
biology,cell,1,0
biology,science,1,1
model,simulation,0,0
model,representation,0,0
model,theory,0,0
computation,calculation,0,0
computation,processing,0,0
computation,algorithm,0,0
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
student,learner,0,1
student,pupil,0,0
student,scholar,0,0
proof,evidence,0,0
proof,demonstration,0,0
proof,truth,0,1
equation,math,0,1
equation,formula,0,0
equation,balance,0,0
music,sound,1,0
music,melody,1,1
music,emotion,1,0
grade,score,0,0
grade,mark,0,0
grade,evaluation,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,wisdom,0,1
datum,information,0,0
datum,number,0,0
datum,fact,0,0
physics,matter,1,0
physics,energy,1,0
physics,law,1,0
knowledge,understand,1,1
knowledge,wisdom,1,1
knowledge,learn,1,1
teacher,mentor,1,1
teacher,educator,1,0
teacher,guide,1,1
algorithm,process,0,0
algorithm,code,0,0
algorithm,logic,0,0
creativity,innovation,1,1
creativity,imagination,1,1
creativity,art,1,1
job,work,0,0
job,career,0,0
job,employment,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,error,-1,-1
llm,ai,0,1
llm,study,0,0
llm,science,0,0
study,work,0,0
study,exam,0,-1
study,success,0,1
work,career,0,0
work,teamwork,0,0
work,problem - solve,0,0
blackboard,class,0,0
blackboard,lecture,0,0
blackboard,science,0,0
professor,scientist,0,1
professor,lecture,0,0
professor,success,0,0
stem,science,0,0
stem,mathematic,0,0
stem,chemistry,0,0
career,work,0,0
career,success,0,1
career,future,0,0
experiment,science,0,0
experiment,chemistry,0,0
experiment,logic,0,0
ai,llm,1,0
ai,future,1,0
ai,science,1,0
chemistry,science,0,0
chemistry,experiment,0,0
chemistry,number,0,0
exam,study,-1,0
exam,anxiety,-1,-1
exam,success,-1,1
teamwork,work,0,0
teamwork,problem - solve,0,0
teamwork,success,0,1
problem - solve,logic,0,0
problem - solve,science,0,0
problem - solve,success,0,1
class,lecture,0,0
class,study,0,0
class,blackboard,0,0
mathematic,number,0,0
mathematic,science,0,0
mathematic,logic,0,0
future,career,0,0
future,success,0,1
future,ai,0,1
scientist,professor,1,0
scientist,experiment,1,0
scientist,science,1,0
anxiety,exam,-1,-1
anxiety,study,-1,0
anxiety,homework,-1,-1
homework,study,-1,0
homework,work,-1,0
homework,anxiety,-1,-1
history,class,0,0
history,lecture,0,0
history,science,0,0
number,mathematic,0,0
number,chemistry,0,0
number,logic,0,0
success,career,1,0
success,work,1,0
success,future,1,0
lecture,class,0,0
lecture,professor,0,0
lecture,science,0,0
science,stem,0,0
science,experiment,0,0
science,chemistry,0,0
logic,problem - solve,0,0
logic,mathematic,0,0
logic,science,0,0
