cue_word,association_word,cue_valence,associated_valence
job,work,0,-1
job,career,0,1
job,salary,0,-1
algorithm,code,-1,0
algorithm,logic,-1,0
algorithm,efficiency,-1,1
ai,technology,0,-1
ai,future,0,1
ai,innovation,0,0
study,learn,1,1
study,education,1,1
study,knowledge,1,1
class,school,0,-1
class,teacher,0,0
class,lesson,0,0
exam,test,-1,-1
exam,grade,-1,-1
exam,pressure,-1,-1
number,math,-1,0
number,calculation,-1,-1
number,datum,-1,0
lecture,professor,0,1
lecture,classroom,0,-1
lecture,note,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
creativity,art,1,0
creativity,imagination,1,1
creativity,innovation,1,0
experiment,science,0,1
experiment,discovery,0,1
experiment,research,0,0
history,past,-1,-1
history,lesson,-1,0
history,culture,-1,1
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,theorem,-1,-1
chemistry,science,0,1
chemistry,element,0,-1
chemistry,lab,0,0
blackboard,classroom,-1,-1
blackboard,chalk,-1,-1
blackboard,lesson,-1,0
homework,study,-1,1
homework,assignment,-1,-1
homework,effort,-1,0
model,design,0,1
model,prototype,0,0
model,example,0,-1
career,job,1,0
career,growth,1,1
career,success,1,1
theorem,math,-1,-1
theorem,proof,-1,0
theorem,logic,-1,0
professor,teacher,1,1
professor,knowledge,1,1
professor,lecture,1,0
computation,calculation,-1,-1
computation,algorithm,-1,-1
computation,datum,-1,0
art,creativity,1,1
art,beauty,1,1
art,expression,1,0
classroom,learn,-1,1
classroom,student,-1,0
classroom,education,-1,1
student,learn,0,1
student,study,0,1
student,education,0,1
grade,exam,-1,-1
grade,performance,-1,0
grade,score,-1,-1
future,opportunity,0,1
future,uncertainty,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
work,productivity,-1,0
work,effort,-1,-1
physics,science,0,1
physics,equation,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
teamwork,collaboration,0,1
teamwork,support,0,0
variable,change,-1,-1
variable,uncertainty,-1,-1
biology,nature,0,1
biology,life,0,1
datum,information,-1,0
datum,analysis,-1,-1
science,discovery,1,1
science,truth,1,1
informatic,technology,0,0
informatic,cod,0,-1
philosophy,think,1,1
philosophy,wisdom,1,1
teacher,education,0,1
teacher,guidance,0,0
stem,science,0,1
stem,technology,0,0
literature,word,1,1
literature,imagination,1,1
success,achievement,1,1
success,reward,1,0
society,community,-1,0
society,progress,-1,0
equation,math,-1,-1
equation,logic,-1,0
scientist,research,1,1
scientist,discovery,1,1
logic,reasoning,0,0
logic,truth,0,1
music,melody,1,1
music,emotion,1,0
proof,evidence,0,0
proof,certainty,0,0
problem - solve,challenge,1,-1
problem - solve,solution,1,1
llm,ai,-1,-1
llm,technology,-1,0
chatgpt,ai,-1,-1
chatgpt,language,-1,0
