cue_word,association_word,cue_valence,associated_valence
physics,equation,0,-1
physics,cosmos,0,1
physics,challenge,0,-1
music,melody,1,1
music,peace,1,1
music,art,1,0
theorem,proof,-1,0
theorem,logic,-1,0
theorem,abstract,-1,-1
lecture,blackboard,-1,-1
lecture,boredom,-1,-1
lecture,knowledge,-1,0
history,dusty,-1,-1
history,story,-1,0
history,past,-1,-1
literature,word,1,1
literature,beauty,1,1
literature,think,1,0
number,pattern,-1,0
number,order,-1,-1
number,abstract,-1,-1
proof,logic,0,0
proof,verification,0,0
proof,rigor,0,-1
blackboard,chalk,-1,-1
blackboard,lecture,-1,-1
blackboard,formula,-1,-1
student,learn,0,1
student,exam,0,-1
student,youth,0,0
teacher,knowledge,1,0
teacher,guidance,1,1
teacher,respect,1,1
equation,solution,-1,0
equation,balance,-1,0
equation,complex,-1,-1
job,routine,0,-1
job,purpose,0,1
job,security,0,0
exam,stress,-1,-1
exam,preparation,-1,-1
exam,evaluation,-1,-1
biology,cell,-1,-1
biology,life,-1,1
biology,bore,-1,-1
knowledge,wisdom,1,1
knowledge,growth,1,1
knowledge,power,1,0
art,creativity,1,1
art,beauty,1,1
art,expression,1,1
future,possibility,0,1
future,uncertainty,0,-1
future,hope,0,1
professor,expertise,1,1
professor,lecture,1,-1
professor,respect,1,1
llm,technology,-1,0
llm,complex,-1,-1
llm,future,-1,0
stem,career,-1,0
stem,challenge,-1,-1
stem,science,-1,0
society,change,-1,-1
society,community,-1,1
society,complex,-1,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,freedom,1,1
problem - solve,logic,1,0
problem - solve,challenge,1,0
problem - solve,satisfaction,1,1
classroom,learn,-1,1
classroom,noise,-1,-1
classroom,student,-1,0
work,routine,-1,-1
work,purpose,-1,0
work,stress,-1,-1
grade,effort,-1,0
grade,pressure,-1,-1
grade,achievement,-1,1
homework,boredom,-1,-1
homework,learn,-1,0
homework,procrastination,-1,-1
philosophy,mean,1,1
philosophy,debate,1,-1
philosophy,peace,1,1
computation,number,-1,-1
computation,logic,-1,0
computation,efficiency,-1,0
success,achievement,1,1
success,happiness,1,1
success,recognition,1,0
variable,change,-1,-1
variable,uncertainty,-1,-1
variable,equation,-1,-1
chemistry,reaction,-1,-1
chemistry,molecule,-1,-1
chemistry,boredom,-1,-1
model,design,0,0
model,simulation,0,-1
model,art,0,1
teamwork,collaboration,1,1
teamwork,trust,1,1
teamwork,cooperation,1,1
chatgpt,tool,0,0
chatgpt,curiosity,0,0
chatgpt,efficiency,0,0
datum,information,0,0
datum,analysis,0,-1
datum,pattern,0,0
logic,reason,1,1
logic,structure,1,0
logic,clarity,1,1
informatic,technology,-1,0
informatic,system,-1,-1
informatic,complexity,-1,-1
algorithm,solution,0,1
algorithm,step,0,-1
algorithm,precision,0,0
experiment,discovery,0,1
experiment,curiosity,0,1
experiment,risk,0,-1
mathematic,number,-1,-1
mathematic,proof,-1,0
mathematic,challenge,-1,-1
class,learn,-1,0
class,lecture,-1,-1
class,homework,-1,-1
career,growth,0,1
career,security,0,0
career,commitment,0,-1
anxiety,worry,-1,-1
anxiety,pressure,-1,-1
anxiety,stress,-1,-1
ai,future,-1,0
ai,intelligence,-1,0
ai,uncertainty,-1,-1
study,focus,0,0
study,growth,0,1
study,exhaustion,0,-1
science,discovery,0,1
science,evidence,0,0
science,complexity,0,-1
failure,loss,-1,-1
failure,lesson,-1,-1
failure,disappointment,-1,-1
scientist,discovery,0,1
scientist,curiosity,0,1
scientist,rigor,0,-1
