cue_word,association_word,cue_valence,associated_valence
stem,science,1,0
stem,logic,1,1
variable,change,-1,0
variable,datum,-1,1
algorithm,code,0,1
algorithm,process,0,1
work,job,-1,0
work,task,-1,1
art,creativity,1,1
art,expression,1,1
experiment,research,0,1
experiment,test,0,-1
logic,reasoning,1,1
logic,think,1,0
mathematic,number,1,0
mathematic,equation,1,1
music,sound,1,1
music,rhythm,1,1
lecture,teach,0,1
lecture,classroom,0,-1
science,research,1,1
science,discovery,1,0
number,math,-1,0
number,calculation,-1,1
blackboard,board,0,-1
blackboard,teach,0,1
scientist,researcher,1,1
scientist,expert,1,0
creativity,imagination,1,1
creativity,art,1,1
history,past,0,-1
history,event,0,1
professor,teacher,0,1
professor,lecturer,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,0
failure,disappointment,-1,-1
failure,loss,-1,0
career,job,-1,0
career,work,-1,1
society,people,0,1
society,community,0,1
chemistry,science,0,1
chemistry,reaction,0,-1
llm,ai,-1,-1
llm,chatbot,-1,0
chatgpt,ai,-1,-1
chatgpt,assistant,-1,1
philosophy,think,0,1
philosophy,idea,0,1
ai,automation,0,-1
ai,algorithm,0,1
ai,technology,0,1
teamwork,collaboration,1,0
teamwork,cooperation,1,1
teamwork,group,1,-1
problem - solve,resolution,0,1
problem - solve,analysis,0,1
problem - solve,decision,0,0
student,learn,-1,0
student,education,-1,1
student,school,-1,-1
homework,work,-1,0
homework,task,-1,-1
homework,exercise,-1,1
grade,score,-1,-1
grade,result,-1,0
grade,mark,-1,-1
knowledge,fact,1,1
knowledge,information,1,1
knowledge,wisdom,1,0
theorem,proof,0,-1
theorem,mathematic,0,1
theorem,concept,0,1
physics,science,0,1
physics,experiment,0,-1
physics,law,0,-1
exam,test,-1,-1
exam,quizz,-1,0
exam,evaluation,-1,1
biology,life,0,1
biology,organism,0,-1
biology,science,0,1
computation,calculator,0,-1
computation,code,0,1
computation,program,0,1
datum,information,0,1
datum,fact,0,1
datum,statistic,0,-1
model,representation,0,1
model,simulation,0,-1
model,theory,0,1
classroom,school,-1,0
classroom,room,-1,-1
classroom,teach,-1,1
proof,evidence,-1,0
proof,argument,-1,1
proof,justification,-1,1
success,achievement,1,1
success,win,1,0
success,triumph,1,-1
study,learn,0,1
study,research,0,1
study,exam,0,-1
literature,book,1,0
literature,read,1,-1
literature,story,1,1
teacher,instructor,1,0
teacher,guide,1,1
teacher,mentor,1,-1
future,tomorrow,0,1
future,hope,0,1
future,possibility,0,-1
informatic,computer,1,0
informatic,system,1,-1
informatic,technology,1,1
job,work,0,1
job,career,0,-1
job,employment,0,-1
class,subject,-1,0
class,lesson,-1,1
class,course,-1,1
equation,math,0,1
equation,formula,0,-1
equation,expression,0,1
