cue_word,association_word,cue_valence,associated_valence
physics,universe,0,1
physics,energy,0,0
physics,experiment,0,0
blackboard,chalk,0,-1
blackboard,lesson,0,0
blackboard,teach,0,0
career,future,1,0
career,opportunity,1,1
career,goal,1,0
theorem,proof,0,-1
theorem,logic,0,0
theorem,mathematic,0,0
chatgpt,assistant,1,0
chatgpt,language,1,0
future,progress,0,1
future,uncertainty,0,-1
future,hope,0,0
class,student,0,0
class,learn,0,1
class,room,0,-1
literature,story,0,0
literature,imagination,0,1
literature,poetry,0,0
science,experimentation,0,0
science,discovery,0,1
science,research,0,0
lecture,professor,-1,0
lecture,note,-1,-1
lecture,attention,-1,0
datum,analysis,0,0
datum,information,0,0
datum,insight,0,1
exam,stress,-1,-1
exam,performance,-1,0
exam,grade,-1,0
logic,reasoning,0,1
logic,deduction,0,0
logic,critical,0,0
student,learn,0,1
student,curiosity,0,0
student,pressure,0,-1
variable,math,0,0
variable,formula,0,-1
variable,symbol,0,0
history,past,0,0
history,culture,0,1
history,chronicles,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
mathematic,number,0,0
mathematic,proof,0,1
mathematic,logic,0,0
music,melody,1,0
music,rhythm,1,1
music,instrument,1,0
computation,calculation,0,-1
computation,algorithm,0,0
computation,processing,0,0
biology,life,0,1
biology,evolution,0,0
biology,cell,0,-1
informatic,compute,0,0
informatic,datum,0,0
informatic,software,0,1
chemistry,reaction,0,-1
chemistry,element,0,0
chemistry,molecule,0,0
job,work,1,0
job,career,1,1
job,opportunity,1,0
number,calculation,0,-1
number,mathematic,0,0
number,quantify,0,0
study,read,1,0
study,exam,1,0
society,community,0,1
society,norm,0,-1
society,culture,0,0
knowledge,learn,1,1
knowledge,information,1,0
knowledge,awareness,1,0
philosophy,think,0,0
philosophy,ethic,0,-1
philosophy,existence,0,-1
model,framework,0,0
model,representation,0,0
model,pattern,0,0
homework,assignment,-1,-1
homework,duty,-1,-1
homework,practice,-1,0
success,achievement,1,1
success,goal,1,0
success,win,1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,unity,1,1
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,analysis,0,-1
grade,score,-1,-1
grade,evaluation,-1,0
grade,rank,-1,-1
classroom,education,0,1
classroom,learn,0,0
classroom,teach,0,1
art,expression,1,0
art,creativity,1,1
art,beauty,1,0
algorithm,code,0,0
algorithm,logic,0,-1
algorithm,process,0,0
experiment,trial,0,-1
experiment,hypothesis,0,-1
experiment,research,0,1
professor,teacher,0,0
professor,expert,0,1
professor,mentor,0,1
work,effort,-1,0
work,job,-1,-1
work,responsibility,-1,0
llm,model,0,0
llm,language,0,1
llm,learn,0,0
creativity,innovation,1,1
creativity,imagination,1,1
creativity,inspiration,1,0
teacher,educator,1,1
teacher,guide,1,0
teacher,mentor,1,1
failure,defeat,-1,-1
failure,loss,-1,-1
failure,mistake,-1,0
proof,evidence,1,0
proof,validation,1,0
proof,verification,1,0
equation,formula,-1,-1
equation,calculation,-1,0
equation,math,-1,-1
scientist,researcher,1,0
scientist,expert,1,1
scientist,investigator,1,0
ai,machine,0,-1
ai,technology,0,1
ai,innovation,0,1
stem,science,0,1
stem,engineering,0,0
stem,mathematic,0,-1
