cue_word,association_word,cue_valence,associated_valence
classroom,learn,0,0
classroom,discipline,0,0
classroom,collaboration,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
study,focus,0,0
study,concentration,0,0
study,knowledge,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
logic,reasoning,0,0
logic,structure,0,0
logic,analysis,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,deduction,0,0
class,group,0,0
class,discussion,0,0
class,peer,0,0
homework,practice,-1,0
homework,assignment,-1,-1
homework,completion,-1,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
success,achievement,0,0
success,goal,0,0
success,progress,0,0
teamwork,cooperation,0,0
teamwork,support,0,0
teamwork,synergy,0,0
ai,intelligent,0,0
ai,algorithm,0,0
ai,automation,0,0
number,math,0,0
number,quantitative,0,0
number,calculation,0,0
variable,unknown,-1,-1
variable,parameter,-1,-1
variable,change,-1,-1
history,past,-1,-1
history,event,-1,-1
history,context,-1,0
music,sound,0,0
music,rhythm,0,0
music,emotion,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
equation,math,0,0
equation,solution,0,0
equation,balance,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,idea,0,0
chatgpt,model,0,0
chatgpt,language,0,0
chatgpt,intelligent,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,learn,-1,0
biology,life,0,0
biology,cell,0,0
biology,organism,0,0
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,mentor,0,0
informatic,compute,0,0
informatic,system,0,0
informatic,software,0,0
student,education,0,0
student,learn,0,0
student,growth,0,0
problem - solve,strategy,0,0
problem - solve,logic,0,0
problem - solve,efficiency,0,0
mathematic,proof,0,0
mathematic,equation,0,0
mathematic,abstract,0,0
career,growth,0,0
career,skill,0,0
career,opportunity,0,0
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,teach,-1,0
physics,equation,0,0
physics,law,0,0
physics,experiment,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
knowledge,understand,0,0
knowledge,learn,0,0
knowledge,wisdom,0,0
computation,algorithm,0,0
computation,datum,0,0
computation,processing,0,0
proof,logic,0,0
proof,mathematic,0,0
proof,rigor,0,0
professor,teach,0,0
professor,knowledge,0,0
professor,mentor,0,0
art,creativity,0,0
art,expression,0,0
art,aesthetic,0,0
grade,score,-1,0
grade,performance,-1,0
grade,result,-1,-1
future,potential,0,0
future,opportunity,0,0
future,uncertainty,0,-1
work,effort,0,0
work,productivity,0,0
work,task,0,-1
experiment,datum,0,0
experiment,result,0,0
experiment,hypothesis,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,innovation,0,0
literature,read,0,0
literature,story,0,0
literature,analysis,0,0
model,simulation,0,0
model,representation,0,0
model,theory,0,0
society,community,0,0
society,culture,0,0
society,influence,0,0
lecture,presentation,0,0
lecture,knowledge,0,0
lecture,class,0,0
llm,language,0,0
llm,model,0,0
llm,intelligent,0,0
exam,test,-1,0
exam,question,-1,0
exam,stress,-1,-1
algorithm,step,0,0
algorithm,process,0,0
algorithm,logic,0,0
job,career,0,0
job,income,0,0
job,responsibility,0,0
science,research,0,0
science,discovery,0,0
science,truth,0,0
