cue_word,association_word,cue_valence,associated_valence
datum,analysis,0,-1
datum,information,0,1
datum,statistic,0,0
lecture,teach,-1,0
lecture,presentation,-1,-1
lecture,learn,-1,1
number,mathematic,0,1
number,calculation,0,-1
number,quantitative,0,0
exam,test,-1,-1
exam,assessment,-1,-1
exam,challenge,-1,-1
professor,teacher,0,1
professor,expert,0,0
professor,mentor,0,1
work,job,-1,0
work,effort,-1,-1
work,duty,-1,-1
physics,science,1,1
physics,experiment,1,0
physics,theory,1,0
future,progress,1,1
future,innovation,1,1
future,hope,1,0
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
experiment,research,0,1
experiment,trial,0,-1
experiment,discovery,0,1
society,community,0,1
society,culture,0,0
society,people,0,1
model,framework,-1,0
model,representation,-1,-1
model,prototype,-1,-1
failure,mistake,-1,-1
failure,setback,-1,-1
failure,loss,-1,-1
student,learner,0,1
student,scholar,0,0
student,apprentice,0,-1
ai,technology,1,1
ai,machine,1,0
ai,intelligence,1,1
job,career,-1,0
job,employment,-1,-1
job,profession,-1,0
problem - solve,logic,1,1
problem - solve,analysis,1,0
problem - solve,strategy,1,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
chemistry,experiment,0,-1
chemistry,reaction,0,-1
chemistry,compound,0,-1
history,past,0,-1
history,heritage,0,1
history,legacy,0,0
success,achievement,1,1
success,victory,1,0
success,triumph,1,1
homework,assignment,-1,-1
homework,study,-1,0
homework,practice,-1,-1
chatgpt,assistant,1,0
chatgpt,ai,1,1
chatgpt,tool,1,0
computation,calculation,0,-1
computation,processing,0,0
computation,algorithm,0,1
philosophy,think,0,-1
philosophy,ethic,0,0
philosophy,logic,0,1
scientist,researcher,1,0
scientist,experiment,1,-1
scientist,innovation,1,1
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
anxiety,worry,-1,-1
classroom,learn,0,1
classroom,student,0,-1
classroom,education,0,0
informatic,datum,0,-1
informatic,compute,0,0
informatic,analysis,0,0
creativity,imagination,1,1
creativity,innovation,1,1
creativity,expression,1,0
proof,logic,0,0
proof,evidence,0,-1
proof,validation,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,-1
teacher,instructor,1,0
teacher,mentor,1,1
teacher,guide,1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,information,1,0
career,job,0,-1
career,profession,0,0
career,future,0,0
literature,book,1,0
literature,write,1,0
literature,culture,1,0
variable,constant,-1,-1
variable,parameter,-1,-1
variable,value,-1,-1
class,group,0,-1
class,session,0,-1
class,course,0,0
biology,life,1,1
biology,organism,1,0
biology,evolution,1,0
algorithm,code,0,-1
algorithm,process,0,-1
algorithm,solution,0,0
blackboard,chalk,-1,-1
blackboard,teach,-1,0
blackboard,classroom,-1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,unity,1,0
study,learn,0,1
study,research,0,0
study,analysis,0,-1
llm,ai,1,0
llm,language,1,0
llm,model,1,0
music,melody,1,1
music,rhythm,1,0
music,harmony,1,1
logic,reasoning,0,0
logic,deduction,0,-1
logic,argument,0,-1
equation,formula,0,-1
equation,calculation,0,-1
equation,solution,0,0
science,experiment,1,0
science,discovery,1,1
science,research,1,0
theorem,proof,0,-1
theorem,logic,0,0
theorem,mathematic,0,1
mathematic,number,1,0
mathematic,equation,1,-1
mathematic,calculus,1,0
