cue_word,association_word,cue_valence,associated_valence
chatgpt,helpful,-1,1
chatgpt,anxious,-1,-1
chatgpt,familiar,-1,0
future,uncertain,-1,-1
future,hopeful,-1,1
future,exciting,-1,0
literature,bore,-1,-1
literature,classic,-1,0
literature,read,-1,0
failure,learn,-1,0
failure,painful,-1,-1
failure,shame,-1,-1
history,past,0,-1
history,interest,0,0
history,fact,0,-1
datum,number,0,1
datum,important,0,0
datum,complex,0,-1
experiment,fun,0,1
experiment,learn,0,0
experiment,science,0,1
algorithm,logic,0,1
algorithm,complex,0,-1
algorithm,fast,0,0
llm,chatbot,-1,0
llm,intelligence,-1,1
llm,scary,-1,-1
chemistry,important,0,0
chemistry,fun,0,0
chemistry,dangerous,0,-1
success,good,1,1
success,rewarding,1,1
success,hard,1,-1
number,math,0,1
number,logic,0,1
number,bore,0,-1
classroom,stressful,-1,-1
classroom,learn,-1,0
classroom,loud,-1,-1
philosophy,deep,-1,1
philosophy,confuse,-1,-1
philosophy,thoughtful,-1,0
physics,love,1,1
physics,science,1,0
physics,fun,1,1
logic,clear,1,1
logic,good,1,0
logic,athletic,1,-1
art,bore,-1,-1
art,creative,-1,0
art,time - waster,-1,-1
grade,pressure,-1,-1
grade,success,-1,1
problem - solve,good,0,1
problem - solve,learn,0,0
problem - solve,logical,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
biology,important,0,0
biology,science,0,0
biology,fun,0,0
equation,math,-1,1
equation,logic,-1,1
equation,bore,-1,-1
informatic,cod,0,1
informatic,computer,0,0
informatic,complex,0,-1
knowledge,powerful,1,1
knowledge,useful,1,1
knowledge,goal,1,1
lecture,bore,-1,-1
lecture,tired,-1,-1
lecture,class,-1,-1
proof,logic,0,1
proof,math,0,1
proof,truth,0,1
music,relax,1,1
music,emotion,1,0
music,hobby,1,0
career,future,0,0
career,job,0,-1
career,success,0,1
science,truth,1,1
science,knowledge,1,1
science,research,1,0
society,people,0,0
society,culture,0,0
society,community,0,0
stem,study,0,-1
stem,future,0,0
stem,logic,0,1
theorem,math,0,1
theorem,proof,0,0
theorem,logic,0,1
scientist,smart,0,1
scientist,research,0,0
scientist,work,0,-1
professor,teacher,0,0
professor,knowledge,0,1
professor,job,0,-1
creativity,art,-1,-1
creativity,idea,-1,0
creativity,innovation,-1,0
mathematic,logic,1,1
mathematic,number,1,0
mathematic,truth,1,1
teacher,student,0,-1
teacher,class,0,-1
teacher,help,0,1
job,work,-1,-1
job,money,-1,0
job,career,-1,0
computation,math,0,1
computation,code,0,0
computation,logic,0,1
blackboard,class,-1,-1
blackboard,teach,-1,0
blackboard,chalk,-1,-1
class,study,-1,-1
class,learn,-1,0
class,exam,-1,-1
variable,math,0,1
variable,code,0,0
variable,change,0,0
exam,stress,-1,-1
exam,grade,-1,-1
exam,test,-1,-1
teamwork,group,0,0
teamwork,work,0,-1
teamwork,collaborate,0,0
homework,study,-1,-1
homework,work,-1,-1
homework,school,-1,-1
work,job,-1,-1
work,money,-1,0
work,effort,-1,-1
model,math,0,1
model,science,0,1
model,theory,0,0
student,study,-1,-1
student,learn,-1,0
student,class,-1,-1
study,learn,-1,0
study,school,-1,-1
study,work,-1,-1
ai,future,0,0
ai,tech,0,0
ai,math,0,1
