cue_word,association_word,cue_valence,associated_valence
study,learn,0,1
study,book,0,0
theorem,proof,0,0
theorem,mathematic,0,0
music,melody,1,1
music,rhythm,1,1
problem - solve,logic,0,0
problem - solve,challenge,0,0
blackboard,classroom,0,0
blackboard,chalk,0,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
teamwork,collaboration,0,0
teamwork,communication,0,0
failure,mistake,-1,-1
failure,disappointment,-1,-1
chemistry,element,0,0
chemistry,reaction,0,0
equation,mathematic,0,0
equation,solution,0,0
llm,machine,0,0
llm,learn,0,1
exam,test,-1,-1
exam,stress,-1,-1
job,work,0,0
job,career,0,0
student,learn,0,1
student,school,0,0
biology,life,0,1
biology,cell,0,0
class,student,0,0
class,teacher,0,0
mathematic,number,0,0
mathematic,logic,0,0
science,experiment,1,0
science,discovery,1,1
datum,information,0,0
datum,analysis,0,0
algorithm,code,0,0
algorithm,computation,0,0
career,job,1,0
career,growth,1,1
number,mathematic,0,0
number,count,0,0
model,representation,0,0
model,simulation,0,0
computation,calculate,0,0
computation,algorithm,0,0
lecture,teacher,0,0
lecture,classroom,0,0
scientist,research,1,0
scientist,discovery,1,1
literature,book,1,1
literature,poetry,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
experiment,test,0,0
experiment,lab,0,0
art,paint,1,1
art,creativity,1,1
proof,evidence,0,0
proof,demonstration,0,0
informatic,datum,0,0
informatic,computer,0,0
stem,science,1,1
stem,technology,1,1
ai,machine,0,0
ai,future,0,0
success,achievement,1,1
success,happiness,1,1
professor,teacher,0,0
professor,lecture,0,0
future,hope,1,1
future,progress,1,1
teacher,education,0,0
teacher,student,0,0
grade,school,0,0
grade,mark,0,-1
philosophy,think,0,0
philosophy,wisdom,0,1
creativity,innovation,1,1
creativity,imagination,1,1
chatgpt,ai,0,0
chatgpt,conversation,0,0
society,people,0,0
society,community,0,0
history,past,0,0
history,event,0,0
logic,reasoning,0,0
logic,math,0,0
classroom,learn,0,0
classroom,student,0,0
variable,change,0,0
variable,datum,0,0
homework,study,-1,0
homework,task,-1,-1
physics,science,0,1
physics,law,0,0
work,job,0,0
work,effort,0,-1
