cue_word,association_word,cue_valence,associated_valence
biology,cell,0,-1
biology,evolution,0,1
biology,ecology,0,0
chatgpt,assistant,1,0
chatgpt,language,1,0
chatgpt,model,1,1
creativity,imagination,1,1
creativity,innovation,1,1
creativity,expression,1,0
teacher,mentor,0,0
teacher,guide,0,-1
teacher,educator,0,0
chemistry,reaction,0,-1
chemistry,molecule,0,0
chemistry,compound,0,-1
computation,algorithm,1,0
computation,datum,1,0
computation,processing,1,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
lecture,classroom,-1,0
lecture,presentation,-1,-1
lecture,discourse,-1,-1
variable,constant,0,-1
variable,parameter,0,0
variable,value,0,0
blackboard,chalk,-1,-1
blackboard,teach,-1,0
blackboard,classroom,-1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,unity,1,0
failure,setback,-1,-1
failure,mistake,-1,-1
failure,challenge,-1,-1
music,melody,1,0
music,rhythm,1,0
music,harmony,1,1
homework,assignment,-1,-1
homework,study,-1,0
homework,practice,-1,0
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
anxiety,worry,-1,-1
exam,test,-1,0
exam,assessment,-1,-1
exam,challenge,-1,-1
physics,force,1,0
physics,energy,1,1
physics,motion,1,0
art,creativity,1,1
art,expression,1,0
art,imagination,1,1
logic,reasoning,1,1
logic,deduction,1,0
logic,analysis,1,1
number,mathematic,0,1
number,calculation,0,-1
number,quantity,0,0
llm,language,1,0
llm,model,1,1
llm,assistant,1,0
career,job,1,0
career,profession,1,0
career,future,1,1
professor,teacher,0,0
professor,scholar,0,-1
professor,mentor,0,0
algorithm,computation,1,0
algorithm,logic,1,1
algorithm,process,1,0
mathematic,number,1,0
mathematic,calculus,1,-1
mathematic,geometry,1,0
class,group,0,-1
class,learn,0,1
class,structure,0,0
ai,machine,1,0
ai,intelligence,1,1
ai,innovation,1,1
philosophy,think,-1,0
philosophy,ethic,-1,0
philosophy,logic,-1,0
classroom,education,0,1
classroom,interaction,0,0
classroom,discipline,0,-1
history,past,-1,-1
history,culture,-1,0
history,legacy,-1,-1
equation,formula,0,0
equation,mathematic,0,1
equation,balance,0,-1
science,experiment,1,0
science,discovery,1,1
science,research,1,1
work,effort,-1,-1
work,productivity,-1,0
work,job,-1,-1
datum,information,0,1
datum,analysis,0,0
datum,statistic,0,-1
model,representation,0,-1
model,framework,0,0
model,simulation,0,-1
success,achievement,1,1
success,goal,1,0
success,victory,1,1
society,community,-1,0
society,culture,-1,0
society,norm,-1,-1
experiment,trial,0,-1
experiment,research,0,1
experiment,hypothesis,0,0
job,career,-1,0
job,employment,-1,-1
job,duty,-1,-1
problem - solve,logic,1,0
problem - solve,analysis,1,1
problem - solve,strategy,1,0
literature,read,-1,0
literature,write,-1,0
literature,narrative,-1,-1
study,learn,0,1
study,research,0,1
study,focus,0,-1
student,learner,0,1
student,curiosity,0,0
student,potential,0,0
theorem,proof,0,1
theorem,logic,0,0
theorem,mathematic,0,1
scientist,researcher,1,0
scientist,experiment,1,0
scientist,innovation,1,1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,0
informatic,datum,0,1
informatic,technology,0,0
informatic,analysis,0,0
future,progress,1,1
future,innovation,1,1
future,vision,1,0
knowledge,learn,1,1
knowledge,wisdom,1,0
knowledge,information,1,0
proof,validation,1,0
proof,logic,1,0
proof,certainty,1,1
