cue_word,association_word,cue_valence,associated_valence
problem - solve,challenge,0,0
problem - solve,logic,0,1
problem - solve,adapt,0,0
art,expression,1,0
art,color,1,0
art,imagination,1,0
work,effort,0,-1
work,productivity,0,1
work,routine,0,-1
literature,word,0,0
literature,story,0,1
literature,mean,0,0
proof,verification,0,1
proof,accuracy,0,0
proof,truth,0,1
teacher,guide,0,0
teacher,knowledge,0,1
teacher,student,0,-1
success,achievement,1,0
success,reward,1,0
success,growth,1,1
science,discovery,0,0
science,fact,0,-1
science,explanation,0,1
physics,law,0,1
physics,energy,0,0
physics,mathematic,0,-1
chatgpt,ai,0,-1
chatgpt,response,0,0
chatgpt,learn,0,0
history,past,-1,-1
history,legacy,-1,0
history,event,-1,0
computation,code,0,-1
computation,datum,0,-1
computation,algorithm,0,1
theorem,proof,0,0
theorem,logic,0,1
theorem,mathematic,0,-1
creativity,innovation,1,0
creativity,imagination,1,0
creativity,art,1,0
biology,life,-1,-1
biology,cell,-1,0
biology,nature,-1,1
failure,mistake,-1,-1
failure,loss,-1,0
failure,learn,-1,0
music,sound,1,0
music,rhythm,1,0
music,joy,1,1
philosophy,think,0,0
philosophy,question,0,-1
philosophy,ethic,0,1
equation,math,0,-1
equation,number,0,0
equation,logic,0,0
classroom,lecture,-1,0
classroom,book,-1,-1
classroom,student,-1,0
experiment,test,0,-1
experiment,hypothesis,0,0
experiment,research,0,1
ai,machine,0,-1
ai,intelligence,0,-1
ai,automation,0,0
blackboard,note,0,-1
blackboard,chalk,0,-1
blackboard,teach,0,1
informatic,tech,0,-1
informatic,information,0,0
informatic,system,0,0
model,simulation,0,0
model,datum,0,-1
model,representation,0,1
homework,stress,0,-1
homework,paper,0,0
chemistry,equation,0,0
chemistry,experiment,0,1
exam,test,-1,0
exam,pressure,-1,-1
job,work,0,1
job,money,0,0
class,lecture,0,0
class,note,0,-1
algorithm,code,1,0
algorithm,logic,1,0
society,people,0,1
society,rule,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
llm,tech,1,0
llm,ai,1,0
grade,score,-1,-1
grade,result,-1,0
career,future,0,1
career,work,0,1
student,learn,0,1
student,school,0,0
stem,science,0,1
stem,math,0,1
number,datum,0,0
number,calculation,0,-1
teamwork,collaboration,1,0
teamwork,group,1,0
variable,change,0,-1
variable,factor,0,-1
study,read,0,1
study,research,0,1
professor,teacher,0,1
professor,knowledge,0,1
lecture,talk,0,-1
lecture,classroom,0,0
scientist,research,1,1
scientist,discovery,1,0
knowledge,info,1,0
knowledge,wisdom,1,1
future,tomorrow,0,1
future,hope,0,1
logic,reason,0,0
logic,pattern,0,-1
mathematic,number,0,0
mathematic,proof,0,1
datum,information,0,1
datum,digital,0,-1
