cue_word,association_word,cue_valence,associated_valence
logic,clear,0,0
logic,order,0,0
logic,truth,0,0
datum,fact,0,0
datum,analysis,0,0
datum,evidence,0,0
philosophy,question,0,0
philosophy,mind,0,0
philosophy,truth,0,0
classroom,teacher,-1,0
classroom,learn,-1,0
classroom,rule,-1,-1
class,group,-1,0
class,study,-1,0
class,time,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
algorithm,step,0,0
algorithm,pattern,0,-1
algorithm,code,0,0
student,study,0,0
student,grade,0,-1
student,future,0,0
lecture,knowledge,-1,0
lecture,passive,-1,-1
lecture,structure,-1,0
llm,smart,0,0
llm,response,0,0
llm,tool,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
proof,valid,0,0
proof,step,0,0
proof,certainty,0,0
career,growth,0,0
career,path,0,0
career,choice,0,0
variable,change,-1,0
variable,input,-1,-1
variable,value,-1,0
problem - solve,solution,0,0
problem - solve,think,0,0
problem - solve,effort,0,0
experiment,test,0,0
experiment,result,0,0
experiment,hypothesis,0,0
blackboard,write,0,0
blackboard,chalk,0,-1
blackboard,idea,0,0
music,emotion,0,0
music,rhythm,0,0
music,joy,0,0
ai,future,0,0
ai,automation,0,-1
ai,intelligence,0,0
science,discovery,0,0
science,fact,0,0
science,curiosity,0,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,share,0,0
physics,law,0,0
physics,motion,0,0
physics,energy,0,0
homework,task,-1,0
homework,practice,-1,0
homework,stress,-1,-1
computation,calculation,0,0
computation,speed,0,0
computation,accuracy,0,0
number,pattern,0,0
number,precision,0,0
number,math,0,0
literature,story,0,0
literature,emotion,0,0
literature,imagination,0,0
biology,life,-1,0
biology,cell,-1,-1
biology,evolution,-1,0
art,beauty,0,0
art,expression,0,0
art,color,0,0
informatic,code,0,0
informatic,datum,0,-1
informatic,algorithm,0,0
job,money,-1,0
job,stress,-1,-1
job,security,-1,0
chatgpt,help,0,0
chatgpt,tool,0,0
chatgpt,answer,0,0
work,effort,-1,0
work,progress,-1,0
work,time,-1,-1
grade,score,-1,-1
grade,effort,-1,0
grade,pressure,-1,-1
model,structure,0,0
model,prediction,0,-1
model,design,0,0
society,change,-1,0
society,rule,-1,-1
society,connection,-1,0
knowledge,wisdom,0,0
knowledge,growth,0,0
knowledge,truth,0,0
success,achievement,0,0
success,happiness,0,0
success,goal,0,0
equation,solution,0,0
equation,balance,0,0
equation,logic,0,0
future,hope,-1,0
future,uncertainty,-1,-1
future,change,-1,0
professor,wisdom,0,0
professor,authority,0,-1
professor,support,0,0
exam,stress,-1,-1
exam,test,-1,-1
exam,fear,-1,-1
history,past,0,0
history,lesson,0,0
history,memory,0,-1
theorem,proof,0,0
theorem,truth,0,0
theorem,logic,0,0
teacher,guidance,0,0
teacher,trust,0,0
teacher,help,0,0
creativity,innovation,0,0
creativity,imagination,0,0
creativity,freedom,0,0
mathematic,logic,0,0
mathematic,pattern,0,0
mathematic,precision,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,truth,0,0
stem,innovation,0,0
stem,growth,0,0
stem,technology,0,0
failure,lesson,-1,0
failure,pain,-1,-1
failure,setback,-1,-1
study,focus,0,0
study,effort,0,0
study,learn,0,0
