cue_word,association_word,cue_valence,associated_valence
teacher,mentor,0,0
teacher,student,0,0
teacher,educate,0,0
homework,assignment,-1,-1
homework,study,-1,0
homework,effort,-1,0
music,melody,0,0
music,harmony,0,0
music,joy,0,0
chatgpt,helpful,0,0
chatgpt,chatbot,0,0
chatgpt,ai,0,0
computation,algorithm,0,0
computation,logic,0,0
computation,computer,0,0
problem - solve,solution,0,0
problem - solve,logic,0,0
problem - solve,puzzle,0,-1
professor,expert,0,0
professor,lecture,0,0
professor,scholar,0,0
failure,error,-1,-1
failure,defeat,-1,-1
failure,lesson,-1,0
job,career,-1,0
job,income,-1,0
job,work,-1,-1
model,simulation,0,0
model,predict,0,0
model,train,0,0
literature,novel,0,0
literature,insight,0,0
literature,beauty,0,0
success,achievement,0,0
success,victory,0,0
success,goal,0,0
society,community,-1,0
society,culture,-1,0
society,progress,-1,0
experiment,hypothesis,0,0
experiment,datum,0,-1
experiment,discovery,0,0
llm,language,0,0
llm,generate,0,0
llm,intelligent,0,0
class,lesson,0,0
class,student,0,0
class,learn,0,0
knowledge,wisdom,0,0
knowledge,information,0,0
knowledge,power,0,0
variable,parameter,-1,-1
variable,factor,-1,-1
variable,equation,-1,-1
ai,intelligence,0,0
ai,innovation,0,0
ai,future,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,expression,0,0
career,advancement,0,0
career,profession,0,0
career,success,0,0
study,research,0,0
study,discipline,0,0
study,growth,0,0
physics,force,0,0
physics,energy,0,0
physics,universe,0,0
art,beauty,0,0
art,inspiration,0,0
art,emotion,0,0
blackboard,chalk,-1,-1
blackboard,equation,-1,0
blackboard,teach,-1,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,efficiency,0,0
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
history,past,0,-1
history,event,0,0
history,lesson,0,0
theorem,math,0,0
theorem,proof,0,0
theorem,pythagoras,0,0
datum,analysis,0,0
datum,stat,0,0
datum,information,0,0
proof,evidence,0,0
proof,logic,0,0
proof,theorem,0,0
work,effort,-1,0
work,job,-1,-1
work,hard,-1,-1
mathematic,number,0,-1
mathematic,logic,0,0
mathematic,calculus,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,socrate,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
scientist,research,0,0
scientist,lab,0,0
scientist,discovery,0,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
logic,reasoning,0,0
logic,puzzle,0,0
logic,truth,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,success,0,0
equation,solve,0,0
equation,balance,0,0
equation,math,0,0
student,learn,0,0
student,school,0,0
student,youth,0,0
number,count,-1,-1
number,math,-1,0
number,stat,-1,0
informatic,computer,0,0
informatic,programming,0,0
informatic,datum,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,0
lecture,professor,-1,0
lecture,note,-1,-1
lecture,bored,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,stress,-1,-1
future,hope,0,0
future,opportunity,0,0
future,uncertain,0,-1
science,discovery,0,0
science,experiment,0,0
science,knowledge,0,0
grade,score,-1,-1
grade,success,-1,0
grade,fail,-1,-1
