cue_word,association_word,cue_valence,associated_valence
anxiety,stress,0,1
anxiety,pressure,0,0
anxiety,uncertainty,0,-1
class,education,0,1
class,learn,0,1
class,structure,0,-1
chatgpt,ai,0,0
chatgpt,language,0,-1
chatgpt,model,0,1
algorithm,logic,0,1
algorithm,programming,0,0
algorithm,process,0,0
classroom,student,0,0
physics,science,0,1
physics,law,0,0
physics,motion,0,-1
model,representation,0,-1
model,simulation,0,0
model,example,0,1
theorem,proof,0,0
theorem,mathematic,0,1
theorem,principle,0,-1
work,job,0,0
work,productivity,0,-1
work,task,0,0
student,learn,1,1
student,education,1,1
student,academic,1,0
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,-1
professor,knowledge,1,1
professor,mentorship,1,0
professor,education,1,1
ai,machine learn,0,0
ai,technology,0,-1
ai,future,0,1
job,career,0,0
job,income,0,0
job,responsibility,0,-1
number,mathematic,1,1
number,statistic,1,0
number,datum,1,0
literature,book,0,0
literature,story,0,-1
literature,art,0,1
failure,mistake,-1,-1
failure,setback,-1,-1
failure,learn,-1,0
science,research,1,0
science,discovery,1,0
science,knowledge,1,1
exam,assessment,-1,0
exam,testing,-1,-1
exam,grade,-1,-1
logic,reasoning,1,0
logic,argument,1,-1
logic,deduction,1,0
society,culture,0,0
society,value,0,0
society,community,0,-1
history,past event,0,0
history,learn,0,1
history,lesson,0,-1
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
lecture,teach,-1,0
lecture,presentation,-1,0
lecture,knowledge,-1,1
blackboard,chalk,-1,-1
blackboard,write,-1,0
blackboard,education,-1,0
homework,task,-1,0
homework,assignment,-1,1
homework,learn,-1,-1
informatic,compute,-1,1
informatic,software,-1,0
informatic,datum,-1,0
equation,math,-1,0
equation,formula,-1,0
equation,logic,-1,-1
art,creativity,-1,1
art,aesthetic,-1,0
art,expression,-1,-1
philosophy,think,-1,0
philosophy,reasoning,-1,1
philosophy,ideal,-1,0
creativity,innovation,-1,1
creativity,imagination,-1,0
creativity,originality,-1,0
experiment,testing,-1,0
experiment,discovery,-1,1
experiment,learn,-1,-1
success,achievement,-1,1
success,goal,-1,0
success,prosperity,-1,0
llm,artificial intelligence,-1,0
llm,machine learn,-1,-1
llm,model,-1,-1
problem - solve,critical thinking,-1,1
problem - solve,decision make,-1,0
problem - solve,strategy,-1,-1
biology,life sciences,-1,0
biology,cell,-1,-1
biology,ecosystem,-1,0
knowledge,information,-1,1
knowledge,wisdom,-1,1
knowledge,understand,-1,0
future,possibility,-1,0
future,trend,-1,-1
future,prospect,-1,0
variable,change,-1,1
variable,fluctuation,-1,0
variable,parameter,-1,-1
computation,algorithm,-1,0
computation,calculation,-1,0
computation,processing,-1,-1
grade,score,-1,0
grade,evaluation,-1,1
grade,performance,-1,-1
proof,evidence,-1,1
proof,verification,-1,0
proof,logic,-1,-1
chemistry,element,-1,0
chemistry,reaction,-1,-1
chemistry,matter,-1,0
datum,information,-1,1
datum,statistic,-1,0
datum,analysis,-1,-1
study,learn,-1,1
study,research,-1,0
study,education,-1,-1
mathematic,number,-1,0
mathematic,logic,-1,1
mathematic,equation,-1,0
teamwork,collaboration,-1,1
teamwork,cooperation,-1,0
teamwork,synergy,-1,-1
teacher,education,-1,1
teacher,guidance,-1,0
teacher,learn,-1,-1
music,melody,-1,0
music,harmony,-1,0
music,art,-1,-1
career,job,-1,0
career,profession,-1,1
career,goal,-1,0
