cue_word,association_word,cue_valence,associated_valence
variable,change,-1,0
variable,uncertainty,-1,-1
variable,flexibility,-1,1
teamwork,collaboration,1,0
teamwork,cooperation,1,0
teamwork,synergy,1,-1
proof,evidence,0,1
proof,verification,0,0
proof,certainty,0,1
classroom,learn,0,1
classroom,education,0,1
classroom,teacher,0,0
ai,technology,-1,0
ai,innovation,-1,1
ai,automation,-1,-1
success,achievement,1,0
success,accomplishment,1,0
success,victory,1,-1
experiment,research,0,1
experiment,discovery,0,1
experiment,testing,0,-1
scientist,researcher,0,1
scientist,investigator,0,0
scientist,analyst,0,-1
physics,science,0,1
physics,energy,0,0
physics,quantum,0,-1
science,discovery,1,1
science,research,1,1
science,knowledge,1,0
stem,education,0,1
stem,career,0,-1
stem,innovation,0,1
blackboard,classroom,-1,0
blackboard,teach,-1,0
blackboard,chalk,-1,-1
homework,study,-1,-1
homework,assignment,-1,-1
homework,education,-1,1
logic,reasoning,0,0
logic,mathematic,0,-1
logic,analysis,0,-1
problem - solve,challenge,1,-1
problem - solve,solution,1,0
problem - solve,creativity,1,0
grade,performance,-1,0
grade,evaluation,-1,-1
grade,score,-1,-1
philosophy,think,0,-1
philosophy,wisdom,0,1
philosophy,ethic,0,0
literature,read,0,-1
literature,storytelle,0,-1
literature,culture,0,1
algorithm,code,-1,0
algorithm,mathematic,-1,-1
algorithm,efficiency,-1,-1
mathematic,number,-1,0
mathematic,logic,-1,0
mathematic,abstraction,-1,-1
study,learn,0,1
study,research,0,1
study,education,0,1
chemistry,science,-1,1
chemistry,element,-1,0
chemistry,reaction,-1,-1
theorem,mathematic,0,-1
theorem,proof,0,0
theorem,logic,0,0
student,learn,0,1
student,education,0,1
student,study,0,0
society,community,-1,0
society,culture,-1,1
society,progress,-1,0
creativity,innovation,0,0
creativity,imagination,0,1
history,past,-1,-1
history,culture,-1,0
biology,science,0,1
biology,nature,0,0
career,growth,-1,0
career,success,-1,1
chatgpt,ai,0,-1
chatgpt,language,0,0
number,math,-1,0
number,logic,-1,1
work,effort,-1,-1
work,productivity,-1,0
lecture,education,-1,1
lecture,learn,-1,0
exam,stress,-1,-1
exam,evaluation,-1,-1
computation,algorithm,0,1
computation,calculation,0,0
informatic,datum,0,-1
informatic,system,0,0
art,beauty,1,1
art,expression,1,0
equation,math,-1,0
equation,solution,-1,0
future,progress,0,1
future,hope,0,1
teacher,education,0,1
teacher,guidance,0,0
class,learn,-1,0
class,student,-1,-1
llm,ai,0,-1
llm,language,0,0
knowledge,learn,1,0
knowledge,wisdom,1,1
music,joy,1,1
music,emotion,1,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
job,work,-1,-1
job,career,-1,-1
datum,information,-1,0
datum,analysis,-1,0
failure,mistake,-1,-1
failure,loss,-1,-1
model,design,0,1
model,template,0,-1
professor,education,0,1
professor,expertise,0,1
