cue_word,association_word,cue_valence,associated_valence
work,efficiency,0,0
work,routine,0,-1
work,goal,0,0
success,achievement,0,0
success,recognition,0,0
success,growth,0,0
informatic,technology,0,0
informatic,datum,0,0
informatic,compute,0,0
philosophy,reasoning,0,0
philosophy,ethic,0,0
philosophy,think,0,0
blackboard,chalk,-1,-1
blackboard,learn,-1,0
blackboard,knowledge,-1,0
mathematic,equation,0,0
mathematic,logic,0,0
mathematic,number,0,0
exam,stress,-1,-1
exam,assessment,-1,-1
exam,result,-1,0
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,learn,0,0
history,past,0,0
history,event,0,-1
history,lesson,0,0
homework,task,-1,-1
homework,practice,-1,0
homework,discipline,-1,0
society,culture,0,0
society,value,0,0
society,relationship,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,expression,0,0
problem - solve,critical thinking,0,0
problem - solve,challenge,0,-1
problem - solve,solution,0,0
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,mathematic,0,0
biology,life,0,0
biology,ecology,0,-1
biology,health,0,0
music,melody,0,0
music,harmony,0,0
music,expression,0,0
logic,reasoning,0,0
logic,argument,0,0
logic,structure,0,0
lecture,teach,0,0
lecture,knowledge,0,0
lecture,learn,0,0
professor,authority,0,0
professor,education,0,0
professor,mentorship,0,-1
algorithm,process,0,0
algorithm,calculation,0,0
algorithm,efficiency,0,0
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,inspiration,0,0
equation,formula,0,0
equation,balance,0,0
equation,relationship,0,-1
career,goal,0,0
career,progression,0,0
career,achievement,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,support,0,0
future,uncertainty,-1,-1
future,opportunity,-1,0
future,progress,-1,0
anxiety,stress,0,-1
anxiety,pressure,0,-1
anxiety,fear,0,-1
job,responsibility,0,0
job,growth,0,0
job,security,0,-1
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,learn,0,0
science,discovery,0,0
science,truth,0,0
science,experimentation,0,0
failure,learn,-1,0
failure,growth,-1,0
failure,resilience,-1,-1
class,education,0,0
class,structure,0,0
class,discipline,0,-1
study,dedication,0,0
study,progress,0,0
study,achievement,0,0
proof,evidence,-1,0
proof,certainty,-1,0
proof,validation,-1,-1
ai,technology,0,0
ai,innovation,0,0
ai,automation,0,-1
llm,language,0,0
llm,communication,0,0
llm,modeling,0,-1
computation,algorithm,0,0
computation,datum processing,0,0
computation,efficiency,0,0
stem,mathematic,0,0
stem,engineering,0,0
stem,science,0,0
grade,evaluation,-1,0
grade,success,-1,0
grade,achievement,-1,0
student,learn,0,0
student,growth,0,0
student,potential,0,0
model,representation,-1,0
model,simulation,-1,0
model,analysis,-1,0
scientist,research,0,0
scientist,discovery,0,0
scientist,innovation,0,0
experiment,testing,0,-1
experiment,validation,0,0
experiment,discovery,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
chemistry,laboratory,0,-1
physics,law,0,0
physics,energy,0,0
physics,motion,0,0
datum,information,0,0
datum,analysis,0,0
datum,insight,0,-1
number,quantitative,0,0
number,statistic,0,0
number,calculation,0,0
literature,storytelle,0,0
literature,analysis,0,-1
literature,creativity,0,0
variable,factor,0,0
variable,independent,0,0
variable,condition,0,-1
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
