cue_word,association_word,cue_valence,associated_valence
blackboard,chalk,0,-1
blackboard,classroom,0,0
blackboard,learn,0,0
ai,technology,0,0
ai,future,0,0
ai,automation,0,-1
logic,reasoning,0,0
logic,mathematic,0,0
logic,structure,0,-1
mathematic,number,0,0
mathematic,algebra,0,-1
mathematic,geometry,0,-1
problem - solve,critical,0,0
problem - solve,think,0,0
problem - solve,challenge,0,-1
creativity,innovation,0,0
creativity,art,0,0
creativity,imagination,0,0
philosophy,ethic,0,0
philosophy,knowledge,0,0
philosophy,wisdom,0,0
classroom,student,0,0
classroom,teacher,0,0
classroom,education,0,0
grade,school,-1,-1
grade,performance,-1,-1
grade,evaluation,-1,-1
society,community,0,0
society,culture,0,0
society,government,0,-1
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
study,learn,0,0
study,research,0,0
study,exam,0,-1
science,experiment,0,0
science,discovery,0,0
science,research,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,laboratory,0,0
homework,school,-1,-1
homework,study,-1,0
homework,assignment,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
career,job,0,0
career,success,0,0
career,growth,0,0
literature,book,0,0
literature,write,0,0
literature,poetry,0,0
lecture,teach,0,0
lecture,learn,0,0
lecture,classroom,0,0
number,mathematic,0,0
number,count,0,0
number,datum,0,0
physics,energy,0,0
physics,motion,0,0
physics,law,0,0
work,job,0,0
work,effort,0,0
work,productivity,0,0
knowledge,learn,0,0
knowledge,education,0,0
knowledge,wisdom,0,0
equation,mathematic,0,0
equation,solution,0,0
equation,variable,0,-1
failure,defeat,-1,-1
failure,loss,-1,-1
failure,mistake,-1,-1
stem,science,0,0
stem,technology,0,0
stem,education,0,0
experiment,test,0,-1
experiment,research,0,0
experiment,discovery,0,0
biology,life,0,0
biology,cell,0,0
biology,genetic,0,0
proof,evidence,0,0
proof,demonstration,0,0
proof,validation,0,0
variable,change,-1,-1
variable,flexibility,-1,0
variable,uncertainty,-1,-1
llm,language,0,0
llm,model,0,0
llm,artificial,0,-1
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
teacher,education,0,0
teacher,mentor,0,0
teacher,guidance,0,0
computation,calculation,0,0
computation,algorithm,0,0
computation,processing,0,0
model,simulation,0,0
model,representation,0,0
model,theory,0,0
music,harmony,0,0
music,rhythm,0,0
music,melody,0,0
job,work,0,0
job,career,0,0
job,employment,0,0
future,hope,0,0
future,progress,0,0
future,uncertainty,0,-1
datum,information,0,0
datum,analysis,0,0
datum,insight,0,0
algorithm,logic,0,0
algorithm,computation,0,0
algorithm,solution,0,0
class,education,0,0
class,student,0,0
class,learn,0,0
success,achievement,0,0
success,victory,0,0
success,prosperity,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,unity,0,0
professor,teacher,0,0
professor,scholar,0,0
professor,expert,0,0
informatic,information,0,0
informatic,technology,0,0
informatic,datum,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,conversation,0,0
exam,test,-1,-1
exam,evaluation,-1,-1
exam,assessment,-1,-1
student,learn,0,0
student,education,0,0
student,youth,0,0
history,past,-1,-1
history,event,-1,-1
history,chronicle,-1,-1
