cue_word,association_word,cue_valence,associated_valence
failure,anxiety,-1,0
failure,lesson,-1,0
failure,growth,-1,0
model,science,0,0
model,algorithm,0,0
model,design,0,-1
work,job,0,0
work,teamwork,0,0
work,problem - solve,0,0
lecture,classroom,-1,0
lecture,homework,-1,-1
lecture,teacher,-1,0
literature,art,0,0
literature,music,0,0
literature,story,0,0
computation,algorithm,0,0
computation,logic,0,0
computation,number,0,-1
logic,theorem,0,0
logic,problem - solve,0,0
logic,science,0,0
biology,chemistry,0,-1
biology,life,0,0
biology,experiment,0,0
number,computation,-1,0
number,physics,-1,0
number,mathematic,-1,0
anxiety,failure,-1,-1
anxiety,future,-1,-1
anxiety,homework,-1,-1
theorem,logic,0,0
theorem,mathematic,0,0
theorem,proof,0,0
science,biology,0,0
science,physics,0,0
science,experiment,0,0
music,art,0,0
music,emotion,0,0
music,harmony,0,0
problem - solve,work,0,0
problem - solve,logic,0,0
problem - solve,teamwork,0,0
teacher,lecture,0,-1
teacher,homework,0,-1
teacher,career,0,-1
homework,anxiety,-1,-1
homework,work,-1,0
homework,classroom,-1,0
job,career,-1,0
job,teamwork,-1,0
job,future,-1,0
teamwork,work,0,0
teamwork,problem - solve,0,0
teamwork,classroom,0,-1
career,job,0,-1
career,future,0,0
career,science,0,0
chemistry,biology,-1,0
chemistry,physics,-1,0
chemistry,experiment,-1,0
algorithm,model,0,0
algorithm,computation,0,0
algorithm,logic,0,0
physics,science,0,0
physics,number,0,-1
physics,experiment,0,0
future,career,0,0
future,anxiety,0,-1
future,job,0,-1
art,music,0,0
art,literature,0,0
art,emotion,0,0
classroom,lecture,0,-1
classroom,teacher,0,0
classroom,homework,0,-1
scientist,truth,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
proof,evidence,0,0
proof,validity,0,0
proof,certainty,0,0
grade,score,-1,0
grade,performance,-1,0
grade,achievement,-1,0
society,order,0,0
society,structure,0,0
society,norm,0,-1
class,room,-1,-1
class,schedule,-1,-1
class,group,-1,0
llm,tool,0,0
llm,utility,0,0
llm,power,0,-1
informatic,code,0,0
informatic,system,0,0
informatic,algorithm,0,0
student,learn,0,0
student,growth,0,0
student,curiosity,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,fact,0,0
mathematic,logic,0,0
mathematic,precision,0,0
mathematic,problem,0,0
datum,information,0,0
datum,collection,0,-1
datum,analysis,0,0
chatgpt,helpful,0,0
chatgpt,responsive,0,0
chatgpt,useful,0,0
success,goal,0,0
success,achievement,0,0
success,reward,0,0
philosophy,question,0,0
philosophy,reasoning,0,0
philosophy,truth,0,0
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,teach,-1,0
ai,intelligent,0,0
ai,learn,0,0
ai,automation,0,-1
creativity,imagination,0,0
creativity,innovation,0,0
creativity,originality,0,0
stem,science,0,0
stem,engineering,0,0
stem,technology,0,0
study,effort,0,0
study,focus,0,0
study,concentration,0,0
professor,mentor,0,0
professor,expert,0,0
professor,teach,0,0
equation,solution,0,0
equation,balance,0,0
equation,formula,0,0
variable,input,0,-1
variable,output,0,0
variable,change,0,0
experiment,test,0,0
experiment,trial,0,-1
experiment,result,0,0
history,past,0,-1
history,event,0,0
history,context,0,0
exam,stress,-1,-1
exam,pressure,-1,0
exam,performance,-1,0
