cue_word,association_word,cue_valence,associated_valence
teacher,lesson,0,0
teacher,student,0,-1
creativity,innovation,1,1
model,design,0,0
teamwork,collaboration,1,1
teamwork,support,1,1
variable,change,-1,-1
future,hope,0,1
future,uncertainty,0,-1
anxiety,stress,-1,-1
equation,math,-1,-1
equation,solution,-1,0
professor,expert,0,1
professor,research,0,1
class,learn,0,0
algorithm,code,-1,-1
algorithm,logic,-1,-1
knowledge,wisdom,1,1
job,work,0,0
job,career,0,0
number,math,-1,-1
ai,technology,1,1
ai,intelligence,1,1
scientist,discovery,1,1
classroom,student,0,-1
classroom,teacher,0,0
failure,loss,-1,-1
success,achievement,1,1
chatgpt,ai,0,1
chatgpt,chat,0,-1
mathematic,number,-1,-1
mathematic,calculus,-1,-1
informatic,technology,0,1
informatic,datum,0,0
stem,science,1,1
stem,engineering,1,1
study,learn,0,0
study,focus,0,0
lecture,teach,-1,0
lecture,presentation,-1,-1
career,future,0,-1
career,goal,0,1
career,success,0,1
music,rhythm,1,0
music,emotion,1,1
grade,effort,-1,-1
grade,result,-1,0
llm,model,0,0
llm,intelligence,0,1
literature,story,1,1
literature,imagination,1,1
problem - solve,challenge,-1,-1
problem - solve,solution,-1,0
history,past,-1,-1
history,lesson,-1,0
physics,formula,0,-1
physics,energy,0,1
exam,test,-1,-1
exam,stress,-1,-1
theorem,proof,-1,-1
theorem,mathematic,-1,0
art,creativity,1,1
art,expression,1,1
work,task,-1,-1
work,effort,-1,-1
biology,life,0,1
biology,cell,0,0
society,community,-1,0
society,change,-1,-1
student,learn,0,1
student,growth,0,1
datum,information,0,0
datum,analysis,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
computation,algorithm,-1,-1
computation,logic,-1,0
blackboard,classroom,-1,-1
blackboard,teach,-1,-1
homework,study,-1,-1
homework,practice,-1,-1
chemistry,reaction,0,0
chemistry,molecule,0,0
proof,demonstration,-1,-1
proof,evidence,-1,0
logic,reasoning,0,0
logic,truth,0,1
experiment,discovery,0,1
experiment,method,0,0
science,knowledge,1,1
science,exploration,1,1
