cue_word,association_word,cue_valence,associated_valence
stem,curriculum,0,0
stem,discipline,0,0
biology,cell,1,0
biology,science,1,1
computation,code,0,-1
computation,digital,0,0
lecture,explanation,-1,-1
lecture,classroom,-1,0
datum,number,0,1
datum,analysis,0,0
proof,logic,-1,0
proof,evidence,-1,0
literature,book,0,1
literature,text,0,0
study,research,0,0
study,learn,0,1
classroom,teach,-1,0
classroom,room,-1,-1
logic,reasoning,0,0
logic,rule,0,0
teacher,instructor,0,-1
teacher,mentor,0,1
variable,change,0,0
variable,parameter,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
society,people,-1,0
society,culture,-1,0
experiment,test,-1,-1
experiment,hypothesis,-1,0
blackboard,dry - erase,-1,-1
blackboard,mark,-1,-1
informatic,it,0,0
informatic,tech,0,1
class,group,-1,0
class,session,-1,0
number,math,0,1
number,figure,0,0
career,job,-1,0
career,future,-1,0
work,task,-1,-1
work,productivity,-1,0
equation,maths,-1,0
equation,formula,-1,-1
algorithm,code,-1,0
algorithm,process,-1,0
homework,assignment,-1,-1
homework,study,-1,0
professor,expert,0,0
professor,lecturer,0,-1
future,hope,0,0
future,uncertainty,0,-1
model,predict,0,1
model,simplify,0,0
exam,stress,-1,-1
exam,evaluate,-1,0
mathematic,logic,0,1
mathematic,pattern,0,0
teamwork,collab,0,1
teamwork,synergy,0,0
failure,learn,-1,0
failure,disappoint,-1,-1
grade,score,-1,0
grade,achieve,-1,0
theorem,proof,0,1
theorem,truth,0,1
physics,energy,0,1
physics,force,0,0
knowledge,wisdom,1,0
knowledge,learn,1,0
student,study,0,0
student,explore,0,-1
history,past,0,-1
history,legacy,0,0
science,discover,0,1
science,investigate,0,0
llm,code,0,-1
llm,ai,0,0
job,work,0,0
job,purpose,0,1
music,rhythm,0,0
music,expression,0,1
art,create,0,1
art,imagine,0,0
creativity,innovate,1,0
creativity,think,1,-1
chemistry,molecule,0,0
chemistry,react,0,0
ai,intelligence,0,1
ai,machine,0,-1
scientist,research,0,1
scientist,experiment,0,0
success,win,1,0
success,goal,1,0
chatgpt,write,-1,0
chatgpt,help,-1,0
problem - solve,fix,1,0
problem - solve,challenge,1,-1
philosophy,think,0,-1
philosophy,ethic,0,0
